,course_name,train_score,test_score,dev_score,train_groundtruth,test_groundtruth,dev_groundtruth,train_size,test_size,dev_size,test_precision,test_recall,test_f1_score,dev_precision,dev_recall,dev_f1_score,dev_fpr,dev_tpr,dev_threshold,dev_auc
0,PHIL151,1.0,1.0,0.8,0.9482758620689655,1.0,0.8666666666666667,116,15,15,1.0,1.0,1.0,0.8571428571428571,0.9230769230769231,0.888888888888889,[0.  0.5 0.5 1.  1. ],[0.         0.46153846 0.61538462 0.61538462 1.        ],[2.         1.         1.         1.         0.19187663],0.42307692307692313
1,CS102,0.9885057471264368,0.9090909090909091,0.9545454545454546,0.9712643678160919,0.9545454545454546,0.9545454545454546,174,22,22,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9545454545454546,1.0,0.9767441860465117,[0. 1. 1.],[0.        0.9047619 1.       ],[2.         1.         0.99999999],0.4523809523809524
2,ECON102B,0.9912087912087912,0.8947368421052632,0.9298245614035088,0.967032967032967,0.9298245614035088,0.9649122807017544,455,57,57,0.9272727272727272,0.9622641509433962,0.9444444444444444,0.9636363636363636,0.9636363636363636,0.9636363636363636,[0. 1. 1. 1. 1. 1. 1.],"[0.         0.74545455 0.81818182 0.85454545 0.90909091 0.94545455
 1.        ]","[2.00000000e+00 1.00000000e+00 1.00000000e+00 9.99575479e-01
 9.87416307e-01 9.81985071e-01 5.72901971e-42]",0.37272727272727274
3,HUMBIO3B,1.0,0.9827586206896551,1.0,0.9978165938864629,1.0,0.9824561403508771,458,58,57,1.0,0.9827586206896551,0.9913043478260869,1.0,1.0,1.0,[0. 0. 0. 0. 0. 0. 0. 1.],"[0.         0.51785714 0.60714286 0.67857143 0.71428571 0.75
 1.         1.        ]","[2.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 9.82457022e-01 1.09151986e-04]",1.0
4,PHIL154,1.0,1.0,0.6666666666666666,0.9642857142857143,1.0,0.6666666666666666,28,4,3,1.0,1.0,1.0,0.6666666666666666,1.0,0.8,[0. 0. 1. 1.],[0.  0.5 0.5 1. ],[1.99999996 0.99999996 0.9999998  0.99999318],0.5
5,MATH106,1.0,1.0,0.6,0.9459459459459459,1.0,0.6,37,5,5,1.0,1.0,1.0,0.6,1.0,0.7499999999999999,[0.  0.5 0.5 1.  1. ],[0.         0.         0.66666667 0.66666667 1.        ],[2.         1.         0.99999992 0.99999897 0.99998939],0.3333333333333333
6,MATH107,1.0,0.8181818181818182,0.9090909090909091,0.9058823529411765,0.8181818181818182,0.8181818181818182,85,11,11,0.8181818181818182,1.0,0.9,0.9,1.0,0.9473684210526316,[0.  0.  0.  0.5 0.5 1. ],[0.         0.11111111 0.77777778 0.77777778 1.         1.        ],[2.         1.         0.9999999  0.99993881 0.99509439 0.18348993],0.8888888888888888
7,MS&E120,1.0,0.9807692307692307,0.9803921568627451,0.9878048780487805,0.9807692307692307,0.9607843137254902,410,52,51,0.9807692307692307,1.0,0.9902912621359222,0.98,1.0,0.98989898989899,[0.  0.  0.  0.  0.  0.  0.  0.5 0.5 1. ],"[0.         0.40816327 0.48979592 0.53061224 0.55102041 0.59183673
 0.63265306 0.63265306 1.         1.        ]","[2.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 9.99131320e-01 2.57811528e-09]",0.8163265306122449
8,CHEM181,1.0,1.0,0.8888888888888888,0.9645390070921985,1.0,0.8888888888888888,141,18,18,1.0,1.0,1.0,0.8888888888888888,1.0,0.9411764705882353,[0. 0. 0. 1. 1.],[0.     0.625  0.9375 0.9375 1.    ],[2.         1.         1.         0.99999514 0.99737586],0.9375
9,MATH171,1.0,0.95,0.85,0.9245283018867925,1.0,0.95,159,20,20,1.0,0.95,0.9743589743589743,0.9444444444444444,0.8947368421052632,0.918918918918919,[0. 0. 1. 1.],[0.         0.42105263 0.42105263 1.        ],[2.         1.         1.         0.03665241],0.42105263157894735
10,CME106,1.0,0.9487179487179487,0.8974358974358975,0.9389067524115756,0.9487179487179487,0.9487179487179487,311,39,39,0.972972972972973,0.972972972972973,0.972972972972973,0.9459459459459459,0.9459459459459459,0.9459459459459459,[0.  0.5 0.5 1.  1. ],[0.         0.83783784 0.91891892 0.91891892 1.        ],"[2.00000000e+00 1.00000000e+00 1.00000000e+00 9.99999899e-01
 2.00257946e-11]",0.668918918918919
11,CS107E,1.0,0.96,0.875,0.9381443298969072,0.96,0.9583333333333334,194,25,24,0.96,1.0,0.9795918367346939,0.9545454545454546,0.9130434782608695,0.9333333333333332,[0. 0. 0. 0. 1. 1.],[0.         0.73913043 0.82608696 0.86956522 0.86956522 1.        ],"[2.00000000e+00 1.00000000e+00 1.00000000e+00 9.99999998e-01
 9.99999772e-01 5.20442089e-06]",0.8695652173913043
12,CS265,1.0,1.0,0.8,0.9230769230769231,1.0,0.8,39,5,5,1.0,1.0,1.0,0.8,1.0,0.888888888888889,[0. 0. 0. 1.],[0.   0.25 1.   1.  ],[1.99999973 0.99999973 0.99963767 0.98572983],1.0
13,EE180,1.0,1.0,0.9333333333333333,0.9568965517241379,0.9333333333333333,0.9333333333333333,116,15,15,1.0,1.0,1.0,0.9333333333333333,1.0,0.9655172413793104,[0. 0. 0. 1. 1.],[0.         0.07142857 0.57142857 0.57142857 1.        ],[2.         1.         0.99999992 0.9999999  0.99927897],0.5714285714285714
14,CS106X,0.9851632047477745,0.9767441860465116,0.9523809523809523,0.9762611275964391,0.9767441860465116,0.9761904761904762,337,43,42,0.9767441860465116,1.0,0.988235294117647,0.975609756097561,0.975609756097561,0.975609756097561,[0. 0. 0. 0. 0. 1. 1.],"[0.         0.09756098 0.14634146 0.19512195 0.31707317 0.95121951
 1.        ]","[2.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 9.99999531e-01 9.84377627e-01 4.71476094e-12]",0.6341463414634146
15,MS&E252,1.0,0.8181818181818182,0.9090909090909091,0.9545454545454546,0.9090909090909091,0.9090909090909091,88,11,11,0.9,0.9,0.9,0.9090909090909091,1.0,0.9523809523809523,[0. 0. 0. 1. 1.],[0.  0.1 0.4 0.4 1. ],[2.         1.         1.         1.         0.84622634],0.4
16,MATH104,1.0,0.9615384615384616,0.8653846153846154,0.9589371980676329,0.9807692307692307,0.9423076923076923,414,52,52,0.9803921568627451,0.9803921568627451,0.9803921568627451,0.9375,0.9183673469387755,0.9278350515463918,[0. 1. 1.],[0.         0.91836735 1.        ],[2.00000000e+000 1.00000000e+000 1.37327419e-134],0.45918367346938777
17,EE142,1.0,1.0,0.8,0.975609756097561,1.0,0.8,41,6,5,1.0,1.0,1.0,0.8,1.0,0.888888888888889,[0. 0. 0. 1. 1.],[0.   0.25 0.75 0.75 1.  ],[1.99999999 0.99999999 0.99999894 0.99999879 0.99994161],0.75
18,CS144,1.0,0.8636363636363636,0.7727272727272727,0.92,0.9090909090909091,0.8181818181818182,175,22,22,0.9047619047619048,0.95,0.9268292682926829,0.8095238095238095,0.9444444444444444,0.8717948717948718,[0.   0.25 0.25 0.5  0.5  1.   1.  ],"[0.         0.38888889 0.5        0.55555556 0.88888889 0.88888889
 1.        ]","[2.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 9.99999897e-01 9.99951962e-01 1.42163795e-09]",0.625
19,ME210,1.0,1.0,0.8333333333333334,0.9793103448275862,1.0,0.8888888888888888,145,19,18,1.0,1.0,1.0,0.8823529411764706,0.9375,0.9090909090909091,[0.  0.  0.  0.5 0.5 1.  1. ],[0.     0.0625 0.25   0.25   0.625  0.625  1.    ],"[2.         1.         1.         1.         0.99999994 0.9999989
 0.0150504 ]",0.4375
20,PHIL1,0.9958677685950413,1.0,0.9666666666666667,0.9917355371900827,1.0,0.9666666666666667,242,31,30,1.0,1.0,1.0,0.9666666666666667,1.0,0.983050847457627,[0. 1. 1. 1. 1. 1.],[0.         0.62068966 0.72413793 0.79310345 0.82758621 1.        ],[2.         1.         0.99999991 0.99999965 0.9999996  0.97500022],0.3103448275862069
21,ENGR105,1.0,0.9,0.9473684210526315,0.967741935483871,0.95,0.9473684210526315,155,20,19,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,[0. 1. 1.],[0.         0.16666667 1.        ],[2.         1.         0.60064979],0.08333333333333333
22,PHIL80,0.990990990990991,0.9285714285714286,0.8909090909090909,0.9684684684684685,0.9821428571428571,0.9636363636363636,444,56,55,0.9811320754716981,0.9454545454545454,0.9629629629629629,0.9795918367346939,0.9056603773584906,0.9411764705882353,[0.  0.5 0.5 1.  1.  1. ],[0.         0.86792453 0.90566038 0.90566038 0.96226415 1.        ],"[2.00000000e+000 1.00000000e+000 9.23529858e-001 2.22096659e-001
 9.04215120e-183 0.00000000e+000]",0.6698113207547169
23,CS238,1.0,0.8125,0.96875,0.9683794466403162,0.90625,0.96875,253,32,32,0.896551724137931,0.896551724137931,0.896551724137931,0.96875,1.0,0.9841269841269841,[0. 0. 1. 1.],[0.         0.35483871 0.38709677 1.        ],[2.        1.        1.        0.7015628],0.3709677419354839
24,ECON52,0.9932735426008968,0.9821428571428571,0.9464285714285714,0.9775784753363229,0.9821428571428571,0.9821428571428571,446,56,56,0.9821428571428571,1.0,0.9909909909909909,0.9814814814814815,0.9636363636363636,0.9724770642201834,[0. 1. 1.],[0.         0.90909091 1.        ],[2.00000000e+00 1.00000000e+00 2.13519971e-28],0.45454545454545453
25,CS131,1.0,0.9142857142857143,0.8857142857142857,0.9420289855072463,0.9428571428571428,0.9428571428571428,276,35,35,0.9411764705882353,0.9696969696969697,0.955223880597015,0.9393939393939394,0.9393939393939394,0.9393939393939394,[0.  0.5 1.  1. ],[0.        0.6969697 0.6969697 1.       ],[2.0000000e+00 1.0000000e+00 1.0000000e+00 1.3980761e-18],0.5227272727272727
26,MATH113,0.9965870307167235,0.8108108108108109,0.7567567567567568,0.8873720136518771,0.8378378378378378,0.8918918918918919,293,37,37,0.8529411764705882,0.9354838709677419,0.8923076923076922,0.875,0.8484848484848485,0.8615384615384615,[0. 1. 1. 1.],[0.         0.63636364 0.6969697  1.        ],[2.00000000e+00 1.00000000e+00 1.00000000e+00 6.72762681e-19],0.3181818181818182
27,MS&E125,1.0,0.972972972972973,0.972972972972973,0.9864406779661017,0.972972972972973,0.972972972972973,295,37,37,0.972972972972973,1.0,0.9863013698630138,0.972972972972973,1.0,0.9863013698630138,[0. 1. 1.],[0.         0.66666667 1.        ],[2.         1.         0.96993526],0.3333333333333333
