,course_name,train_score,test_score,dev_score,train_groundtruth,test_groundtruth,dev_groundtruth,train_size,test_size,dev_size,test_precision,test_recall,test_f1_score,dev_precision,dev_recall,dev_f1_score,dev_fpr,dev_tpr,dev_threshold,dev_auc
0,PHIL151,0.9482758620689655,1.0,0.8666666666666667,0.9482758620689655,1.0,0.8666666666666667,116,15,15,1.0,1.0,1.0,0.8666666666666667,1.0,0.9285714285714286,[0. 1. 1.],[0.         0.38461538 1.        ],[1.96825394 0.96825394 0.92452852],0.19230769230769232
1,CS102,0.9712643678160919,0.9545454545454546,0.9545454545454546,0.9712643678160919,0.9545454545454546,0.9545454545454546,174,22,22,0.9545454545454546,1.0,0.9767441860465117,0.9545454545454546,1.0,0.9767441860465117,[0. 1. 1.],[0.         0.71428571 1.        ],[1.98484865 0.98484865 0.9285711 ],0.35714285714285715
2,ECON102B,0.967032967032967,0.9298245614035088,0.9649122807017544,0.967032967032967,0.9298245614035088,0.9649122807017544,455,57,57,0.9298245614035088,1.0,0.9636363636363636,0.9649122807017544,1.0,0.9821428571428572,[0.  0.5 1. ],[0.         0.92727273 1.        ],[1.96736597 0.96736597 0.96153861],0.7136363636363636
3,PHIL154,0.9642857142857143,1.0,0.6666666666666666,0.9642857142857143,1.0,0.6666666666666666,28,4,3,1.0,1.0,1.0,0.6666666666666666,1.0,0.8,[0. 0. 1.],[0. 1. 1.],[1.99999821 0.99999821 0.87499997],1.0
4,MATH106,0.9459459459459459,1.0,0.6,0.9459459459459459,1.0,0.6,37,5,5,1.0,1.0,1.0,0.6,1.0,0.7499999999999999,[0.  0.5 1. ],[0. 0. 1.],[1.99999964 0.99999964 0.93749729],0.25
5,MATH107,0.9058823529411765,0.8181818181818182,0.8181818181818182,0.9058823529411765,0.8181818181818182,0.8181818181818182,85,11,11,0.8181818181818182,1.0,0.9,0.8181818181818182,1.0,0.9,[0.  0.5 1. ],[0.         0.44444444 1.        ],[1.92682929 0.92682929 0.88636341],0.4722222222222222
6,MATH171,0.9245283018867925,1.0,0.95,0.9245283018867925,1.0,0.95,159,20,20,1.0,1.0,1.0,0.95,1.0,0.9743589743589743,[0. 0. 1. 1.],[0.         0.15789474 0.94736842 1.        ],[1.9683146  0.9683146  0.93256062 0.83671387],0.5526315789473684
7,CHEM181,0.9645390070921985,1.0,0.8888888888888888,0.9645390070921985,1.0,0.8888888888888888,141,18,18,1.0,1.0,1.0,0.8888888888888888,1.0,0.9411764705882353,[0. 0. 0. 0. 0. 1.],[0.     0.4375 0.5625 0.625  1.     1.    ],[2.         1.         1.         0.9829434  0.94669493 0.62475658],1.0
8,CS265,0.9230769230769231,1.0,0.8,0.9230769230769231,1.0,0.8,39,5,5,1.0,1.0,1.0,0.8,1.0,0.888888888888889,[0. 0. 1.],[0.   0.25 1.  ],[1.99999989 0.99999989 0.90909082],0.625
9,CS107E,0.9381443298969072,0.96,0.9583333333333334,0.9381443298969072,0.96,0.9583333333333334,194,25,24,0.96,1.0,0.9795918367346939,0.9583333333333334,1.0,0.9787234042553191,[0. 1. 1.],[0.        0.7826087 1.       ],[1.93710709 0.93710709 0.91304323],0.391304347826087
10,EE180,0.9568965517241379,0.9333333333333333,0.9333333333333333,0.9568965517241379,0.9333333333333333,0.9333333333333333,116,15,15,0.9333333333333333,1.0,0.9655172413793104,0.9333333333333333,1.0,0.9655172413793104,[0. 0. 0. 1. 1.],[0.         0.57142857 0.64285714 0.92857143 1.        ],[1.97375803 0.97375803 0.95335909 0.93003975 0.87985004],0.7857142857142858
11,CME106,0.9389067524115756,0.9487179487179487,0.9487179487179487,0.9389067524115756,0.9487179487179487,0.9487179487179487,311,39,39,0.9487179487179487,1.0,0.9736842105263158,0.9487179487179487,1.0,0.9736842105263158,[0.  0.5 1.  1.  1. ],[0.         0.59459459 0.81081081 0.94594595 1.        ],[1.9497019  0.9497019  0.93254074 0.92924352 0.92068998],0.5
12,MS&E120,0.9878048780487805,0.9807692307692307,0.9607843137254902,0.9878048780487805,0.9807692307692307,0.9607843137254902,410,52,51,0.9807692307692307,1.0,0.9902912621359222,0.9607843137254902,1.0,0.98,[0. 0. 0. 0. 1.],[0.         0.3877551  0.40816327 0.57142857 1.        ],[1.99344322 0.99344322 0.99231671 0.98617576 0.98382099],0.7857142857142857
13,CS106X,0.9762611275964391,0.9767441860465116,0.9761904761904762,0.9762611275964391,0.9767441860465116,0.9761904761904762,337,43,42,0.9767441860465116,1.0,0.988235294117647,0.9761904761904762,1.0,0.9879518072289156,[0. 1. 1.],[0.         0.80487805 1.        ],[1.98233207 0.98233207 0.94444407],0.4024390243902439
14,CS144,0.92,0.9090909090909091,0.8181818181818182,0.92,0.9090909090909091,0.8181818181818182,175,22,22,0.9090909090909091,1.0,0.9523809523809523,0.8181818181818182,1.0,0.9,[0.   0.75 1.  ],[0. 1. 1.],[1.9207317  0.9207317  0.90909075],0.625
15,MATH104,0.9589371980676329,0.9807692307692307,0.9423076923076923,0.9589371980676329,0.9807692307692307,0.9423076923076923,414,52,52,0.9807692307692307,1.0,0.9902912621359222,0.9423076923076923,1.0,0.9702970297029703,"[0.         0.         0.         0.66666667 0.66666667 1.
 1.         1.         1.        ]","[0.         0.02040816 0.04081633 0.28571429 0.32653061 0.73469388
 0.89795918 0.97959184 1.        ]","[1.98013832 0.98013832 0.97884871 0.97709784 0.97561573 0.95226953
 0.9492641  0.94520135 0.94177807]",0.2857142857142857
16,ME210,0.9793103448275862,1.0,0.8888888888888888,0.9793103448275862,1.0,0.8888888888888888,145,19,18,1.0,1.0,1.0,0.8888888888888888,1.0,0.9411764705882353,[0. 1. 1.],[0.    0.875 1.   ],[1.98165209 0.98165209 0.97222155],0.4375
17,ENGR105,0.967741935483871,0.95,0.9473684210526315,0.967741935483871,0.95,0.9473684210526315,155,20,19,0.95,1.0,0.9743589743589743,0.9473684210526315,1.0,0.972972972972973,[0. 0. 1.],[0.         0.66666667 1.        ],[1.97530879 0.97530879 0.95945963],0.8333333333333333
18,EE264,0.8666666666666667,0.5,0.5,0.8666666666666667,0.5,0.5,15,2,2,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,[0. 1.],[0. 1.],[1.79999674 0.79999674],0.5
19,ECON52,0.9775784753363229,0.9821428571428571,0.9821428571428571,0.9775784753363229,0.9821428571428571,0.9821428571428571,446,56,56,0.9821428571428571,1.0,0.9909909909909909,0.9821428571428571,1.0,0.9909909909909909,[0. 0. 1.],[0.         0.05454545 1.        ],[1.99999747 0.99999747 0.97647059],0.5272727272727272
20,CHEMENG110,0.9594594594594594,1.0,0.8888888888888888,0.9594594594594594,1.0,0.8888888888888888,74,10,9,1.0,1.0,1.0,0.8888888888888888,1.0,0.9411764705882353,[0. 1.],[0. 1.],[1.9565213 0.9565213],0.5
21,MS&E125,0.9864406779661017,0.972972972972973,0.972972972972973,0.9864406779661017,0.972972972972973,0.972972972972973,295,37,37,0.972972972972973,1.0,0.9863013698630138,0.972972972972973,1.0,0.9863013698630138,[0. 1. 1. 1.],[0.         0.77777778 0.97222222 1.        ],[1.98876709 0.98876709 0.98479815 0.97836655],0.3888888888888889
22,CS227B,0.9820359281437125,1.0,0.9523809523809523,0.9820359281437125,1.0,0.9523809523809523,167,21,21,1.0,1.0,1.0,0.9523809523809523,1.0,0.975609756097561,[0. 0. 1.],[0.  0.2 1. ],[1.99999889 0.99999889 0.9785713 ],0.6
23,CS193A,0.9795918367346939,1.0,0.9166666666666666,0.9795918367346939,1.0,0.9166666666666666,98,13,12,1.0,1.0,1.0,0.9166666666666666,1.0,0.9565217391304348,[0. 1. 1.],[0.         0.90909091 1.        ],[1.98630135 0.98630135 0.96000004],0.45454545454545453
24,PSYCH45,0.9566666666666667,0.9736842105263158,0.972972972972973,0.9566666666666667,0.9736842105263158,0.972972972972973,300,38,37,0.9736842105263158,1.0,0.9866666666666666,0.972972972972973,1.0,0.9863013698630138,[0. 0. 1.],[0.         0.36111111 1.        ],[1.96039604 0.96039604 0.95477393],0.6805555555555556
25,PSYCH95,0.983402489626556,0.9354838709677419,0.9333333333333333,0.983402489626556,0.9354838709677419,0.9333333333333333,241,31,30,0.9354838709677419,1.0,0.9666666666666666,0.9333333333333333,1.0,0.9655172413793104,[0.  0.5 1. ],[0.         0.82142857 1.        ],[1.9895831  0.9895831  0.95918639],0.6607142857142857
26,BIO41,0.9798270893371758,0.9772727272727273,0.9767441860465116,0.9798270893371758,0.9772727272727273,0.9767441860465116,347,44,43,0.9772727272727273,1.0,0.9885057471264368,0.9767441860465116,1.0,0.988235294117647,[0. 1. 1. 1. 1. 1. 1. 1.],"[0.         0.04761905 0.14285714 0.19047619 0.26190476 0.4047619
 0.61904762 1.        ]","[2.         1.         1.         1.         0.99999999 0.99999999
 0.98077054 0.96249989]",0.023809523809523808
27,MATH20,0.9482936918304034,0.9834710743801653,0.9669421487603306,0.9482936918304034,0.9834710743801653,0.9669421487603306,967,121,121,0.9834710743801653,1.0,0.9916666666666667,0.9669421487603306,1.0,0.9831932773109243,[0.  0.5 1. ],[0.         0.46153846 1.        ],[1.94979089 0.94979089 0.94683026],0.48076923076923084
28,EE102A,0.964824120603015,1.0,0.96,0.964824120603015,1.0,0.96,199,25,25,1.0,1.0,1.0,0.96,1.0,0.9795918367346939,[0. 0. 0. 1.],[0.         0.58333333 0.83333333 1.        ],[1.98999982 0.98999982 0.97727185 0.90909278],0.9166666666666667
29,ECON178,0.9957264957264957,1.0,0.9655172413793104,0.9957264957264957,1.0,0.9655172413793104,234,30,29,1.0,1.0,1.0,0.9655172413793104,1.0,0.9824561403508771,[0. 0. 1. 1. 1.],[0.         0.03571429 0.32142857 0.42857143 1.        ],[2.         1.         0.99999998 0.99999991 0.99401143],0.17857142857142858
30,MS&E145,0.9769585253456221,0.9642857142857143,0.9629629629629629,0.9769585253456221,0.9642857142857143,0.9629629629629629,217,28,27,0.9642857142857143,1.0,0.9818181818181818,0.9629629629629629,1.0,0.9811320754716981,[0. 0. 0. 1. 1. 1. 1. 1.],"[0.         0.03846154 0.26923077 0.53846154 0.69230769 0.76923077
 0.80769231 1.        ]","[2.         1.         1.         0.99999999 0.99803423 0.99067899
 0.99029801 0.93187544]",0.40384615384615385
