,course_name,train_score,test_score,dev_score,train_groundtruth,test_groundtruth,dev_groundtruth,train_size,test_size,dev_size,test_precision,test_recall,test_f1_score,dev_precision,dev_recall,dev_f1_score,dev_fpr,dev_tpr,dev_threshold,dev_auc
0,PUBLPOL105,0.7166666666666667,0.875,0.75,0.7166666666666667,0.875,0.75,60,8,8,0.875,1.0,0.9333333333333333,0.75,1.0,0.8571428571428571,[0. 0. 0. 1.],[0.         0.33333333 0.83333333 1.        ],[1.72689966 0.72689966 0.63401544 0.61004863],0.9166666666666667
1,CHEMENG162,0.375,0.0,0.5,0.625,1.0,0.5,16,2,2,0.0,0.0,0.0,0.0,0.0,0.0,[0. 1.],[0. 1.],[1.5 0.5],0.5
2,MS&E245G,0.8285714285714286,0.6,1.0,0.6857142857142857,0.6,0.75,35,5,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,[0. 0. 0. 1.],[0.         0.66666667 1.         1.        ],[1.66665817 0.66665817 0.60002038 0.5       ],1.0
3,CME106,0.7202572347266881,0.7692307692307693,0.717948717948718,0.4790996784565916,0.48717948717948717,0.5384615384615384,311,39,39,0.7272727272727273,0.8421052631578947,0.7804878048780488,0.7777777777777778,0.6666666666666666,0.717948717948718,"[0.         0.         0.         0.11111111 0.11111111 0.16666667
 0.16666667 0.22222222 0.22222222 0.27777778 0.27777778 0.33333333
 0.33333333 0.44444444 0.44444444 0.5        0.5        0.55555556
 0.66666667 0.72222222 0.94444444 0.94444444 1.        ]","[0.         0.04761905 0.0952381  0.0952381  0.14285714 0.14285714
 0.52380952 0.52380952 0.66666667 0.66666667 0.71428571 0.71428571
 0.80952381 0.80952381 0.85714286 0.85714286 0.9047619  0.95238095
 0.95238095 0.95238095 0.95238095 1.         1.        ]","[1.84354958 0.84354958 0.70891668 0.69675938 0.68407225 0.68081685
 0.56171746 0.54258314 0.50567905 0.49994936 0.49972005 0.49441154
 0.45196495 0.44037826 0.41321479 0.41224997 0.40696437 0.38562899
 0.38299612 0.37945262 0.35120373 0.30820761 0.21652268]",0.7394179894179894
4,PHYSICS61,0.8082191780821918,0.8214285714285714,0.7407407407407407,0.8082191780821918,0.8214285714285714,0.7407407407407407,219,28,27,0.8214285714285714,1.0,0.9019607843137255,0.7407407407407407,1.0,0.851063829787234,[0. 1.],[0. 1.],[1.78995432 0.78995432],0.5
5,BIO42,0.8095238095238095,0.7567567567567568,0.8378378378378378,0.5816326530612245,0.5675675675675675,0.6216216216216216,294,37,37,0.8,0.7619047619047619,0.7804878048780488,0.9473684210526315,0.782608695652174,0.8571428571428571,"[0.         0.         0.         0.         0.         0.07142857
 0.07142857 0.07142857 0.07142857 0.14285714 0.21428571 0.21428571
 0.35714286 0.35714286 1.        ]","[0.         0.04347826 0.13043478 0.2173913  0.39130435 0.47826087
 0.56521739 0.73913043 0.7826087  0.7826087  0.82608696 0.86956522
 0.86956522 0.91304348 1.        ]","[1.92828165 0.92828165 0.90502977 0.90243142 0.85021559 0.84637211
 0.77091435 0.66716041 0.59608665 0.46811122 0.3931924  0.36030495
 0.2963507  0.24212698 0.2366886 ]",0.8835403726708074
6,EE169,0.9230769230769231,1.0,0.5,0.9230769230769231,1.0,0.5,13,2,2,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,[0. 1.],[0. 1.],[1.61538462 0.61538462],0.5
7,MS&E145,0.8341013824884793,0.7857142857142857,0.9259259259259259,0.8341013824884793,0.7857142857142857,0.9259259259259259,217,28,27,0.7857142857142857,1.0,0.88,0.9259259259259259,1.0,0.9615384615384615,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],[0.   0.04 0.08 0.16 0.2  0.4  0.52 0.76 0.92 1.  ],"[1.95842102 0.95842102 0.94729566 0.93362142 0.92535039 0.90654414
 0.89699729 0.76105159 0.71293356 0.66026108]",0.96
8,PSYCH30,0.7763157894736842,0.7368421052631579,0.6140350877192983,0.618421052631579,0.49122807017543857,0.49122807017543857,456,57,57,0.696969696969697,0.8214285714285714,0.7540983606557378,0.5833333333333334,0.75,0.6562499999999999,"[0.         0.         0.         0.06896552 0.10344828 0.10344828
 0.13793103 0.13793103 0.20689655 0.20689655 0.24137931 0.37931034
 0.48275862 0.48275862 0.51724138 0.51724138 0.55172414 1.        ]","[0.         0.03571429 0.28571429 0.28571429 0.32142857 0.42857143
 0.5        0.57142857 0.57142857 0.60714286 0.60714286 0.67857143
 0.67857143 0.71428571 0.71428571 0.82142857 0.82142857 1.        ]","[1.97918696 0.97918696 0.84639995 0.8006322  0.79782908 0.74725559
 0.70195615 0.68493929 0.66996901 0.65835788 0.63870858 0.62949659
 0.59289325 0.56610118 0.55993099 0.4636321  0.44514516 0.38889706]",0.7266009852216748
9,PUBLPOL104,0.8412698412698413,0.625,0.5,0.7142857142857143,0.75,0.75,63,8,8,1.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,[0.  0.  0.5 0.5 1.  1. ],[0.         0.33333333 0.5        0.66666667 0.66666667 1.        ],[1.85623949 0.85623949 0.7301662  0.68760268 0.61477487 0.5       ],0.5416666666666666
