,course_name,train_score,test_score,train_groundtruth,test_groundtruth,train_size,test_size,precision,recall,f1_score
0,CME364A,0.6666666666666666,0.0,0.3333333333333333,1.0,3,5,0.0,0.0,0.0
1,BIOMEDIN260,0.9,1.0,0.9,1.0,10,1,1.0,1.0,1.0
2,CEE176B,0.6779661016949152,0.07142857142857142,0.3220338983050847,0.9285714285714286,59,14,0.0,0.0,0.0
3,MATH175,0.6190476190476191,1.0,0.6190476190476191,1.0,21,10,1.0,1.0,1.0
4,PSYCH146,0.7469879518072289,0.6666666666666666,0.7469879518072289,0.6666666666666666,83,42,0.6666666666666666,1.0,0.8
5,CS243,0.7142857142857143,0.0,0.2857142857142857,1.0,7,2,0.0,0.0,0.0
6,CS294S,0.9285714285714286,0.0,0.9285714285714286,0.0,14,1,0.0,0.0,0.0
7,CHEM176,0.7894736842105263,0.8181818181818182,0.7894736842105263,0.8181818181818182,57,11,0.8181818181818182,1.0,0.9
8,PHYSICS121,0.6078431372549019,0.6216216216216216,0.6078431372549019,0.6216216216216216,102,37,0.6216216216216216,1.0,0.7666666666666667
9,CS106X,0.7164556962025317,0.8148148148148148,0.7164556962025317,0.8148148148148148,395,27,0.8148148148148148,1.0,0.8979591836734693
10,BIOE141B,0.9888888888888889,1.0,0.9888888888888889,1.0,90,33,1.0,1.0,1.0
11,CHEM171,0.6164383561643836,0.75,0.6164383561643836,0.75,146,40,0.75,1.0,0.8571428571428571
12,MATH106,0.6896551724137931,0.6111111111111112,0.6896551724137931,0.6111111111111112,29,18,0.6111111111111112,1.0,0.7586206896551725
13,PHYSICS171,0.7625,0.8709677419354839,0.7625,0.8709677419354839,80,31,0.8709677419354839,1.0,0.9310344827586207
14,ECON155,0.5375,0.7037037037037037,0.5375,0.7037037037037037,80,27,0.7037037037037037,1.0,0.8260869565217391
15,CHEM137,0.8571428571428571,1.0,0.8571428571428571,1.0,7,3,1.0,1.0,1.0
16,HUMBIO142,0.875,0.875,0.875,0.875,16,24,0.875,1.0,0.9333333333333333
17,CS223A,0.56,0.6666666666666666,0.56,0.6666666666666666,50,9,0.6666666666666666,1.0,0.8
18,ECON136,0.8783783783783784,0.696969696969697,0.8783783783783784,0.696969696969697,148,33,0.696969696969697,1.0,0.8214285714285715
19,CS247,0.8164251207729468,0.7971014492753623,0.8164251207729468,0.7971014492753623,207,69,0.7971014492753623,1.0,0.8870967741935484
20,CHEMENG174,0.6923076923076923,1.0,0.6923076923076923,1.0,26,3,1.0,1.0,1.0
21,BIOE103B,0.6923076923076923,1.0,0.6923076923076923,1.0,13,4,1.0,1.0,1.0
22,CS166,0.589041095890411,0.7551020408163265,0.589041095890411,0.7551020408163265,73,49,0.7551020408163265,1.0,0.8604651162790697
23,PHYSICS160,0.95,1.0,0.95,1.0,20,3,1.0,1.0,1.0
24,CS248,0.9431818181818182,0.7,0.9431818181818182,0.7,88,40,0.7,1.0,0.8235294117647058
25,AA279A,0.9166666666666666,0.4444444444444444,0.9166666666666666,0.4444444444444444,12,9,0.4444444444444444,1.0,0.6153846153846153
26,PHYSICS230,0.7333333333333333,1.0,0.7333333333333333,1.0,15,10,1.0,1.0,1.0
27,PHIL154,0.8181818181818182,0.6153846153846154,0.8181818181818182,0.6153846153846154,22,13,0.6153846153846154,1.0,0.761904761904762
28,ECON159,0.7692307692307693,0.6956521739130435,0.7692307692307693,0.6956521739130435,13,23,0.6956521739130435,1.0,0.8205128205128205
29,STATS200,0.5347985347985348,0.75,0.5347985347985348,0.75,273,40,0.75,1.0,0.8571428571428571
