,course_name,train_score,test_score,dev_score,train_groundtruth,test_groundtruth,dev_groundtruth,train_size,test_size,dev_size,test_precision,test_recall,test_f1_score,dev_precision,dev_recall,dev_f1_score,dev_fpr,dev_tpr,dev_threshold,dev_auc
0,CS276,0.5277777777777778,0.6,0.8,0.5277777777777778,0.6,0.8,36,5,5,0.6,1.0,0.7499999999999999,0.8,1.0,0.888888888888889,[0. 0. 1.],[0. 1. 1.],[1.52869308 0.52869308 0.51694636],1.0
1,EE169,0.9230769230769231,1.0,0.5,0.9230769230769231,1.0,0.5,13,2,2,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,[0. 0. 1.],[0. 1. 1.],[1.92342024 0.92342024 0.92260313],1.0
2,PSYCH131,0.5357142857142857,0.75,0.25,0.4642857142857143,0.25,0.75,28,4,4,0.0,0.0,0.0,0.0,0.0,0.0,[0. 1. 1.],[0.         0.33333333 1.        ],[1.46560105 0.46560105 0.46358722],0.16666666666666666
3,IPS207,0.8,1.0,0.5,0.8,1.0,0.5,15,2,2,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,[0. 1.],[0. 1.],[1.7994671 0.7994671],0.5
4,CS242,0.8194444444444444,0.7,0.7777777777777778,0.8194444444444444,0.7,0.7777777777777778,72,10,9,0.7,1.0,0.8235294117647058,0.7777777777777778,1.0,0.8750000000000001,[0. 1. 1.],[0.         0.85714286 1.        ],[1.82080467 0.82080467 0.81614121],0.42857142857142855
5,ECON102C,0.9183673469387755,0.8571428571428571,0.8333333333333334,0.9183673469387755,0.8571428571428571,0.8333333333333334,49,7,6,0.8571428571428571,1.0,0.923076923076923,0.8333333333333334,1.0,0.9090909090909091,[0. 0. 1.],[0. 1. 1.],[1.91902401 0.91902401 0.91701291],1.0
6,ECON52,0.7107623318385651,0.75,0.7142857142857143,0.7107623318385651,0.75,0.7142857142857143,446,56,56,0.75,1.0,0.8571428571428571,0.7142857142857143,1.0,0.8333333333333333,[0.  0.5 1. ],[0.  0.8 1. ],[1.73343803 0.73343803 0.66369069],0.65
7,PHYSICS330,0.9117647058823529,1.0,0.75,0.9117647058823529,1.0,0.75,34,5,4,1.0,1.0,1.0,0.75,1.0,0.8571428571428571,[0. 0. 1.],[0.         0.66666667 1.        ],[1.91187065 0.91187065 0.9117531 ],0.8333333333333333
8,OSPBER40M,0.9285714285714286,1.0,0.8571428571428571,0.9285714285714286,1.0,0.8571428571428571,56,7,7,1.0,1.0,1.0,0.8571428571428571,1.0,0.923076923076923,[0. 0. 1.],[0.  0.5 1. ],[1.92888742 0.92888742 0.92827725],0.75
9,CEE180,0.6944444444444444,1.0,0.75,0.6944444444444444,1.0,0.75,36,5,4,1.0,1.0,1.0,0.75,1.0,0.8571428571428571,[0. 0. 0. 1.],[0.         0.66666667 1.         1.        ],[1.69879283 0.69879283 0.69282552 0.68944434],1.0
10,CHEMENG160,0.6190476190476191,0.3333333333333333,0.3333333333333333,0.6190476190476191,0.3333333333333333,0.3333333333333333,21,3,3,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,0.5,[0. 0. 1.],[0. 1. 1.],[1.6235134  0.6235134  0.61405373],1.0
11,CS108,0.7517564402810304,0.8518518518518519,0.6981132075471698,0.7517564402810304,0.8518518518518519,0.6981132075471698,427,54,53,0.8518518518518519,1.0,0.92,0.6981132075471698,1.0,0.8222222222222222,[0.    0.125 1.   ],[0.         0.56756757 1.        ],[1.77387452 0.77387452 0.73334065],0.7212837837837838
12,STATS203,0.7105263157894737,0.6,0.8,0.7105263157894737,0.6,0.8,38,5,5,0.6,1.0,0.7499999999999999,0.8,1.0,0.888888888888889,[0. 0. 1.],[0. 1. 1.],[1.71128083 0.71128083 0.70968797],1.0
13,ME161,0.6266233766233766,0.6666666666666666,0.6052631578947368,0.6266233766233766,0.6666666666666666,0.6052631578947368,308,39,38,0.6666666666666666,1.0,0.8,0.6052631578947368,1.0,0.7540983606557378,[0.  0.2 0.2 1. ],[0.         0.52173913 0.60869565 1.        ],[1.65320738 0.65320738 0.61770813 0.60745166],0.6956521739130436
14,MATH122,0.85,0.8333333333333334,0.8,0.85,0.8333333333333334,0.8,40,6,5,0.8333333333333334,1.0,0.9090909090909091,0.8,1.0,0.888888888888889,[0. 1. 1.],[0.  0.5 1. ],[1.85007566 0.85007566 0.84982328],0.25
15,PSYCH60,0.7754237288135594,0.8666666666666667,0.8,0.7754237288135594,0.8666666666666667,0.8,236,30,30,0.8666666666666667,1.0,0.9285714285714286,0.8,1.0,0.888888888888889,[0.         0.16666667 1.        ],[0.         0.54166667 1.        ],[1.79001621 0.79001621 0.76083125],0.6874999999999999
16,ME131B,0.6096491228070176,0.6551724137931034,0.5862068965517241,0.6096491228070176,0.6551724137931034,0.5862068965517241,228,29,29,0.6551724137931034,1.0,0.7916666666666666,0.5862068965517241,1.0,0.7391304347826086,[0.         0.25       0.33333333 0.66666667 1.        ],[0.         0.64705882 0.82352941 1.         1.        ],[1.62807375 0.62807375 0.61030175 0.58894391 0.57058052],0.7794117647058824
17,MS&E121,0.8432055749128919,0.9166666666666666,0.8055555555555556,0.8432055749128919,0.9166666666666666,0.8055555555555556,287,36,36,0.9166666666666666,1.0,0.9565217391304348,0.8055555555555556,1.0,0.8923076923076924,[0.         0.         0.28571429 0.28571429 1.        ],[0.         0.68965517 0.82758621 0.93103448 1.        ],[1.85320838 0.85320838 0.83851066 0.8378704  0.8219574 ],0.9064039408866994
18,EE134,0.75,0.75,0.75,0.75,0.75,0.75,28,4,4,0.75,1.0,0.8571428571428571,0.75,1.0,0.8571428571428571,[0. 0. 1.],[0.         0.33333333 1.        ],[1.75185267 0.75185267 0.74907487],0.6666666666666666
19,PHIL151,0.6293103448275862,0.6666666666666666,0.5333333333333333,0.6293103448275862,0.6666666666666666,0.5333333333333333,116,15,15,0.6666666666666666,1.0,0.8,0.5333333333333333,1.0,0.6956521739130436,[0.         0.28571429 1.        ],[0.  0.5 1. ],[1.63829744 0.63829744 0.62493199],0.6071428571428571
20,PSYCH101,0.7083333333333334,0.8,0.6666666666666666,0.7083333333333334,0.8,0.6666666666666666,120,15,15,0.8,1.0,0.888888888888889,0.6666666666666666,1.0,0.8,[0.  0.  0.4 1. ],[0.  0.2 0.8 1. ],[1.72693565 0.72693565 0.72124533 0.69147213],0.74
21,LINGUIST130B,0.7818181818181819,0.7142857142857143,0.7142857142857143,0.7818181818181819,0.7142857142857143,0.7142857142857143,55,7,7,0.7142857142857143,1.0,0.8333333333333333,0.7142857142857143,1.0,0.8333333333333333,[0. 1.],[0. 1.],[1.78161801 0.78161801],0.5
22,CHEM135,0.79,0.7692307692307693,0.6153846153846154,0.79,0.7692307692307693,0.6153846153846154,100,13,13,0.7692307692307693,1.0,0.8695652173913044,0.6153846153846154,1.0,0.761904761904762,[0.  0.  0.2 0.2 0.8 1. ],[0.    0.25  0.5   0.625 0.75  1.   ],[1.80245046 0.80245046 0.79786843 0.78173884 0.77681004 0.77495898],0.6625000000000001
23,MS&E111,0.6342281879194631,0.6052631578947368,0.6756756756756757,0.6342281879194631,0.6052631578947368,0.6756756756756757,298,38,37,0.6052631578947368,1.0,0.7540983606557378,0.6756756756756757,1.0,0.8064516129032258,[0.         0.08333333 0.25       1.        ],[0.   0.4  0.64 1.  ],[1.6483181  0.6483181  0.64527049 0.62495775],0.7183333333333334
24,HUMBIO128,0.8055555555555556,0.8,0.8,0.8055555555555556,0.8,0.8,36,5,5,0.8,1.0,0.888888888888889,0.8,1.0,0.888888888888889,[0. 0. 1. 1.],[0.   0.25 0.25 1.  ],[1.80798591 0.80798591 0.80593569 0.80391519],0.25
25,EE364A,0.847457627118644,0.875,0.8571428571428571,0.847457627118644,0.875,0.8571428571428571,59,8,7,0.875,1.0,0.9333333333333333,0.8571428571428571,1.0,0.923076923076923,[0. 0. 1.],[0.         0.66666667 1.        ],[1.84994717 0.84994717 0.84627472],0.8333333333333333
26,EE263,0.6854838709677419,0.8125,0.625,0.6854838709677419,0.8125,0.625,124,16,16,0.8125,1.0,0.896551724137931,0.625,1.0,0.7692307692307693,[0. 0. 0. 1.],[0.  0.2 0.3 1. ],[1.68869718 0.68869718 0.68816009 0.68378995],0.65
27,BIO158,0.7976190476190477,0.8181818181818182,0.5,0.7976190476190477,0.8181818181818182,0.5,84,11,10,0.8181818181818182,1.0,0.9,0.5,1.0,0.6666666666666666,[0. 0. 1.],[0.  0.6 1. ],[1.80097691 0.80097691 0.79555225],0.8
28,PSYCH146,0.71,0.6153846153846154,0.9166666666666666,0.71,0.6153846153846154,0.9166666666666666,100,13,12,0.6153846153846154,1.0,0.761904761904762,0.9166666666666666,1.0,0.9565217391304348,[0. 0. 1.],[0.         0.18181818 1.        ],[1.71438117 0.71438117 0.70940258],0.5909090909090909
29,CEE182,0.7037037037037037,1.0,0.3333333333333333,0.7037037037037037,1.0,0.3333333333333333,27,4,3,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,[0.  0.5 1. ],[0. 0. 1.],[1.7047001  0.7047001  0.70133725],0.25
30,PUBLPOL105,0.7166666666666667,0.875,0.75,0.7166666666666667,0.875,0.75,60,8,8,0.875,1.0,0.9333333333333333,0.75,1.0,0.8571428571428571,[0. 0. 1.],[0.  0.5 1. ],[1.72206797 0.72206797 0.71453131],0.75
31,ECON136,0.8611111111111112,0.7894736842105263,0.7777777777777778,0.8611111111111112,0.7894736842105263,0.7777777777777778,144,19,18,0.7894736842105263,1.0,0.8823529411764706,0.7777777777777778,1.0,0.8750000000000001,[0. 0. 1.],[0.         0.42857143 1.        ],[1.86308231 0.86308231 0.85772662],0.7142857142857143
32,OSPKYOTO40M,0.8611111111111112,0.8,0.8,0.8611111111111112,0.8,0.8,36,5,5,0.8,1.0,0.888888888888889,0.8,1.0,0.888888888888889,[0. 0. 1.],[0.  0.5 1. ],[1.86125711 0.86125711 0.86099417],0.75
33,MATH131P,0.5686274509803921,0.6923076923076923,0.6923076923076923,0.5686274509803921,0.6923076923076923,0.6923076923076923,102,13,13,0.6923076923076923,1.0,0.8181818181818181,0.6923076923076923,1.0,0.8181818181818181,[0.   0.25 1.  ],[0.         0.66666667 1.        ],[1.57278871 0.57278871 0.55864042],0.7083333333333334
34,MATH146,0.7142857142857143,0.75,0.75,0.7142857142857143,0.75,0.75,28,4,4,0.75,1.0,0.8571428571428571,0.75,1.0,0.8571428571428571,[0. 0. 1.],[0.         0.33333333 1.        ],[1.71637752 0.71637752 0.7129372 ],0.6666666666666666
35,PHYSICS131,0.7272727272727273,0.9230769230769231,0.8333333333333334,0.7272727272727273,0.9230769230769231,0.8333333333333334,99,13,12,0.9230769230769231,1.0,0.9600000000000001,0.8333333333333334,1.0,0.9090909090909091,[0. 0. 0. 0. 0. 1.],[0.  0.1 0.3 0.5 0.9 1. ],[1.74844079 0.74844079 0.74492097 0.73794385 0.72063449 0.69680178],0.95
36,PHYSICS231,0.9375,1.0,0.5,0.9375,1.0,0.5,16,3,2,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,[0. 0. 1.],[0. 1. 1.],[1.93762547 0.93762547 0.93722299],1.0
37,PHYSICS262,0.8125,0.7777777777777778,0.75,0.8125,0.7777777777777778,0.75,64,9,8,0.7777777777777778,1.0,0.8750000000000001,0.75,1.0,0.8571428571428571,[0.  0.5 1. ],[0. 1. 1.],[1.81499989 0.81499989 0.80884639],0.75
38,CS231N,0.6253968253968254,0.75,0.6153846153846154,0.6253968253968254,0.75,0.6153846153846154,315,40,39,0.75,1.0,0.8571428571428571,0.6153846153846154,1.0,0.761904761904762,[0.         0.         0.06666667 0.13333333 1.        ],[0.         0.04166667 0.45833333 0.58333333 1.        ],[1.65223426 0.65223426 0.64655319 0.62076135 0.61486973],0.7375000000000002
39,MATH121,0.8529411764705882,0.8888888888888888,0.75,0.8529411764705882,0.8888888888888888,0.75,68,9,8,0.8888888888888888,1.0,0.9411764705882353,0.75,1.0,0.8571428571428571,[0. 1.],[0. 1.],[1.85339801 0.85339801],0.5
40,EE223,0.9375,1.0,0.5,0.9375,1.0,0.5,16,3,2,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,[0. 1. 1.],[0. 0. 1.],[1.93764278 0.93764278 0.93731384],0.0
41,CHEM153,0.5517241379310345,0.75,0.75,0.5517241379310345,0.75,0.75,29,4,4,0.75,1.0,0.8571428571428571,0.75,1.0,0.8571428571428571,[0. 1.],[0. 1.],[1.55303919 0.55303919],0.5
42,PHYSICS105,0.7741935483870968,0.75,0.8,0.7741935483870968,0.75,0.8,124,16,15,0.75,1.0,0.8571428571428571,0.8,1.0,0.888888888888889,[0.         0.33333333 1.        ],[0.  0.5 1. ],[1.77893044 0.77893044 0.76932225],0.5833333333333334
43,ECON155,0.611764705882353,0.45454545454545453,0.45454545454545453,0.611764705882353,0.45454545454545453,0.45454545454545453,85,11,11,0.45454545454545453,1.0,0.625,0.45454545454545453,1.0,0.625,[0. 0. 1.],[0.  0.6 1. ],[1.61975153 0.61975153 0.59978445],0.8
44,EE264,0.6,0.0,0.5,0.6,0.0,0.5,15,2,2,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,[0. 0. 1.],[0. 1. 1.],[1.60145198 0.60145198 0.60004421],1.0
45,ECON102B,0.5582417582417583,0.5263157894736842,0.5614035087719298,0.5582417582417583,0.5263157894736842,0.5614035087719298,455,57,57,0.5263157894736842,1.0,0.6896551724137931,0.5614035087719298,1.0,0.7191011235955056,[0.   0.16 1.  ],[0.      0.84375 1.     ],[1.5992424  0.5992424  0.50207935],0.8418749999999999
46,PHYSICS171,0.7954545454545454,0.8333333333333334,0.7272727272727273,0.7954545454545454,0.8333333333333334,0.7272727272727273,88,12,11,0.8333333333333334,1.0,0.9090909090909091,0.7272727272727273,1.0,0.8421052631578948,[0.         0.         0.         0.33333333 1.        ],[0.    0.875 1.    1.    1.   ],[1.7994708  0.7994708  0.79339677 0.79156327 0.78531404],1.0
47,ECON145,0.9130434782608695,1.0,0.7777777777777778,0.9130434782608695,1.0,0.7777777777777778,69,9,9,1.0,1.0,1.0,0.7777777777777778,1.0,0.8750000000000001,[0. 0. 0. 1.],[0.         0.28571429 0.42857143 1.        ],[1.91534416 0.91534416 0.91307417 0.91032641],0.7142857142857143
48,CS248,0.8627450980392157,0.9230769230769231,0.8461538461538461,0.8627450980392157,0.9230769230769231,0.8461538461538461,102,13,13,0.9230769230769231,1.0,0.9600000000000001,0.8461538461538461,1.0,0.9166666666666666,[0. 1. 1.],[0.         0.72727273 1.        ],[1.86285653 0.86285653 0.8625858 ],0.36363636363636365
49,ENGR62,0.7717391304347826,0.75,0.6363636363636364,0.7717391304347826,0.75,0.6363636363636364,92,12,11,0.75,1.0,0.8571428571428571,0.6363636363636364,1.0,0.7777777777777778,[0.   0.25 0.75 1.  ],[0.         0.42857143 0.71428571 1.        ],[1.77542781 0.77542781 0.77213656 0.76870977],0.5535714285714286
50,CS246,0.5625,0.7,0.65,0.5625,0.7,0.65,160,20,20,0.7,1.0,0.8235294117647058,0.65,1.0,0.787878787878788,[0.         0.         0.         0.14285714 0.42857143 1.        ],[0.         0.23076923 0.69230769 0.84615385 0.84615385 1.        ],[1.59218189 0.59218189 0.58163607 0.56076536 0.55502573 0.53389135],0.8791208791208791
51,PSYCH80,0.7486033519553073,0.6666666666666666,0.8,0.7486033519553073,0.6666666666666666,0.8,358,45,45,0.6666666666666666,1.0,0.8,0.8,1.0,0.888888888888889,[0.         0.33333333 1.        ],[0.         0.66666667 1.        ],[1.76641806 0.76641806 0.72890238],0.6666666666666667
52,PHIL186,0.7966101694915254,1.0,0.8571428571428571,0.7966101694915254,1.0,0.8571428571428571,59,8,7,1.0,1.0,1.0,0.8571428571428571,1.0,0.923076923076923,[0. 1.],[0. 1.],[1.7984312 0.7984312],0.5
53,CS168,0.6944444444444444,0.7894736842105263,0.6666666666666666,0.6944444444444444,0.7894736842105263,0.6666666666666666,144,19,18,0.7894736842105263,1.0,0.8823529411764706,0.6666666666666666,1.0,0.8,[0. 0. 0. 0. 1.],[0.         0.58333333 0.66666667 0.91666667 1.        ],[1.71344652 0.71344652 0.69330557 0.68999873 0.66897438],0.9583333333333333
54,MCS100,0.9583333333333334,0.8333333333333334,0.8333333333333334,0.9583333333333334,0.8333333333333334,0.8333333333333334,48,6,6,0.8333333333333334,1.0,0.9090909090909091,0.8333333333333334,1.0,0.9090909090909091,[0. 0. 1.],[0.  0.2 1. ],[1.95844253 0.95844253 0.9583099 ],0.6
55,PSYCH95,0.8547717842323651,0.8064516129032258,0.8333333333333334,0.8547717842323651,0.8064516129032258,0.8333333333333334,241,31,30,0.8064516129032258,1.0,0.8928571428571428,0.8333333333333334,1.0,0.9090909090909091,[0.  0.2 1. ],[0.   0.68 1.  ],[1.85960924 0.85960924 0.84556531],0.7400000000000002
56,ENERGY104,0.8235294117647058,0.8,0.75,0.8235294117647058,0.8,0.75,34,5,4,0.8,1.0,0.888888888888889,0.75,1.0,0.8571428571428571,[0. 0. 1.],[0.         0.33333333 1.        ],[1.82404698 0.82404698 0.82345207],0.6666666666666666
57,CS224N,0.726027397260274,0.7837837837837838,0.7777777777777778,0.726027397260274,0.7837837837837838,0.7777777777777778,292,37,36,0.7837837837837838,1.0,0.8787878787878788,0.7777777777777778,1.0,0.8750000000000001,[0.    0.    0.125 0.625 1.   ],[0.         0.53571429 0.57142857 0.89285714 1.        ],[1.74200659 0.74200659 0.74119084 0.70913861 0.70825979],0.7901785714285715
58,ECON157,0.8085106382978723,0.8333333333333334,0.6666666666666666,0.8085106382978723,0.8333333333333334,0.6666666666666666,47,6,6,0.8333333333333334,1.0,0.9090909090909091,0.6666666666666666,1.0,0.8,[0.  0.5 1. ],[0. 1. 1.],[1.81017998 0.81017998 0.80233406],0.75
59,PHYSICS65,0.625,0.7857142857142857,0.8461538461538461,0.625,0.7857142857142857,0.8461538461538461,104,14,13,0.7857142857142857,1.0,0.88,0.8461538461538461,1.0,0.9166666666666666,[0. 1. 1. 1.],[0.         0.54545455 0.81818182 1.        ],[1.63417598 0.63417598 0.61197424 0.59344275],0.2727272727272727
60,MS&E120,0.6707317073170732,0.75,0.6862745098039216,0.6707317073170732,0.75,0.6862745098039216,410,52,51,0.75,1.0,0.8571428571428571,0.6862745098039216,1.0,0.813953488372093,[0.    0.125 0.125 1.   ],[0.         0.28571429 0.51428571 1.        ],[1.68956694 0.68956694 0.68943387 0.65966761],0.6803571428571429
61,MATH205B,0.9,1.0,0.6666666666666666,0.9,1.0,0.6666666666666666,20,3,3,1.0,1.0,1.0,0.6666666666666666,1.0,0.8,[0. 0. 1.],[0. 1. 1.],[1.90009446 0.90009446 0.89946466],1.0
62,STATS116,0.6885245901639344,0.8205128205128205,0.6842105263157895,0.6885245901639344,0.8205128205128205,0.6842105263157895,305,39,38,0.8205128205128205,1.0,0.9014084507042254,0.6842105263157895,1.0,0.8125000000000001,[0.         0.41666667 1.        ],[0.         0.42307692 1.        ],[1.70297822 0.70297822 0.67940416],0.5032051282051282
63,PSYCH90,0.823170731707317,0.8095238095238095,0.9,0.823170731707317,0.8095238095238095,0.9,164,21,20,0.8095238095238095,1.0,0.8947368421052632,0.9,1.0,0.9473684210526316,[0.  0.5 1. ],[0.         0.66666667 1.        ],[1.82987863 0.82987863 0.81559166],0.5833333333333333
