,course_name,train_score,test_score,dev_score,train_groundtruth,test_groundtruth,dev_groundtruth,train_size,test_size,dev_size,test_precision,test_recall,test_f1_score,dev_precision,dev_recall,dev_f1_score,dev_fpr,dev_tpr,dev_threshold,dev_auc
0,MATH109,0.7551020408163265,0.42857142857142855,0.3333333333333333,0.7551020408163265,0.42857142857142855,0.3333333333333333,49,7,6,0.42857142857142855,1.0,0.6,0.3333333333333333,1.0,0.5,[0. 0. 0. 1.],[0.  0.5 1.  1. ],[1.76354302 0.76354302 0.75335759 0.73870794],1.0
1,CS166,0.6494845360824743,0.8461538461538461,0.5,0.6494845360824743,0.8461538461538461,0.5,97,13,12,0.8461538461538461,1.0,0.9166666666666666,0.5,1.0,0.6666666666666666,"[0.         0.         0.         0.16666667 0.16666667 0.83333333
 0.83333333 1.        ]","[0.         0.16666667 0.33333333 0.33333333 0.66666667 0.66666667
 1.         1.        ]","[1.66286821 0.66286821 0.65891903 0.65328005 0.65009225 0.63719337
 0.62194993 0.61341468]",0.6666666666666666
2,PHIL151,0.6293103448275862,0.6666666666666666,0.5333333333333333,0.6293103448275862,0.6666666666666666,0.5333333333333333,116,15,15,0.6666666666666666,1.0,0.8,0.5333333333333333,1.0,0.6956521739130436,"[0.         0.         0.         0.14285714 0.14285714 0.28571429
 0.28571429 1.        ]",[0.    0.125 0.375 0.375 0.875 0.875 1.    1.   ],"[1.66348278 0.66348278 0.65616958 0.64428873 0.6182394  0.61544253
 0.61178032 0.57039666]",0.8928571428571429
3,CS102,0.7126436781609196,0.6363636363636364,0.7272727272727273,0.7126436781609196,0.6363636363636364,0.7272727272727273,174,22,22,0.6363636363636364,1.0,0.7777777777777778,0.7272727272727273,1.0,0.8421052631578948,"[0.         0.         0.         0.16666667 0.16666667 0.66666667
 0.66666667 0.83333333 0.83333333 0.83333333 1.        ]","[0.     0.0625 0.125  0.125  0.6875 0.6875 0.8125 0.8125 0.9375 1.
 1.    ]","[1.7643345  0.7643345  0.75953699 0.75859967 0.70863995 0.68907888
 0.68211849 0.68129133 0.68043931 0.67574391 0.67416134]",0.6666666666666667
4,ECON102B,0.7670329670329671,0.7368421052631579,0.8421052631578947,0.5582417582417583,0.5263157894736842,0.5614035087719298,455,57,57,0.6829268292682927,0.9333333333333333,0.7887323943661972,0.8108108108108109,0.9375,0.8695652173913043,"[0.   0.   0.   0.08 0.08 0.08 0.08 0.08 0.08 0.12 0.12 0.28 0.28 0.32
 0.32 0.4  0.4  0.44 0.52 0.72 0.92 1.  ]","[0.      0.03125 0.34375 0.34375 0.53125 0.625   0.71875 0.78125 0.84375
 0.84375 0.90625 0.90625 0.9375  0.9375  0.96875 0.96875 1.      1.
 1.      1.      1.      1.     ]","[1.72146869 0.72146869 0.6630749  0.65402348 0.6217229  0.60634396
 0.59729821 0.56391326 0.55151574 0.55000889 0.53799623 0.5123977
 0.50385959 0.49732192 0.48255592 0.47295089 0.47099472 0.4526285
 0.45129086 0.42220294 0.42192841 0.40634131]",0.92125
5,MCS100,0.9583333333333334,0.8333333333333334,0.8333333333333334,0.9583333333333334,0.8333333333333334,0.8333333333333334,48,6,6,0.8333333333333334,1.0,0.9090909090909091,0.8333333333333334,1.0,0.9090909090909091,[0. 0. 0. 1. 1.],[0.  0.2 0.8 0.8 1. ],[1.95867894 0.95867894 0.95693025 0.9567939  0.95674245],0.8
6,ECON140,0.696969696969697,0.47058823529411764,0.6875,0.696969696969697,0.47058823529411764,0.6875,132,17,16,0.47058823529411764,1.0,0.6399999999999999,0.6875,1.0,0.8148148148148148,[0.  0.  0.  0.2 0.2 0.4 0.4 1. ],"[0.         0.09090909 0.54545455 0.54545455 0.90909091 0.90909091
 1.         1.        ]","[1.74753798 0.74753798 0.72090746 0.71811222 0.68477838 0.67690609
 0.67029794 0.63594385]",0.8909090909090909
7,BIOE123,0.9661016949152542,1.0,0.9333333333333333,0.9661016949152542,1.0,0.9333333333333333,118,15,15,1.0,1.0,1.0,0.9333333333333333,1.0,0.9655172413793104,[0. 0. 0. 1.],[0.         0.07142857 1.         1.        ],[1.96939609 0.96939609 0.96282464 0.96236343],1.0
8,EE102B,0.8021978021978022,0.75,0.5454545454545454,0.8021978021978022,0.75,0.5454545454545454,91,12,11,0.75,1.0,0.8571428571428571,0.5454545454545454,1.0,0.7058823529411764,[0.  0.  0.  0.2 0.2 1. ],[0.         0.16666667 0.83333333 0.83333333 1.         1.        ],[1.82601559 0.82601559 0.80419247 0.79971161 0.79525967 0.75715868],0.9666666666666668
9,MATH143,0.8095238095238095,0.8333333333333334,0.2,0.8095238095238095,0.8333333333333334,0.2,42,6,5,0.8333333333333334,1.0,0.9090909090909091,0.2,1.0,0.33333333333333337,[0. 0. 1.],[0. 1. 1.],[1.81326865 0.81326865 0.79670516],1.0
10,CHEMENG162,0.625,1.0,0.5,0.625,1.0,0.5,16,2,2,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,[0. 1. 1.],[0. 0. 1.],[1.62562985 0.62562985 0.61744792],0.0
11,MATH205B,0.9,1.0,0.6666666666666666,0.9,1.0,0.6666666666666666,20,3,3,1.0,1.0,1.0,0.6666666666666666,1.0,0.8,[0. 0. 1. 1.],[0.  0.5 0.5 1. ],[1.90031342 0.90031342 0.89967058 0.89649933],0.5
12,PHYSICS120,0.7,0.6875,0.6666666666666666,0.7,0.6875,0.6666666666666666,120,16,15,0.6875,1.0,0.8148148148148148,0.6666666666666666,1.0,0.8,[0.  0.  0.  0.6 0.6 1. ],[0.  0.1 0.9 0.9 1.  1. ],[1.76508975 0.76508975 0.68403901 0.66190901 0.64633295 0.63378779],0.9400000000000001
13,CHEMENG150,0.7368421052631579,0.7,0.7,0.5657894736842105,0.7,0.7,76,10,10,0.7,1.0,0.8235294117647058,0.8333333333333334,0.7142857142857143,0.7692307692307692,[0.         0.         0.         0.33333333 0.33333333 1.        ],[0.         0.14285714 0.71428571 0.71428571 1.         1.        ],[1.64965717 0.64965717 0.6189168  0.53259089 0.4978618  0.4711978 ],0.9047619047619049
14,PHIL154,0.75,0.75,0.6666666666666666,0.75,0.75,0.6666666666666666,28,4,3,0.75,1.0,0.8571428571428571,0.6666666666666666,1.0,0.8,[0. 0. 1. 1.],[0.  0.5 0.5 1. ],[1.75571873 0.75571873 0.74350124 0.73991401],0.5
15,HUMBIO3B,0.7751091703056768,0.7758620689655172,0.7368421052631579,0.5676855895196506,0.46551724137931033,0.5263157894736842,458,58,57,0.6944444444444444,0.9259259259259259,0.7936507936507936,0.7586206896551724,0.7333333333333333,0.7457627118644068,"[0.         0.         0.         0.03703704 0.03703704 0.07407407
 0.07407407 0.11111111 0.11111111 0.14814815 0.14814815 0.18518519
 0.18518519 0.25925926 0.37037037 0.40740741 0.40740741 0.51851852
 0.51851852 0.96296296 1.        ]","[0.         0.03333333 0.2        0.2        0.36666667 0.36666667
 0.46666667 0.46666667 0.5        0.5        0.7        0.7
 0.73333333 0.73333333 0.83333333 0.83333333 0.86666667 0.86666667
 0.9        0.93333333 1.        ]","[1.77186558 0.77186558 0.72112452 0.69834154 0.68393256 0.68065252
 0.6699299  0.66906475 0.66707911 0.65584812 0.60751925 0.60575722
 0.5875368  0.50698322 0.48812815 0.48728363 0.48445036 0.46104847
 0.45749618 0.45488061 0.44867349]",0.7944444444444446
16,CS377U,0.8627450980392157,0.7142857142857143,0.3333333333333333,0.8627450980392157,0.7142857142857143,0.3333333333333333,51,7,6,0.7142857142857143,1.0,0.8333333333333333,0.3333333333333333,1.0,0.5,[0. 0. 0. 1.],[0.  0.5 1.  1. ],[1.86741445 0.86741445 0.86553694 0.85926139],1.0
17,ME101,0.9794952681388013,0.975,0.9746835443037974,0.9794952681388013,0.975,0.9746835443037974,634,80,79,0.975,1.0,0.9873417721518987,0.9746835443037974,1.0,0.9871794871794872,[0.  0.  0.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1.  1. ],"[0.         0.01298701 0.2987013  0.2987013  0.33766234 0.36363636
 0.53246753 0.57142857 0.62337662 0.66233766 0.72727273 0.98701299
 1.        ]","[1.98111238 0.98111238 0.97959804 0.97956792 0.97947175 0.9794404
 0.97919987 0.97918084 0.9791419  0.9791257  0.97899083 0.97898651
 0.97888209]",0.577922077922078
18,EE223,0.9375,1.0,0.5,0.9375,1.0,0.5,16,3,2,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,[0. 0. 1.],[0. 1. 1.],[1.93759561 0.93759561 0.93741307],1.0
19,CEE166B,0.75,0.5,0.5,0.75,0.5,0.5,16,2,2,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,[0. 1. 1.],[0. 0. 1.],[1.7521598  0.7521598  0.74894212],0.0
20,CEE177,0.5757575757575758,0.2,0.5,0.5757575757575758,0.2,0.5,33,5,4,0.2,1.0,0.33333333333333337,0.5,1.0,0.6666666666666666,[0. 0. 0. 1.],[0.  0.5 1.  1. ],[1.58881985 0.58881985 0.58340423 0.57991146],1.0
21,MS&E120,0.6707317073170732,0.75,0.6862745098039216,0.6707317073170732,0.75,0.6862745098039216,410,52,51,0.75,1.0,0.8571428571428571,0.6862745098039216,1.0,0.813953488372093,"[0.     0.     0.     0.0625 0.0625 0.1875 0.1875 0.25   0.25   0.3125
 0.3125 0.375  0.375  0.5625 0.8125 0.875  1.    ]","[0.         0.02857143 0.34285714 0.34285714 0.77142857 0.77142857
 0.82857143 0.82857143 0.85714286 0.88571429 0.91428571 0.94285714
 0.97142857 0.97142857 0.97142857 1.         1.        ]","[1.79387344 0.79387344 0.7225761  0.71900985 0.67441124 0.65686056
 0.64857031 0.64792002 0.64622505 0.64607601 0.63818548 0.63619501
 0.62698717 0.59638948 0.59560035 0.59188794 0.58452829]",0.89375
22,CHEM175,0.7714285714285715,0.8571428571428571,0.5384615384615384,0.7714285714285715,0.8571428571428571,0.5384615384615384,105,14,13,0.8571428571428571,1.0,0.923076923076923,0.5384615384615384,1.0,0.7000000000000001,[0. 0. 0. 1. 1.],[0.         0.14285714 0.85714286 0.85714286 1.        ],[1.84284041 0.84284041 0.76022189 0.67425785 0.67236405],0.8571428571428571
23,CS265,0.6666666666666666,0.8,0.8,0.6666666666666666,0.8,0.8,39,5,5,0.8,1.0,0.888888888888889,0.8,1.0,0.888888888888889,[0. 0. 0. 1.],[0.   0.25 1.   1.  ],[1.67465603 0.67465603 0.6615322  0.63741429],1.0
24,MS&E260,0.75,0.5833333333333334,0.6363636363636364,0.75,0.5833333333333334,0.6363636363636364,92,12,11,0.5833333333333334,1.0,0.7368421052631579,0.6363636363636364,1.0,0.7777777777777778,[0.   0.   0.   0.25 0.25 0.5  0.5  1.  ],"[0.         0.14285714 0.28571429 0.28571429 0.42857143 0.42857143
 1.         1.        ]","[1.78966695 0.78966695 0.76835766 0.76611855 0.76483457 0.76412273
 0.71766687 0.70345031]",0.6785714285714286
25,EE180,0.7327586206896551,0.7333333333333333,0.6,0.7327586206896551,0.7333333333333333,0.6,116,15,15,0.7333333333333333,1.0,0.846153846153846,0.6,1.0,0.7499999999999999,"[0.         0.         0.16666667 0.16666667 0.33333333 0.33333333
 0.66666667 0.66666667 1.        ]","[0.         0.11111111 0.11111111 0.44444444 0.44444444 0.88888889
 0.88888889 1.         1.        ]","[1.76732936 0.76732936 0.74908453 0.74033258 0.73977061 0.7042645
 0.7024298  0.69865408 0.67991499]",0.7222222222222222
26,CME106,0.7266881028938906,0.7692307692307693,0.6410256410256411,0.4790996784565916,0.48717948717948717,0.5384615384615384,311,39,39,0.7272727272727273,0.8421052631578947,0.7804878048780488,0.7058823529411765,0.5714285714285714,0.6315789473684211,"[0.         0.         0.16666667 0.16666667 0.22222222 0.22222222
 0.33333333 0.33333333 0.38888889 0.38888889 0.55555556 0.55555556
 0.61111111 0.61111111 0.88888889 0.88888889 1.        ]","[0.         0.04761905 0.04761905 0.42857143 0.42857143 0.57142857
 0.57142857 0.80952381 0.80952381 0.85714286 0.85714286 0.9047619
 0.9047619  0.95238095 0.95238095 1.         1.        ]","[1.6136142  0.6136142  0.55010018 0.5263606  0.52368337 0.51050725
 0.49619728 0.4715197  0.47045559 0.46570574 0.44784991 0.44726552
 0.44222641 0.43756912 0.41361936 0.41261707 0.39094965]",0.708994708994709
27,PHIL186,0.7966101694915254,1.0,0.8571428571428571,0.7966101694915254,1.0,0.8571428571428571,59,8,7,1.0,1.0,1.0,0.8571428571428571,1.0,0.923076923076923,[0. 0. 0. 1.],[0.         0.16666667 1.         1.        ],[1.8008199  0.8008199  0.78846557 0.78777249],1.0
28,CS107E,0.7268041237113402,0.64,0.6666666666666666,0.7268041237113402,0.64,0.6666666666666666,194,25,24,0.64,1.0,0.7804878048780487,0.6666666666666666,1.0,0.8,"[0.    0.    0.    0.125 0.125 0.25  0.25  0.375 0.375 0.5   0.5   0.75
 0.875 0.875 1.   ]","[0.     0.0625 0.125  0.125  0.5625 0.5625 0.625  0.625  0.75   0.75
 0.8125 0.8125 0.8125 1.     1.    ]","[1.74410721 0.74410721 0.74040327 0.73740488 0.729486   0.72898754
 0.72882122 0.72804631 0.72641679 0.72437128 0.72425219 0.72324139
 0.71931841 0.71574376 0.70313698]",0.6875
29,EE114,0.6944444444444444,0.6,0.6,0.6944444444444444,0.6,0.6,36,5,5,0.6,1.0,0.7499999999999999,0.6,1.0,0.7499999999999999,[0. 0. 0. 1.],[0.         0.33333333 1.         1.        ],[1.71373945 0.71373945 0.707186   0.65072149],1.0
30,CHEM181,0.723404255319149,0.7777777777777778,0.6666666666666666,0.723404255319149,0.7777777777777778,0.6666666666666666,141,18,18,0.7777777777777778,1.0,0.8750000000000001,0.6666666666666666,1.0,0.8,"[0.         0.         0.         0.16666667 0.16666667 0.83333333
 0.83333333 1.        ]","[0.         0.08333333 0.41666667 0.41666667 0.91666667 0.91666667
 1.         1.        ]","[1.80580328 0.80580328 0.76196913 0.75861718 0.724377   0.71342486
 0.66729202 0.6505613 ]",0.8472222222222222
31,CHEM131,0.7870722433460076,0.696969696969697,0.7272727272727273,0.4790874524714829,0.5151515151515151,0.3939393939393939,263,33,33,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.6666666666666666,0.6153846153846154,0.64,"[0.   0.   0.   0.05 0.05 0.1  0.1  0.25 0.25 0.45 0.45 0.6  0.6  0.9
 1.  ]","[0.         0.07692308 0.15384615 0.15384615 0.38461538 0.38461538
 0.61538462 0.61538462 0.76923077 0.76923077 0.84615385 0.84615385
 1.         1.         1.        ]","[1.63718591 0.63718591 0.60842757 0.60513716 0.55745591 0.53662912
 0.51571501 0.49756515 0.4906975  0.47432825 0.47269244 0.42474434
 0.42038982 0.37200601 0.3718027 ]",0.8
32,CS106X,0.7240356083086054,0.7209302325581395,0.7142857142857143,0.7240356083086054,0.7209302325581395,0.7142857142857143,337,43,42,0.7209302325581395,1.0,0.8378378378378378,0.7142857142857143,1.0,0.8333333333333333,"[0.         0.         0.         0.16666667 0.16666667 0.83333333
 0.91666667 0.91666667 1.         1.        ]","[0.         0.03333333 0.06666667 0.06666667 0.1        0.8
 0.8        0.93333333 0.96666667 1.        ]","[1.73759275 0.73759275 0.73527709 0.73193118 0.72834513 0.72689325
 0.72106262 0.70325997 0.70297279 0.70136294]",0.4569444444444445
33,CS223A,0.574468085106383,0.3333333333333333,0.8333333333333334,0.574468085106383,0.3333333333333333,0.8333333333333334,47,6,6,0.3333333333333333,1.0,0.5,0.8333333333333334,1.0,0.9090909090909091,[0. 0. 0. 1.],[0.  0.2 1.  1. ],[1.61037269 0.61037269 0.57054456 0.55908911],1.0
34,EE101A,0.6530612244897959,0.28,0.8,0.6530612244897959,0.28,0.8,196,25,25,0.28,1.0,0.43750000000000006,0.8,1.0,0.888888888888889,[0.  0.  0.  0.2 0.2 0.4 0.4 0.6 0.6 1. ],[0.   0.05 0.35 0.35 0.65 0.65 0.9  0.9  1.   1.  ],"[1.72668465 0.72668465 0.6992639  0.69897862 0.65990762 0.65261376
 0.61382473 0.60960471 0.59601928 0.57662338]",0.78
35,CHEMENG181,0.6764705882352942,0.7058823529411765,0.6470588235294118,0.6764705882352942,0.7058823529411765,0.6470588235294118,136,17,17,0.7058823529411765,1.0,0.8275862068965517,0.6470588235294118,1.0,0.7857142857142858,"[0.         0.         0.         0.16666667 0.16666667 0.83333333
 0.83333333 1.        ]","[0.         0.09090909 0.63636364 0.63636364 0.90909091 0.90909091
 1.         1.        ]","[1.76709177 0.76709177 0.70472275 0.68958819 0.67400724 0.59922307
 0.57886579 0.57586634]",0.8787878787878788
36,CS224N,0.726027397260274,0.7837837837837838,0.7777777777777778,0.726027397260274,0.7837837837837838,0.7777777777777778,292,37,36,0.7837837837837838,1.0,0.8787878787878788,0.7777777777777778,1.0,0.8750000000000001,"[0.    0.    0.    0.25  0.25  0.375 0.375 0.5   0.5   0.625 0.625 0.875
 0.875 1.    1.   ]","[0.         0.03571429 0.5        0.5        0.71428571 0.71428571
 0.75       0.75       0.78571429 0.78571429 0.92857143 0.92857143
 0.96428571 0.96428571 1.        ]","[1.81667237 0.81667237 0.74647716 0.73528889 0.71546012 0.71484753
 0.7013337  0.6926901  0.69141744 0.68327076 0.65941954 0.63698774
 0.62369101 0.62194156 0.61780901]",0.7589285714285715
37,MATH145,0.875,1.0,0.6666666666666666,0.875,1.0,0.6666666666666666,24,3,3,1.0,1.0,1.0,0.6666666666666666,1.0,0.8,[0. 0. 0. 1.],[0.  0.5 1.  1. ],[1.87893278 0.87893278 0.87510654 0.87282678],1.0
38,MATH107,0.7529411764705882,0.7272727272727273,0.6363636363636364,0.7529411764705882,0.7272727272727273,0.6363636363636364,85,11,11,0.7272727272727273,1.0,0.8421052631578948,0.6363636363636364,1.0,0.7777777777777778,[0. 0. 0. 1. 1.],[0.         0.14285714 0.71428571 0.71428571 1.        ],[1.76251303 0.76251303 0.7516611  0.73567578 0.72749068],0.7142857142857143
39,MS&E121,0.8432055749128919,0.9166666666666666,0.8055555555555556,0.8432055749128919,0.9166666666666666,0.8055555555555556,287,36,36,0.9166666666666666,1.0,0.9565217391304348,0.8055555555555556,1.0,0.8923076923076924,"[0.         0.         0.         0.14285714 0.14285714 0.28571429
 0.28571429 0.42857143 0.42857143 0.57142857 1.        ]","[0.         0.03448276 0.82758621 0.82758621 0.86206897 0.86206897
 0.89655172 0.89655172 1.         1.         1.        ]","[1.89479537 0.89479537 0.82624334 0.82021713 0.81884772 0.81655078
 0.80945591 0.80523474 0.79678863 0.78433796 0.7839409 ]",0.9408866995073892
40,CME104A,0.7619047619047619,0.6666666666666666,0.3333333333333333,0.7619047619047619,0.6666666666666666,0.3333333333333333,21,3,3,0.6666666666666666,1.0,0.8,0.3333333333333333,1.0,0.5,[0. 0. 1.],[0. 1. 1.],[1.75900896 0.75900896 0.75466893],1.0
41,CS181,0.717391304347826,0.7391304347826086,0.9130434782608695,0.717391304347826,0.7391304347826086,0.9130434782608695,184,23,23,0.7391304347826086,1.0,0.85,0.9130434782608695,1.0,0.9545454545454545,[0.  0.  0.  0.5 0.5 1.  1. ],"[0.         0.04761905 0.71428571 0.71428571 0.95238095 0.95238095
 1.        ]","[1.74921017 0.74921017 0.70291504 0.70079023 0.69008021 0.68973028
 0.68760909]",0.8333333333333333
42,ME227,0.6571428571428571,0.4,0.5,0.6571428571428571,0.4,0.5,35,5,4,0.4,1.0,0.5714285714285715,0.5,1.0,0.6666666666666666,[0.  0.  0.5 0.5 1. ],[0.  0.5 0.5 1.  1. ],[1.66842353 0.66842353 0.65058181 0.64921213 0.63809537],0.75
43,MS&E211,0.7326732673267327,0.7692307692307693,0.6923076923076923,0.7326732673267327,0.7692307692307693,0.6923076923076923,101,13,13,0.7692307692307693,1.0,0.8695652173913044,0.6923076923076923,1.0,0.8181818181818181,[0.   0.   0.25 0.25 0.5  0.5  1.   1.  ],"[0.         0.11111111 0.11111111 0.22222222 0.22222222 0.88888889
 0.88888889 1.        ]","[1.75891584 0.75891584 0.75223046 0.74966722 0.74248947 0.72092902
 0.70883196 0.70472471]",0.5277777777777778
44,MATH20,0.5532574974146846,0.5950413223140496,0.5785123966942148,0.5522233712512926,0.5950413223140496,0.5702479338842975,967,121,121,0.5950413223140496,1.0,0.7461139896373057,0.575,1.0,0.7301587301587301,"[0.         0.         0.03846154 0.03846154 0.03846154 0.15384615
 0.17307692 0.17307692 0.19230769 0.26923077 0.28846154 0.28846154
 0.30769231 0.92307692 1.        ]","[0.         0.01449275 0.10144928 0.15942029 0.20289855 0.44927536
 0.44927536 0.49275362 0.49275362 0.49275362 0.49275362 0.52173913
 0.52173913 1.         1.        ]","[1.6831712  0.6831712  0.67135915 0.62507708 0.61516179 0.61035676
 0.60889269 0.58048764 0.53540105 0.52977558 0.52854523 0.51986432
 0.51505064 0.51480789 0.49567232]",0.6605351170568562
45,CS144,0.7485714285714286,0.6818181818181818,0.6818181818181818,0.5085714285714286,0.45454545454545453,0.5,175,22,22,0.6153846153846154,0.8,0.6956521739130435,0.6428571428571429,0.8181818181818182,0.7200000000000001,"[0.         0.         0.         0.27272727 0.27272727 0.45454545
 0.45454545 0.72727273 0.72727273 1.        ]","[0.         0.09090909 0.72727273 0.72727273 0.81818182 0.81818182
 0.90909091 0.90909091 1.         1.        ]","[1.60902471 0.60902471 0.52738301 0.5147568  0.51135845 0.50310851
 0.49878489 0.44394552 0.43530746 0.39622701]",0.8677685950413223
46,MATH171,0.6289308176100629,0.7,0.85,0.6289308176100629,0.7,0.85,159,20,20,0.7,1.0,0.8235294117647058,0.85,1.0,0.9189189189189189,"[0.         0.33333333 0.33333333 0.66666667 0.66666667 1.
 1.        ]","[0.         0.         0.88235294 0.88235294 0.94117647 0.94117647
 1.        ]","[1.66845727 0.66845727 0.61871522 0.61685183 0.61632034 0.6128021
 0.60847958]",0.607843137254902
47,AA279A,0.75,0.6666666666666666,0.5,0.75,0.6666666666666666,0.5,16,3,2,0.6666666666666666,1.0,0.8,0.5,1.0,0.6666666666666666,[0. 0. 1.],[0. 1. 1.],[1.74486744 0.74486744 0.73823852],1.0
48,ECON102C,0.9183673469387755,0.8571428571428571,0.8333333333333334,0.9183673469387755,0.8571428571428571,0.8333333333333334,49,7,6,0.8571428571428571,1.0,0.923076923076923,0.8333333333333334,1.0,0.9090909090909091,[0. 0. 0. 1.],[0.  0.2 1.  1. ],[1.92354816 0.92354816 0.91712185 0.91412864],1.0
49,CME100,0.644119907763259,0.6748466257668712,0.656441717791411,0.6425826287471176,0.6748466257668712,0.6503067484662577,1301,163,163,0.6748466257668712,1.0,0.8058608058608058,0.654320987654321,1.0,0.791044776119403,"[0.         0.         0.03508772 0.03508772 0.0877193  0.0877193
 0.10526316 0.10526316 0.10526316 0.10526316 0.10526316 0.10526316
 0.12280702 0.12280702 0.12280702 0.14035088 0.14035088 0.15789474
 0.15789474 0.1754386  0.19298246 0.19298246 0.21052632 0.28070175
 0.29824561 0.77192982 0.78947368 0.78947368 0.84210526 0.84210526
 0.89473684 0.89473684 0.98245614 0.98245614 1.        ]","[0.         0.00943396 0.00943396 0.03773585 0.03773585 0.12264151
 0.12264151 0.14150943 0.16037736 0.16981132 0.18867925 0.20754717
 0.20754717 0.23584906 0.25471698 0.25471698 0.29245283 0.29245283
 0.30188679 0.31132075 0.36792453 0.37735849 0.37735849 0.39622642
 0.39622642 0.94339623 0.94339623 0.97169811 0.97169811 0.98113208
 0.98113208 0.99056604 0.99056604 1.         1.        ]","[1.72629997 0.72629997 0.70144331 0.69158928 0.68714486 0.67254309
 0.67087203 0.66677599 0.6627579  0.66128593 0.66019689 0.65977268
 0.65881538 0.6529971  0.65193115 0.65101165 0.64999798 0.64990509
 0.6485496  0.64786517 0.64710276 0.64709432 0.64415725 0.64193156
 0.63952183 0.63704167 0.63548001 0.62527945 0.62273092 0.62155339
 0.61417516 0.59975675 0.56114734 0.54889896 0.43888595]",0.6108076795762992
