,ECON102B,CHEM33,CHEM31X,CHEM171,MS&E120,CME100,MATH51,MS&E111,ECON102A,ECON50,EE102A,EE102B,MATH52,ENGR154,BIO41,CHEM35,MATH42,MATH21,MATH41,MATH20,MATH19,BIO43,BIO101,HUMBIO2A,MATH120,MATH109,PHYSICS41,CHEM31A,CME106,ECON52,BIO42,CME102,ME131A,ENGR30,ME70,ENGR15,PHIL80,CS106A,PSYCH1,CS148,EE42,ME203,ME115B,ME115A,CS147,CS106B,CS142,CHEM151,CHEM173,MATH171,MATH115,HUMBIO3B,CS161,PHIL151,PHIL150,PHYSICS121,CHEMENG100,ME112,ME80,ME101,ENGR105,MATH113,PHYSICS130,PHYSICS170,PHYSICS63,PHYSICS61,MATH53,CS221,CS124,EE114,EE214A,ENERGY101,ENERGY102,CS110,ECON51,LINGUIST1,CS224N,CS229,CS107,CS140,PHYSICS41A,CS108,STATS110,STATS141,STATS60,CME104,PHYSICS43,EE101B,CEE180,MATH104,CS103,CS210A,LINGUIST120,CS109,CS106X,ENGR40M,CS145,CEE101A,ENGR14,CHEM131,CHEM135,BIOE41,CHEM181,PHYSICS131,MS&E145,MS&E245A,MS&E245G,ENGR40,EE122A,PHYSICS120,MATH173,MATH131P,EE101A,PHYSICS110,EE222,EE263,CHEMENG181,PHYSICS65,PHYSICS70,STATS116,PHYSICS112,MATH52H,ME161,CHEMENG120A,CHEMENG120B,ECON1,CEE166A,CS248,PHYSICS105,CS193A,CS193P,LINGUIST180,CS224S,LINGUIST130A,LINGUIST130B,CS157,MATH205A,MS&E125,PHYSICS45,EE65,CHEMENG110,MATH121,MATH143,MATH146,MATH147,MATH148,MATH51H,CS131,ME216B,ME216A,ENGR20,CHEMENG20,CEE182,CEE181,EE178,EE261,PHYSICS107,MS&E220,PSYCH60,PSYCH146,EE108,PHYSICS230,STATS200
PUBLPOL105,1.4917365233237272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBLPOL104,1.3662195937746102,,,,,,,,,1.736137846017845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON112,1.0470941051746823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.299195975473562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON102C,2.3671989373239346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON118,3.297675071639705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021437977914278098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON144,0.6160586710988571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2939852190670752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON145,1.1078034485088448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8513099211697137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMENG162,,1.2527628988594202,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIO188,,0.0,,0.0,,,,,,,,,,,,0.8109176915419223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50403190449925,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMENG181,,1.3852719641541542,,2.608630430873865,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28085743937738633,1.6846534840745442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
