,course_name,train_score,test_score,dev_score,train_groundtruth,test_groundtruth,dev_groundtruth,train_size,test_size,dev_size,test_precision,test_recall,test_f1_score,dev_precision,dev_recall,dev_f1_score,dev_fpr,dev_tpr,dev_threshold,dev_auc
0,CS166,0.7731958762886598,0.8461538461538461,0.5833333333333334,0.6494845360824743,0.8461538461538461,0.5,97,13,12,0.8461538461538461,1.0,0.9166666666666666,0.5454545454545454,1.0,0.7058823529411764,[0.         0.16666667 0.33333333 0.66666667 1.        ],[0.         0.16666667 0.66666667 1.         1.        ],[1.73758698 0.73758698 0.72942701 0.64747392 0.5       ],0.6944444444444444
1,MATH109,0.7551020408163265,0.42857142857142855,0.3333333333333333,0.7551020408163265,0.42857142857142855,0.3333333333333333,49,7,6,0.42857142857142855,1.0,0.6,0.3333333333333333,1.0,0.5,[0.   0.25 0.25 1.  ],[0. 0. 1. 1.],[1.77979252 0.77979252 0.66515561 0.52194549],0.75
2,PHIL151,0.7672413793103449,0.8,0.7333333333333333,0.6293103448275862,0.6666666666666666,0.5333333333333333,116,15,15,0.8181818181818182,0.9,0.8571428571428572,0.7,0.875,0.7777777777777777,"[0.         0.         0.14285714 0.14285714 0.28571429 0.28571429
 0.42857143 0.85714286 1.        ]",[0.    0.125 0.125 0.5   0.625 0.75  0.875 1.    1.   ],"[1.81851051 0.81851051 0.69784615 0.65086469 0.62282224 0.61773054
 0.57783687 0.5        0.49459571]",0.7589285714285715
3,CS102,0.7758620689655172,0.6363636363636364,0.5909090909090909,0.7126436781609196,0.6363636363636364,0.7272727272727273,174,22,22,0.6875,0.7857142857142857,0.7333333333333334,0.7333333333333333,0.6875,0.7096774193548386,"[0.         0.         0.         0.16666667 0.16666667 0.66666667
 1.        ]",[0.     0.1875 0.3125 0.375  0.6875 0.6875 1.    ],"[1.922855   0.922855   0.89687684 0.89127706 0.70841219 0.51478118
 0.5       ]",0.6822916666666667
4,MCS100,0.9583333333333334,0.8333333333333334,0.8333333333333334,0.9583333333333334,0.8333333333333334,0.8333333333333334,48,6,6,0.8333333333333334,1.0,0.9090909090909091,0.8333333333333334,1.0,0.9090909090909091,[0. 0. 1.],[0.  0.4 1. ],[1.875      0.875      0.87499423],0.7
5,EE102B,0.9230769230769231,0.75,0.8181818181818182,0.8021978021978022,0.75,0.5454545454545454,91,12,11,0.875,0.7777777777777778,0.823529411764706,0.75,1.0,0.8571428571428571,[0.  0.  0.  0.4 1. ],[0.         0.66666667 1.         1.         1.        ],[1.91787266 0.91787266 0.84646046 0.5135206  0.5       ],1.0
6,MATH205B,0.9,1.0,0.6666666666666666,0.9,1.0,0.6666666666666666,20,3,3,1.0,1.0,1.0,0.6666666666666666,1.0,0.8,[0. 0. 1.],[0. 1. 1.],[1.70588235 0.70588235 0.66663579],1.0
7,ECON102B,0.7538461538461538,0.6842105263157895,0.8596491228070176,0.5582417582417583,0.5263157894736842,0.5614035087719298,455,57,57,0.6666666666666666,0.8,0.7272727272727272,0.8529411764705882,0.90625,0.8787878787878787,"[0.   0.   0.   0.   0.04 0.04 0.04 0.08 0.08 0.08 0.12 0.2  0.2  0.28
 0.28 0.36 0.68 1.  ]","[0.      0.03125 0.1875  0.3125  0.3125  0.4375  0.53125 0.53125 0.59375
 0.71875 0.78125 0.875   0.9375  0.9375  0.96875 0.96875 1.      1.     ]","[1.92726512 0.92726512 0.89611369 0.82878817 0.82265961 0.81203969
 0.76598672 0.72160617 0.69910083 0.69819095 0.55220699 0.53674521
 0.48342013 0.40041181 0.38813732 0.27260285 0.2506401  0.24111057]",0.9175
8,CHEMENG162,0.375,0.0,0.5,0.625,1.0,0.5,16,2,2,0.0,0.0,0.0,0.0,0.0,0.0,[0. 1.],[0. 1.],[1.5 0.5],0.5
9,BIOE123,0.9661016949152542,1.0,0.9333333333333333,0.9661016949152542,1.0,0.9333333333333333,118,15,15,1.0,1.0,1.0,0.9333333333333333,1.0,0.9655172413793104,[0. 0. 0. 0. 0. 0. 1.],"[0.         0.21428571 0.35714286 0.5        0.92857143 1.
 1.        ]","[1.94641079 0.94641079 0.94537837 0.93604755 0.92993484 0.89910161
 0.87860714]",1.0
