,course_name,train_score,test_score,dev_score,train_groundtruth,test_groundtruth,dev_groundtruth,train_size,test_size,dev_size,test_precision,test_recall,test_f1_score,dev_precision,dev_recall,dev_f1_score,dev_fpr,dev_tpr,dev_threshold,dev_auc
0,CHEMENG162,0.9375,1.0,1.0,0.625,1.0,0.5,16,2,2,1.0,1.0,1.0,1.0,1.0,1.0,[0. 0. 1.],[0. 1. 1.],[1.88428837 0.88428837 0.5       ],1.0
1,PHYSICS61,0.8082191780821918,0.8214285714285714,0.7407407407407407,0.8082191780821918,0.8214285714285714,0.7407407407407407,219,28,27,0.8214285714285714,1.0,0.9019607843137255,0.7407407407407407,1.0,0.851063829787234,[0.         0.         0.         0.14285714 1.        ],[0.   0.05 0.1  0.1  1.  ],[1.90212246 0.90212246 0.80605228 0.80572045 0.79930877],0.48571428571428577
2,MS&E245G,0.9142857142857143,0.6,1.0,0.6857142857142857,0.6,0.75,35,5,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,[0. 0. 0. 1.],[0.         0.33333333 1.         1.        ],[1.92239085 0.92239085 0.83410462 0.5       ],1.0
3,PUBLPOL105,0.7166666666666667,0.875,0.75,0.7166666666666667,0.875,0.75,60,8,8,0.875,1.0,0.9333333333333333,0.75,1.0,0.8571428571428571,[0. 0. 0. 1.],[0.         0.16666667 1.         1.        ],[1.93673196 0.93673196 0.57033756 0.56253653],1.0
4,BIO42,0.8333333333333334,0.7837837837837838,0.8648648648648649,0.5816326530612245,0.5675675675675675,0.6216216216216216,294,37,37,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.95,0.8260869565217391,0.8837209302325583,"[0.         0.         0.         0.07142857 0.07142857 0.21428571
 0.21428571 0.71428571 0.71428571 0.85714286 1.        ]","[0.         0.04347826 0.30434783 0.30434783 0.82608696 0.82608696
 0.86956522 0.86956522 0.95652174 0.95652174 1.        ]","[1.96634568 0.96634568 0.91390125 0.90569532 0.5866349  0.31955135
 0.29496445 0.1785197  0.16130903 0.14283515 0.11793276]",0.8509316770186335
5,MS&E145,0.8571428571428571,0.7857142857142857,0.9259259259259259,0.8341013824884793,0.7857142857142857,0.9259259259259259,217,28,27,0.7857142857142857,1.0,0.88,0.9259259259259259,1.0,0.9615384615384615,[0.  0.  0.  0.5 0.5 1. ],[0.   0.04 0.92 0.92 0.96 1.  ],[1.99661836 0.99661836 0.79106325 0.76838137 0.58103834 0.56502201],0.95
6,CME106,0.797427652733119,0.7692307692307693,0.6410256410256411,0.4790996784565916,0.48717948717948717,0.5384615384615384,311,39,39,0.75,0.7894736842105263,0.7692307692307692,0.7058823529411765,0.5714285714285714,0.6315789473684211,"[0.         0.         0.         0.05555556 0.05555556 0.16666667
 0.16666667 0.27777778 0.27777778 0.27777778 0.44444444 0.5
 0.61111111 0.61111111 0.72222222 0.72222222 1.        ]","[0.         0.04761905 0.23809524 0.23809524 0.38095238 0.38095238
 0.52380952 0.52380952 0.76190476 0.85714286 0.85714286 0.9047619
 0.9047619  0.95238095 0.95238095 1.         1.        ]","[1.98573804 0.98573804 0.8342156  0.83019969 0.75251752 0.69991408
 0.58272966 0.513098   0.41946774 0.36882362 0.31513453 0.28816051
 0.25599839 0.24147644 0.2340028  0.20117656 0.05246041]",0.7896825396825397
7,PSYCH30,0.7982456140350878,0.7192982456140351,0.631578947368421,0.618421052631579,0.49122807017543857,0.49122807017543857,456,57,57,0.7,0.75,0.7241379310344827,0.6,0.75,0.6666666666666665,"[0.         0.         0.         0.06896552 0.10344828 0.13793103
 0.13793103 0.24137931 0.24137931 0.37931034 0.37931034 0.55172414
 0.55172414 0.62068966 0.62068966 0.89655172 0.93103448 1.        ]","[0.         0.03571429 0.35714286 0.35714286 0.39285714 0.39285714
 0.57142857 0.57142857 0.60714286 0.60714286 0.75       0.75
 0.82142857 0.82142857 0.85714286 1.         1.         1.        ]","[1.99877619 0.99877619 0.88446173 0.84360362 0.83174369 0.81347993
 0.72565245 0.68114876 0.67647537 0.59560801 0.53815089 0.39185075
 0.33798226 0.31082736 0.30507577 0.26336873 0.23586492 0.20454737]",0.7395320197044335
8,EE169,0.9230769230769231,1.0,0.5,0.9230769230769231,1.0,0.5,13,2,2,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,[0. 1. 1.],[0. 0. 1.],[1.89121719 0.89121719 0.80844165],0.0
9,MS&E252,0.8409090909090909,0.6363636363636364,0.45454545454545453,0.5227272727272727,0.36363636363636365,0.2727272727272727,88,11,11,0.5,0.5,0.5,0.2857142857142857,0.6666666666666666,0.4,[0.    0.125 0.125 0.75  0.75  1.   ],[0.         0.         0.66666667 0.66666667 1.         1.        ],[1.92577987 0.92577987 0.77335447 0.48208439 0.28210415 0.24692703],0.6666666666666666
