,CHEM171,CHEM181,PSYCH1,CHEM173,EE263,ECON52,ECON102B,ME203,ME115B,ME115A,CME102,MATH53,CEE166A,ECON50,ECON1,ENGR15,CS106A,CS147,CS106B,CS142,CS103,EE102A,MATH51,PHYSICS41,CHEM35,CHEM131,CHEM135,CHEM33,EE102B,BIO43,BIO101,HUMBIO2A,MATH120,CME100,MATH220,STATS116,STATS195,CS161,MATH171,MATH115,CS107,MATH52,MS&E125,MS&E120,CHEM31X,CHEM31A,ENGR40,PHYSICS65,MATH131P,PHYSICS120,MATH173,PHYSICS70,PHYSICS121,CHEMENG181,MATH113,CS148,ECON102A,EE101B,BIO42,BIO41,PHYSICS63,PHYSICS43,CS248,EE108,ENGR154,CHEMENG100,PHYSICS61,ME112,ME80,ME101,EE101A,MATH121,MATH143,MATH146,MATH147,MATH148,ENGR105,PHYSICS130,MATH52H,MATH51M,CME192,CS229,CS131,CME104,PHIL80,CS124,CS221,CS224N,MS&E111,MATH42,MATH21,LINGUIST1,ECON51,PHYSICS105,PHYSICS107,CME106,MATH41,CHEM151,CEE182,CEE181,CEE180,PHYSICS110,EE122A,CS106X,PHIL151,HUMBIO3B,CS110,CS108,PSYCH60,MATH104,ME216B,ME216A,STATS60,CS109,STATS110,STATS141,ME131A,ENGR30,ME70,CS193A,CS193P,CS145,EE114,EE214A,ENGR14,LINGUIST120,MATH20,CHEMENG120A,ENGR40M,CS140,MATH19,CEE101A,EE178,EE261,MATH151,CHEMENG110,CHEMENG120B,ENERGY101,ENERGY102,PHIL150,PHYSICS112,PHYSICS170,ENGR20,CHEMENG20,MS&E220,PSYCH146,STATS200,PHYSICS45,EE65,EE42,MATH51H,ME161,MS&E145,MS&E245A,MS&E245G,PHYSICS41A
CHEM185,1.8718018864312187,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM181,1.2860479914934801,,,,,,,,,,,,,,,,,,,,,,,,1.5614454062724945,0.7167159327112395,0.5067533295823109,-0.12791116445452463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMENG181,2.608366309971122,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.2808095167233845,1.6845469057324398,1.3853389452533174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM173,1.5080032244058694,,,,,,,,,,1.1896328071332263,1.43676039363866,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.25341099097176717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMENG110,2.890219007138724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMENG162,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.252755740698689,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM175,2.2121471312449983,,,1.6061469125241532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMENG160,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3860213548624731,,,,,,,,,,,,,,,,,0.0005460124846627033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIO188,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.8107200659286148,1.5041863209405268,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM151,0.1134039905344085,,,,,,,,,,,,,,,,,,,,,,,,1.6428949787398874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
