,course_name,train_score,test_score,dev_score,train_groundtruth,test_groundtruth,dev_groundtruth,train_size,test_size,dev_size,test_precision,test_recall,test_f1_score,dev_precision,dev_recall,dev_f1_score,dev_fpr,dev_tpr,dev_threshold,dev_auc
0,CHEM185,1.0,0.25,0.25,0.6774193548387096,1.0,0.75,31,4,4,1.0,0.25,0.4,0.0,0.0,0.0,[0. 0. 0. 1.],[0.         0.33333333 1.         1.        ],[1.00050486e+00 5.04858623e-04 7.29257553e-06 4.68156621e-20],1.0
1,BIO153,0.9454545454545454,0.7142857142857143,0.42857142857142855,0.5818181818181818,0.42857142857142855,0.42857142857142855,55,7,7,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,[0.   0.25 0.5  0.5  0.75 1.  ],[0.         0.         0.         0.66666667 0.66666667 1.        ],[1.99622994 0.99622994 0.9899813  0.14593431 0.05627326 0.00641228],0.375
2,ECON112,0.9727272727272728,0.8571428571428571,0.8571428571428571,0.9363636363636364,0.9285714285714286,0.9285714285714286,110,14,14,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,[0. 0. 0. 1. 1.],[0.         0.07692308 0.69230769 0.69230769 1.        ],[2.         1.         0.99997174 0.9994     0.17285262],0.6923076923076923
3,EE142,0.975609756097561,1.0,0.4,0.7317073170731707,0.6666666666666666,0.4,41,6,5,1.0,1.0,1.0,0.3333333333333333,0.5,0.4,[0.         0.         0.66666667 0.66666667 1.        ],[0.  0.5 0.5 1.  1. ],"[1.99897780e+00 9.98977797e-01 9.76796409e-01 3.56579681e-01
 1.35576303e-03]",0.6666666666666667
4,CHEM176,1.0,0.7142857142857143,0.5714285714285714,0.7962962962962963,0.8571428571428571,0.7142857142857143,54,7,7,1.0,0.6666666666666666,0.8,0.75,0.6,0.6666666666666665,[0.  0.  0.  0.5 0.5 1.  1. ],[0.  0.4 0.6 0.6 0.8 0.8 1. ],"[2.00000000e+00 1.00000000e+00 1.00000000e+00 9.99772813e-01
 4.08058344e-05 4.78116311e-11 1.95219896e-17]",0.7
5,EE364A,1.0,0.875,0.2857142857142857,0.847457627118644,0.875,0.8571428571428571,59,8,7,1.0,0.8571428571428571,0.923076923076923,0.6666666666666666,0.3333333333333333,0.4444444444444444,[0. 0. 0. 1. 1. 1. 1.],"[0.         0.16666667 0.33333333 0.33333333 0.5        0.83333333
 1.        ]","[2.         1.         0.99978796 0.99630106 0.31150854 0.01132099
 0.00436539]",0.3333333333333333
6,PSYCH60B,0.8,0.7,0.7777777777777778,0.76,0.7,0.8888888888888888,75,10,9,0.75,0.8571428571428571,0.7999999999999999,0.875,0.875,0.875,[0. 0. 1. 1.],[0.    0.125 0.125 1.   ],[1.99998964 0.99998964 0.99985102 0.44218083],0.125
7,ME216A,0.8708333333333333,0.9032258064516129,0.8666666666666667,0.8708333333333333,0.9032258064516129,0.8666666666666667,240,31,30,0.9032258064516129,1.0,0.9491525423728813,0.8666666666666667,1.0,0.9285714285714286,[0.   0.   0.   0.25 0.25 0.25 0.25 0.5  0.5  0.5  0.5  1.   1.  ],"[0.         0.03846154 0.26923077 0.26923077 0.42307692 0.5
 0.69230769 0.69230769 0.76923077 0.88461538 0.92307692 0.96153846
 1.        ]","[2.         1.         0.9998505  0.99962481 0.99866117 0.99840099
 0.92831932 0.86018912 0.74613063 0.70489138 0.67153204 0.62427695
 0.60710968]",0.7115384615384615
8,ME161,0.8441558441558441,0.717948717948718,0.7631578947368421,0.6266233766233766,0.6666666666666666,0.6052631578947368,308,39,38,0.8260869565217391,0.7307692307692307,0.7755102040816326,0.75,0.9130434782608695,0.8235294117647057,"[0.         0.         0.         0.06666667 0.06666667 0.13333333
 0.13333333 0.2        0.2        0.26666667 0.26666667 0.33333333
 0.33333333 0.4        0.4        0.46666667 0.46666667 0.8
 0.8        1.        ]","[0.         0.04347826 0.17391304 0.17391304 0.47826087 0.47826087
 0.52173913 0.52173913 0.60869565 0.60869565 0.65217391 0.65217391
 0.86956522 0.86956522 0.91304348 0.91304348 0.95652174 0.95652174
 1.         1.        ]","[1.99999681 0.99999681 0.99952221 0.99699668 0.96540196 0.9359595
 0.92725623 0.91589997 0.90265189 0.88736379 0.85373883 0.84618627
 0.63664761 0.59572224 0.58624965 0.50869011 0.45038629 0.16872152
 0.1565155  0.05853348]",0.8
9,ECON52,0.8094170403587444,0.7321428571428571,0.7857142857142857,0.7107623318385651,0.75,0.7142857142857143,446,56,56,0.8292682926829268,0.8095238095238095,0.8192771084337348,0.85,0.85,0.85,"[0.     0.     0.     0.0625 0.0625 0.125  0.125  0.125  0.125  0.1875
 0.1875 0.25   0.25   0.3125 0.3125 0.5    0.625  0.6875 0.6875 0.75
 1.    ]","[0.    0.025 0.15  0.15  0.3   0.3   0.425 0.475 0.625 0.625 0.725 0.725
 0.8   0.825 0.85  0.85  0.85  0.875 0.975 0.975 1.   ]","[2.         1.         0.9999642  0.99953261 0.99721812 0.98058138
 0.84099326 0.83332377 0.76192794 0.74706926 0.66439862 0.65776056
 0.65044633 0.59377327 0.58786997 0.47069941 0.35603173 0.33949865
 0.24620491 0.23292715 0.19720309]",0.7906249999999999
10,CEE166B,1.0,1.0,0.0,0.75,0.5,0.5,16,2,2,1.0,1.0,1.0,0.0,0.0,0.0,[0. 1. 1.],[0. 0. 1.],[1.87662412 0.87662412 0.03696278],0.0
11,AA279A,0.875,1.0,0.5,0.75,0.6666666666666666,0.5,16,3,2,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,[0. 1.],[0. 1.],[1.96446369 0.96446369],0.5
12,PSYCH95,0.8962655601659751,0.8709677419354839,0.8333333333333334,0.8547717842323651,0.8064516129032258,0.8333333333333334,241,31,30,0.8888888888888888,0.96,0.923076923076923,0.8846153846153846,0.92,0.9019607843137256,[0.  0.  0.  0.4 0.4 0.6 0.6 0.6 1. ],[0.   0.04 0.2  0.2  0.68 0.68 0.76 0.92 1.  ],"[2.         1.         0.99991822 0.99985954 0.85375867 0.80511624
 0.78929378 0.76679095 0.34361708]",0.6000000000000001
13,IPS207,0.9333333333333333,0.5,1.0,0.8,1.0,0.5,15,2,2,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,[0. 0. 1.],[0. 1. 1.],[1.99848184 0.99848184 0.00379386],1.0
14,CS102,0.8275862068965517,0.7272727272727273,0.6363636363636364,0.7126436781609196,0.6363636363636364,0.7272727272727273,174,22,22,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.75,0.75,0.75,"[0.         0.16666667 0.16666667 0.33333333 0.5        0.83333333
 1.        ]",[0.     0.     0.6875 0.6875 0.75   0.75   1.    ],"[1.99999995 0.99999995 0.63511026 0.5994225  0.51330028 0.49504928
 0.23942311]",0.6302083333333333
15,CS247,0.8363636363636363,0.7142857142857143,0.75,0.8,0.8214285714285714,0.8928571428571429,220,28,28,0.8571428571428571,0.782608695652174,0.8181818181818182,0.9090909090909091,0.8,0.8510638297872342,"[0.         0.         0.         0.33333333 0.33333333 0.66666667
 0.66666667 1.        ]",[0.   0.04 0.28 0.28 0.52 0.52 1.   1.  ],"[1.99992844 0.99992844 0.95316276 0.95200613 0.80309571 0.80301496
 0.34292337 0.22577058]",0.6000000000000001
16,CS157,0.8517441860465116,0.7441860465116279,0.6744186046511628,0.45348837209302323,0.4418604651162791,0.32558139534883723,344,43,43,0.6818181818181818,0.7894736842105263,0.7317073170731707,0.5,0.7142857142857143,0.588235294117647,"[0.         0.         0.03448276 0.03448276 0.10344828 0.10344828
 0.13793103 0.13793103 0.20689655 0.20689655 0.48275862 0.48275862
 0.51724138 0.51724138 0.68965517 0.68965517 0.86206897 0.93103448
 1.        ]","[0.         0.07142857 0.07142857 0.42857143 0.42857143 0.5
 0.5        0.64285714 0.64285714 0.71428571 0.71428571 0.78571429
 0.78571429 0.85714286 0.85714286 0.92857143 0.92857143 1.
 1.        ]","[1.99998805 0.99998805 0.99990789 0.99483218 0.99099086 0.98500498
 0.98375051 0.96218326 0.93073519 0.89243017 0.37538468 0.3660747
 0.27373942 0.23261259 0.16488267 0.12887896 0.06354783 0.05967518
 0.04606131]",0.7610837438423647
17,CS228,0.9545454545454546,0.5833333333333334,0.45454545454545453,0.6363636363636364,0.6666666666666666,0.5454545454545454,88,12,11,0.6666666666666666,0.75,0.7058823529411765,0.5,0.5,0.5,[0.  0.  0.  0.6 0.6 1. ],[0.         0.16666667 0.33333333 0.33333333 1.         1.        ],[1.99899643 0.99899643 0.99667062 0.87055889 0.12711615 0.02180652],0.6
18,EE108,0.8227272727272728,0.75,0.7407407407407407,0.6772727272727272,0.7857142857142857,0.7777777777777778,220,28,27,0.9411764705882353,0.7272727272727273,0.8205128205128205,0.85,0.8095238095238095,0.8292682926829269,"[0.         0.         0.         0.16666667 0.16666667 0.33333333
 0.33333333 0.33333333 0.33333333 0.66666667 0.66666667 1.        ]","[0.         0.04761905 0.0952381  0.0952381  0.19047619 0.19047619
 0.61904762 0.71428571 0.80952381 0.80952381 1.         1.        ]","[1.99999676 0.99999676 0.99963583 0.99877649 0.97386652 0.96415728
 0.72635635 0.72294567 0.58019954 0.45845231 0.21058439 0.09759824]",0.6507936507936508
19,EE261,1.0,0.7142857142857143,0.42857142857142855,0.5925925925925926,0.7142857142857143,0.8571428571428571,54,7,7,0.8,0.8,0.8000000000000002,1.0,0.3333333333333333,0.5,[0. 0. 0. 1. 1.],[0.         0.16666667 0.66666667 0.66666667 1.        ],"[1.99999991e+00 9.99999913e-01 3.67308939e-03 3.10443363e-04
 7.41578827e-06]",0.6666666666666666
