,course_name,train_score,test_score,dev_score,train_groundtruth,test_groundtruth,dev_groundtruth,train_size,test_size,dev_size,test_precision,test_recall,test_f1_score,dev_precision,dev_recall,dev_f1_score,dev_fpr,dev_tpr,dev_threshold,dev_auc
0,CHEMENG162,1.0,1.0,1.0,0.625,1.0,0.5,16,2,2,1.0,1.0,1.0,1.0,1.0,1.0,[0. 0. 1.],[0. 1. 1.],[1.93683664e+00 9.36836640e-01 2.54632087e-04],1.0
1,MS&E245G,1.0,0.4,1.0,0.6857142857142857,0.6,0.75,35,5,4,0.5,0.3333333333333333,0.4,1.0,1.0,1.0,[0. 0. 0. 1.],[0.         0.66666667 1.         1.        ],[2.00000000e+00 1.00000000e+00 1.00000000e+00 4.72291858e-13],1.0
2,MS&E145,0.8847926267281107,0.8571428571428571,0.9259259259259259,0.8341013824884793,0.7857142857142857,0.9259259259259259,217,28,27,0.95,0.8636363636363636,0.9047619047619048,0.96,0.96,0.96,[0.  0.  0.  0.5 0.5 0.5 1. ],[0.   0.04 0.88 0.88 0.96 1.   1.  ],"[2.         1.         0.80289637 0.79440841 0.53627362 0.43943476
 0.33447717]",0.94
3,BIO42,0.8571428571428571,0.7567567567567568,0.7837837837837838,0.5816326530612245,0.5675675675675675,0.6216216216216216,294,37,37,0.75,0.8571428571428571,0.7999999999999999,0.8571428571428571,0.782608695652174,0.8181818181818182,"[0.         0.         0.         0.07142857 0.07142857 0.21428571
 0.21428571 0.71428571 0.71428571 0.78571429 0.78571429 1.        ]","[0.         0.04347826 0.13043478 0.13043478 0.47826087 0.47826087
 0.82608696 0.82608696 0.91304348 0.91304348 1.         1.        ]","[1.99998314 0.99998314 0.99762254 0.9974972  0.92206121 0.91237943
 0.44922212 0.14540723 0.10062892 0.09594261 0.06663079 0.05334857]",0.7701863354037267
4,PHYSICS61,0.8082191780821918,0.8214285714285714,0.7407407407407407,0.8082191780821918,0.8214285714285714,0.7407407407407407,219,28,27,0.8214285714285714,1.0,0.9019607843137255,0.7407407407407407,1.0,0.851063829787234,[0.         0.         0.14285714 0.14285714 0.28571429 1.        ],[0.   0.05 0.1  0.15 0.15 1.  ],[1.99998543 0.99998543 0.99996145 0.99693288 0.86164236 0.78268407],0.44285714285714284
5,PUBLPOL105,0.8166666666666667,0.875,0.875,0.7166666666666667,0.875,0.75,60,8,8,1.0,0.8571428571428571,0.923076923076923,1.0,0.8333333333333334,0.9090909090909091,[0. 0. 0. 1.],[0.         0.16666667 1.         1.        ],[1.99940444 0.99940444 0.39705541 0.3751961 ],1.0
6,CME106,0.7813504823151125,0.6923076923076923,0.6410256410256411,0.4790996784565916,0.48717948717948717,0.5384615384615384,311,39,39,0.6521739130434783,0.7894736842105263,0.7142857142857143,0.7058823529411765,0.5714285714285714,0.6315789473684211,"[0.         0.         0.         0.05555556 0.05555556 0.11111111
 0.11111111 0.27777778 0.27777778 0.33333333 0.33333333 0.55555556
 0.55555556 0.61111111 0.61111111 1.        ]","[0.         0.04761905 0.19047619 0.19047619 0.33333333 0.33333333
 0.57142857 0.57142857 0.71428571 0.71428571 0.76190476 0.76190476
 0.95238095 0.95238095 1.         1.        ]","[1.99999973 0.99999973 0.99978514 0.98826275 0.82496104 0.67018469
 0.54247926 0.50129744 0.47459266 0.4645424  0.45755699 0.35894565
 0.2433285  0.20325049 0.19882324 0.07301394]",0.7751322751322751
7,PSYCH30,0.7960526315789473,0.7719298245614035,0.6666666666666666,0.618421052631579,0.49122807017543857,0.49122807017543857,456,57,57,0.7586206896551724,0.7857142857142857,0.7719298245614034,0.6451612903225806,0.7142857142857143,0.6779661016949152,"[0.         0.         0.         0.03448276 0.03448276 0.10344828
 0.13793103 0.13793103 0.17241379 0.17241379 0.31034483 0.31034483
 0.37931034 0.37931034 0.44827586 0.48275862 0.55172414 0.55172414
 0.5862069  0.5862069  1.        ]","[0.         0.03571429 0.35714286 0.35714286 0.5        0.5
 0.53571429 0.60714286 0.60714286 0.64285714 0.64285714 0.71428571
 0.71428571 0.75       0.75       0.78571429 0.78571429 0.82142857
 0.82142857 0.85714286 1.        ]","[1.99999998 0.99999998 0.873773   0.87344647 0.79580697 0.78718758
 0.77676641 0.69954912 0.67638094 0.65864601 0.58064272 0.54935844
 0.54264205 0.45375243 0.39947251 0.39544079 0.31282469 0.28682251
 0.27399837 0.25116103 0.15449449]",0.768472906403941
8,BIO144,0.9024390243902439,0.5,0.8,0.8048780487804879,0.6666666666666666,0.6,41,6,5,0.6,0.75,0.6666666666666665,0.75,1.0,0.8571428571428571,[0. 0. 0. 1.],[0.         0.33333333 1.         1.        ],[1.99999998 0.99999998 0.99798929 0.38505923],1.0
9,MS&E252,0.9659090909090909,0.7272727272727273,0.36363636363636365,0.5227272727272727,0.36363636363636365,0.2727272727272727,88,11,11,0.6,0.75,0.6666666666666665,0.25,0.6666666666666666,0.36363636363636365,[0.    0.    0.75  0.75  0.875 1.   ],[0.         0.33333333 0.33333333 0.66666667 0.66666667 1.        ],[1.99999751 0.99999751 0.84687262 0.50631867 0.05926002 0.05761241],0.4375
