,CHEM33,CHEM31X,CHEM171,ECON102A,ECON50,ECON102B,MATH51,MS&E120,CME100,MS&E111,BIO41,CHEM35,MATH42,MATH21,MATH41,MATH20,MATH19,MATH52,ENGR154,BIO43,BIO101,HUMBIO2A,ECON52,PHYSICS41,CHEM31A,CME106,ME131A,ENGR30,ME70,ENGR15,BIO42,CME102,PHIL80,CS106A,CS148,ME203,ME115B,ME115A,PSYCH1,EE102A,EE42,CHEM151,CHEM173,CS147,CS106B,CS142,MATH171,MATH115,CS161,HUMBIO3B,PHIL151,PHIL150,PHYSICS121,ME112,ME80,ME101,ENGR105,MATH113,CHEMENG100,PHYSICS130,PHYSICS170,PHYSICS63,PHYSICS61,MATH53,CS221,CS124,EE114,EE214A,EE102B,ENERGY101,ENERGY102,CS110,LINGUIST1,CS224N,CS229,CS107,CS108,STATS110,STATS141,STATS60,CS140,CME104,PHYSICS43,PHYSICS41A,MATH120,EE101B,CEE180,MATH104,CS103,CS210A,LINGUIST120,ECON51,CS109,CS106X,ENGR40M,CS145,CHEM131,CHEM135,CEE101A,ENGR14,BIOE41,PHYSICS131,CHEM181,MS&E145,MS&E245A,MS&E245G,PHYSICS120,MATH173,MATH131P,ENGR40,EE122A,PHYSICS110,EE101A,EE263,CHEMENG181,PHYSICS65,PHYSICS70,STATS116,PHYSICS112,MATH52H,ME161,CHEMENG120A,CHEMENG120B,ECON1,CEE166A,CS248,PHYSICS105,CS193A,CS193P,LINGUIST180,CS224S,LINGUIST130A,LINGUIST130B,CS157,MATH205A,MS&E125,PHYSICS45,EE65,CS131,MATH121,MATH143,MATH146,MATH147,MATH148,CHEMENG110,MATH51H,ME216B,ME216A,ENGR20,CHEMENG20,CEE182,CEE181,PHYSICS107,EE178,EE261,MS&E220,PSYCH60,PSYCH146,EE108,STATS200
CHEMENG162,1.2527628435349212,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIO188,0.0,,0.0,,,,,,,,,0.8106946672328048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.504194493026361,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMENG181,1.3857770524839779,,2.608734718442733,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2808347847733783,1.6850815552463814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMENG174,1.0482038517918593,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7764562831800449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM135,1.7830067703899495,1.0141676435735905,,,,,,,,,,0.2887008125954892,,,,,,,,,,,,,0.10453607722689373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMENG160,1.386268201477409,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM35,2.4374539819485808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM181,-0.1277251239389037,,1.2862876466434907,,,,,,,,,1.5615513005878048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7166496828969564,0.5069106761113173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIO42,,1.0384807466634458,,,,,,,,,1.9951379869281862,1.2295789559420347,0.6278586864726681,0.0,0.0,-0.1229843670923578,-0.13519526595881806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOE41,,0.9769219348312883,,,,,0.5311006168249727,,0.15784236008035124,,,,0.0,,0.0,,,,,,,,,2.206082508382587,0.5467153832786076,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOE42,,0.8776099806998443,,,,,1.5380296424641888,,0.449084902718994,,,,1.0666090914468118,,0.0,,,,,,,,,0.5769338878871431,0.306176536907886,1.3345841772245794,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIO43,,1.2608790866061321,,,,,,,,,1.0757261269049883,2.1689626245687004,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.6145170908233042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIO41,,1.4048237782909614,,,,,,,,,,1.3522902045714225,0.8071132237003756,0.0,-0.006485094833680696,0.0,0.1599719671905938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
