,course_name,train_score,test_score,dev_score,train_groundtruth,test_groundtruth,dev_groundtruth,train_size,test_size,dev_size,test_precision,test_recall,test_f1_score,dev_precision,dev_recall,dev_f1_score,dev_fpr,dev_tpr,dev_threshold,dev_auc
0,CHEMENG162,0.625,1.0,0.5,0.625,1.0,0.5,16,2,2,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,[0. 1.],[0. 1.],[1.625 0.625],0.5
1,MS&E245G,0.6857142857142857,0.6,0.75,0.6857142857142857,0.6,0.75,35,5,4,0.6,1.0,0.7499999999999999,0.75,1.0,0.8571428571428571,[0. 0. 0. 1.],[0.         0.33333333 1.         1.        ],[1.82257669 0.82257669 0.74844225 0.57230186],1.0
2,PUBLPOL105,0.7166666666666667,0.875,0.75,0.7166666666666667,0.875,0.75,60,8,8,0.875,1.0,0.9333333333333333,0.75,1.0,0.8571428571428571,[0. 1.],[0. 1.],[1.71666667 0.71666667],0.5
3,PHYSICS61,0.8082191780821918,0.8214285714285714,0.7407407407407407,0.8082191780821918,0.8214285714285714,0.7407407407407407,219,28,27,0.8214285714285714,1.0,0.9019607843137255,0.7407407407407407,1.0,0.851063829787234,[0. 1.],[0. 1.],[1.80821918 0.80821918],0.5
4,MS&E145,0.8341013824884793,0.7857142857142857,0.9259259259259259,0.8341013824884793,0.7857142857142857,0.9259259259259259,217,28,27,0.7857142857142857,1.0,0.88,0.9259259259259259,1.0,0.9615384615384615,[0. 1.],[0. 1.],[1.83410138 0.83410138],0.5
5,CME106,0.6945337620578779,0.6923076923076923,0.5897435897435898,0.4790996784565916,0.48717948717948717,0.5384615384615384,311,39,39,0.6666666666666666,0.7368421052631579,0.7,0.6086956521739131,0.6666666666666666,0.6363636363636365,"[0.         0.         0.         0.05555556 0.05555556 0.11111111
 0.11111111 0.16666667 0.16666667 0.22222222 0.22222222 0.33333333
 0.38888889 0.5        0.5        0.5        0.55555556 0.66666667
 0.66666667 0.72222222 1.        ]","[0.         0.04761905 0.0952381  0.0952381  0.19047619 0.19047619
 0.28571429 0.28571429 0.38095238 0.38095238 0.42857143 0.47619048
 0.47619048 0.52380952 0.66666667 0.80952381 0.85714286 0.85714286
 0.9047619  1.         1.        ]","[1.69375924 0.69375924 0.66846782 0.65734856 0.63130461 0.62654567
 0.59891251 0.59270923 0.53318843 0.52631702 0.51977805 0.5186546
 0.51654943 0.50622227 0.50411471 0.41648704 0.40904282 0.3970705
 0.37059246 0.3634576  0.35202473]",0.6574074074074073
6,BIO144,0.8048780487804879,0.6666666666666666,0.6,0.8048780487804879,0.6666666666666666,0.6,41,6,5,0.6666666666666666,1.0,0.8,0.6,1.0,0.7499999999999999,[0. 1.],[0. 1.],[1.80487805 0.80487805],0.5
7,BIO42,0.7925170068027211,0.8108108108108109,0.8378378378378378,0.5816326530612245,0.5675675675675675,0.6216216216216216,294,37,37,0.8888888888888888,0.7619047619047619,0.8205128205128205,0.9473684210526315,0.782608695652174,0.8571428571428571,[0.         0.07142857 1.        ],[0.        0.7826087 1.       ],[1.65799175 0.65799175 0.4798205 ],0.8555900621118012
8,PSYCH30,0.7675438596491229,0.7543859649122807,0.6140350877192983,0.618421052631579,0.49122807017543857,0.49122807017543857,456,57,57,0.71875,0.8214285714285714,0.7666666666666666,0.5833333333333334,0.75,0.6562499999999999,"[0.         0.         0.         0.03448276 0.03448276 0.06896552
 0.10344828 0.10344828 0.13793103 0.13793103 0.20689655 0.34482759
 0.34482759 0.51724138 0.51724138 0.55172414 1.        ]","[0.         0.03571429 0.28571429 0.28571429 0.32142857 0.32142857
 0.35714286 0.46428571 0.53571429 0.57142857 0.57142857 0.64285714
 0.67857143 0.67857143 0.82142857 0.82142857 1.        ]","[1.96774203 0.96774203 0.82539924 0.79434314 0.78763863 0.78416894
 0.77885568 0.73532176 0.69279939 0.68011349 0.6576454  0.63339477
 0.63159321 0.57939184 0.45847568 0.42386268 0.38316477]",0.7266009852216748
9,MS&E252,0.7272727272727273,0.8181818181818182,0.6363636363636364,0.5227272727272727,0.36363636363636365,0.2727272727272727,88,11,11,1.0,0.5,0.6666666666666666,0.4,0.6666666666666666,0.5,[0.    0.375 1.   ],[0.         0.66666667 1.        ],[1.58768911 0.58768911 0.47335627],0.6458333333333333
10,PUBLPOL104,0.873015873015873,0.625,0.625,0.7142857142857143,0.75,0.75,63,8,8,1.0,0.5,0.6666666666666666,0.7142857142857143,0.8333333333333334,0.7692307692307692,[0. 0. 0. 1. 1.],[0.         0.33333333 0.66666667 0.66666667 1.        ],[1.90136103 0.90136103 0.75182728 0.66140713 0.47151598],0.6666666666666666
11,MATH42,0.6432748538011696,0.4090909090909091,0.47619047619047616,0.5263157894736842,0.6363636363636364,0.7142857142857143,171,22,21,0.6,0.21428571428571427,0.3157894736842105,0.8333333333333334,0.3333333333333333,0.47619047619047616,[0.         0.16666667 1.        ],[0.         0.33333333 1.        ],[1.64702579 0.64702579 0.4805628 ],0.5833333333333334
12,ECON112,0.9363636363636364,0.9285714285714286,0.9285714285714286,0.9363636363636364,0.9285714285714286,0.9285714285714286,110,14,14,0.9285714285714286,1.0,0.962962962962963,0.9285714285714286,1.0,0.962962962962963,[0. 1.],[0. 1.],[1.93636364 0.93636364],0.5
