,course_name,train_score,test_score,dev_score,train_groundtruth,test_groundtruth,dev_groundtruth,train_size,test_size,dev_size,test_precision,test_recall,test_f1_score,dev_precision,dev_recall,dev_f1_score,dev_fpr,dev_tpr,dev_threshold,dev_auc
0,PUBLPOL105,0.7166666666666667,0.875,0.75,0.7166666666666667,0.875,0.75,60,8,8,0.875,1.0,0.9333333333333333,0.75,1.0,0.8571428571428571,[0. 0. 1.],[0.  0.5 1. ],[1.88236015 0.88236015 0.62790413],0.75
1,CHEMENG162,0.8125,1.0,0.0,0.625,1.0,0.5,16,2,2,1.0,1.0,1.0,0.0,0.0,0.0,[0. 1. 1.],[0. 0. 1.],[1.77777777 0.77777777 0.5       ],0.0
2,MS&E145,0.8341013824884793,0.7857142857142857,0.9259259259259259,0.8341013824884793,0.7857142857142857,0.9259259259259259,217,28,27,0.7857142857142857,1.0,0.88,0.9259259259259259,1.0,0.9615384615384615,[0. 0. 0. 0. 0. 0. 1.],[0.   0.04 0.12 0.28 0.36 0.72 1.  ],"[1.97084092 0.97084092 0.92902423 0.91746466 0.89147313 0.7354494
 0.70246015]",0.86
3,PHYSICS61,0.8082191780821918,0.8214285714285714,0.7407407407407407,0.8082191780821918,0.8214285714285714,0.7407407407407407,219,28,27,0.8214285714285714,1.0,0.9019607843137255,0.7407407407407407,1.0,0.851063829787234,[0. 1.],[0. 1.],[1.80365296 0.80365296],0.5
4,MS&E245G,0.7428571428571429,0.4,1.0,0.6857142857142857,0.6,0.75,35,5,4,0.5,0.3333333333333333,0.4,1.0,1.0,1.0,[0. 0. 0. 1.],[0.         0.33333333 1.         1.        ],[1.91877725 0.91877725 0.75685585 0.5       ],1.0
5,EE169,0.9230769230769231,1.0,0.5,0.9230769230769231,1.0,0.5,13,2,2,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,[0. 0. 1.],[0. 1. 1.],[1.875      0.875      0.80000582],1.0
6,CME106,0.6945337620578779,0.6410256410256411,0.6923076923076923,0.4790996784565916,0.48717948717948717,0.5384615384615384,311,39,39,0.6190476190476191,0.6842105263157895,0.6500000000000001,0.7368421052631579,0.6666666666666666,0.7,[0.         0.         0.22222222 0.27777778 1.        ],[0.         0.04761905 0.52380952 0.66666667 1.        ],[1.75720594 0.75720594 0.67272468 0.64740561 0.3136749 ],0.6984126984126984
7,BIO42,0.8027210884353742,0.7837837837837838,0.8378378378378378,0.5816326530612245,0.5675675675675675,0.6216216216216216,294,37,37,0.8421052631578947,0.7619047619047619,0.8,0.9473684210526315,0.782608695652174,0.8571428571428571,"[0.         0.         0.07142857 0.07142857 0.07142857 0.07142857
 0.07142857 0.14285714 1.         1.        ]","[0.         0.2173913  0.2173913  0.39130435 0.52173913 0.56521739
 0.7826087  0.7826087  0.95652174 1.        ]","[1.95107177 0.95107177 0.92801588 0.87310929 0.85037301 0.79032707
 0.6679725  0.435974   0.21483592 0.19295814]",0.8167701863354038
8,BIO144,0.8048780487804879,0.6666666666666666,0.6,0.8048780487804879,0.6666666666666666,0.6,41,6,5,0.6666666666666666,1.0,0.8,0.6,1.0,0.7499999999999999,[0. 0. 1.],[0. 1. 1.],[1.87498775 0.87498775 0.75757868],1.0
9,MATH148,0.95,0.6666666666666666,0.5,0.95,0.6666666666666666,0.5,20,3,2,0.6666666666666666,1.0,0.8,0.5,1.0,0.6666666666666666,[0. 1.],[0. 1.],[1.85713707 0.85713707],0.5
