,course_name,train_score,test_score,dev_score,train_groundtruth,test_groundtruth,dev_groundtruth,train_size,test_size,dev_size,test_precision,test_recall,test_f1_score,dev_precision,dev_recall,dev_f1_score,dev_fpr,dev_tpr,dev_threshold,dev_auc
0,MS&E245G,0.8285714285714286,0.6,1.0,0.6857142857142857,0.6,0.75,35,5,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,[0. 0. 0. 1.],[0.         0.66666667 1.         1.        ],[1.66666472 0.66666472 0.60000466 0.5       ],1.0
1,CHEMENG162,0.375,0.0,0.5,0.625,1.0,0.5,16,2,2,0.0,0.0,0.0,0.0,0.0,0.0,[0. 1.],[0. 1.],[1.5 0.5],0.5
2,PUBLPOL105,0.7166666666666667,0.875,0.75,0.7166666666666667,0.875,0.75,60,8,8,0.875,1.0,0.9333333333333333,0.75,1.0,0.8571428571428571,[0. 0. 0. 1.],[0.         0.33333333 0.83333333 1.        ],[1.72689122 0.72689122 0.63401482 0.61004713],0.9166666666666667
3,MS&E145,0.8341013824884793,0.7857142857142857,0.9259259259259259,0.8341013824884793,0.7857142857142857,0.9259259259259259,217,28,27,0.7857142857142857,1.0,0.88,0.9259259259259259,1.0,0.9615384615384615,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],[0.   0.04 0.08 0.16 0.2  0.4  0.52 0.76 0.92 1.  ],"[1.95843056 0.95843056 0.94732064 0.93363963 0.92536803 0.90654826
 0.89702574 0.76102097 0.71295253 0.66023547]",0.96
4,EE169,0.9230769230769231,1.0,0.5,0.9230769230769231,1.0,0.5,13,2,2,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,[0. 1.],[0. 1.],[1.61538459 0.61538459],0.5
5,BIO42,0.8095238095238095,0.7567567567567568,0.8378378378378378,0.5816326530612245,0.5675675675675675,0.6216216216216216,294,37,37,0.8,0.7619047619047619,0.7804878048780488,0.9473684210526315,0.782608695652174,0.8571428571428571,"[0.         0.         0.         0.         0.         0.07142857
 0.07142857 0.07142857 0.07142857 0.14285714 0.21428571 0.21428571
 0.35714286 0.35714286 1.        ]","[0.         0.04347826 0.13043478 0.2173913  0.39130435 0.47826087
 0.56521739 0.73913043 0.7826087  0.7826087  0.82608696 0.86956522
 0.86956522 0.91304348 1.        ]","[1.92827919 0.92827919 0.90502339 0.90242363 0.85019805 0.84635236
 0.77091791 0.66715081 0.59606727 0.46817142 0.39324122 0.36031524
 0.29636566 0.24213594 0.23669484]",0.8835403726708074
6,PHYSICS61,0.8082191780821918,0.8214285714285714,0.7407407407407407,0.8082191780821918,0.8214285714285714,0.7407407407407407,219,28,27,0.8214285714285714,1.0,0.9019607843137255,0.7407407407407407,1.0,0.851063829787234,[0. 1.],[0. 1.],[1.78995433 0.78995433],0.5
7,CME106,0.7202572347266881,0.7692307692307693,0.717948717948718,0.4790996784565916,0.48717948717948717,0.5384615384615384,311,39,39,0.7272727272727273,0.8421052631578947,0.7804878048780488,0.7777777777777778,0.6666666666666666,0.717948717948718,"[0.         0.         0.         0.11111111 0.11111111 0.16666667
 0.16666667 0.22222222 0.22222222 0.27777778 0.27777778 0.33333333
 0.33333333 0.44444444 0.44444444 0.5        0.5        0.55555556
 0.66666667 0.72222222 0.94444444 0.94444444 1.        ]","[0.         0.04761905 0.0952381  0.0952381  0.14285714 0.14285714
 0.52380952 0.52380952 0.66666667 0.66666667 0.71428571 0.71428571
 0.80952381 0.80952381 0.85714286 0.85714286 0.9047619  0.95238095
 0.95238095 0.95238095 0.95238095 1.         1.        ]","[1.84354603 0.84354603 0.70892285 0.69677551 0.68408587 0.6808264
 0.56172635 0.54259377 0.50568588 0.49995509 0.4997219  0.49441548
 0.45197042 0.44037882 0.41321253 0.41225726 0.40696812 0.38563671
 0.38299701 0.37944903 0.35120763 0.30820426 0.21651501]",0.7394179894179894
8,PSYCH30,0.7763157894736842,0.7368421052631579,0.6140350877192983,0.618421052631579,0.49122807017543857,0.49122807017543857,456,57,57,0.696969696969697,0.8214285714285714,0.7540983606557378,0.5833333333333334,0.75,0.6562499999999999,"[0.         0.         0.         0.06896552 0.10344828 0.10344828
 0.13793103 0.13793103 0.20689655 0.20689655 0.24137931 0.37931034
 0.48275862 0.48275862 0.51724138 0.51724138 0.55172414 1.        ]","[0.         0.03571429 0.28571429 0.28571429 0.32142857 0.42857143
 0.5        0.57142857 0.57142857 0.60714286 0.60714286 0.67857143
 0.67857143 0.71428571 0.71428571 0.82142857 0.82142857 1.        ]","[1.97918412 0.97918412 0.84639594 0.8006583  0.79782248 0.74727877
 0.70194525 0.68494751 0.66997757 0.65832884 0.63868712 0.62950641
 0.59290404 0.56611227 0.55989652 0.46362889 0.44511506 0.38888431]",0.7266009852216748
9,MS&E252,0.7613636363636364,0.6363636363636364,0.5454545454545454,0.5227272727272727,0.36363636363636365,0.2727272727272727,88,11,11,0.5,0.5,0.5,0.3333333333333333,0.6666666666666666,0.4444444444444444,[0.    0.125 0.125 0.375 0.5   1.   ],[0.         0.         0.66666667 0.66666667 0.66666667 1.        ],[1.73037645 0.73037645 0.67295593 0.65180236 0.53987404 0.47125353],0.6666666666666666
10,MATH42,0.6432748538011696,0.4090909090909091,0.47619047619047616,0.5263157894736842,0.6363636363636364,0.7142857142857143,171,22,21,0.6,0.21428571428571427,0.3157894736842105,0.8333333333333334,0.3333333333333333,0.47619047619047616,[0.         0.16666667 1.        ],[0.         0.33333333 1.        ],[1.72340426 0.72340426 0.48387253],0.5833333333333334
11,PUBLPOL104,0.8412698412698413,0.625,0.5,0.7142857142857143,0.75,0.75,63,8,8,1.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,[0.  0.  0.5 0.5 1.  1. ],[0.         0.33333333 0.5        0.66666667 0.66666667 1.        ],[1.85627087 0.85627087 0.73022522 0.68759311 0.61487622 0.5       ],0.5416666666666666
12,MATH148,0.95,0.6666666666666666,0.5,0.95,0.6666666666666666,0.5,20,3,2,0.6666666666666666,1.0,0.8,0.5,1.0,0.6666666666666666,[0. 1.],[0. 1.],[1.74999976 0.74999976],0.5
13,BIO144,0.8048780487804879,0.6666666666666666,0.6,0.8048780487804879,0.6666666666666666,0.6,41,6,5,0.6666666666666666,1.0,0.8,0.6,1.0,0.7499999999999999,[0. 1.],[0. 1.],[1.70731655 0.70731655],0.5
14,ME140,0.7527472527472527,0.7391304347826086,0.8260869565217391,0.7087912087912088,0.7391304347826086,0.8260869565217391,182,23,23,0.7391304347826086,1.0,0.85,0.8260869565217391,1.0,0.9047619047619047,[0.   0.25 0.25 0.25 0.25 0.5  0.5  0.5  0.75 0.75 1.  ],"[0.         0.15789474 0.21052632 0.31578947 0.47368421 0.57894737
 0.73684211 0.84210526 0.89473684 1.         1.        ]","[1.84287198 0.84287198 0.82798846 0.80171626 0.7276537  0.72580814
 0.66958232 0.64519403 0.64306378 0.60434392 0.54348534]",0.618421052631579
