,course_name,train_score,test_score,dev_score,train_groundtruth,test_groundtruth,dev_groundtruth,train_size,test_size,dev_size,test_precision,test_recall,test_f1_score,dev_precision,dev_recall,dev_f1_score,dev_fpr,dev_tpr,dev_threshold,dev_auc
0,CHEMENG162,0.375,0.0,0.5,0.625,1.0,0.5,16,2,2,0.0,0.0,0.0,0.0,0.0,0.0,[0. 1.],[0. 1.],[1.5 0.5],0.5
1,MS&E245G,0.6857142857142857,0.4,1.0,0.6857142857142857,0.6,0.75,35,5,4,0.5,0.3333333333333333,0.4,1.0,1.0,1.0,[0. 0. 1.],[0. 1. 1.],[1.64705882 0.64705882 0.5       ],1.0
2,PUBLPOL105,0.7166666666666667,0.875,0.75,0.7166666666666667,0.875,0.75,60,8,8,0.875,1.0,0.9333333333333333,0.75,1.0,0.8571428571428571,[0. 0. 1.],[0.  0.5 1. ],[1.70586811 0.70586811 0.62791261],0.75
3,MS&E145,0.8341013824884793,0.7857142857142857,0.9259259259259259,0.8341013824884793,0.7857142857142857,0.9259259259259259,217,28,27,0.7857142857142857,1.0,0.88,0.9259259259259259,1.0,0.9615384615384615,[0. 0. 0. 0. 0. 0. 1.],[0.   0.04 0.12 0.28 0.36 0.72 1.  ],"[1.9068109  0.9068109  0.901962   0.89846654 0.81262781 0.75397171
 0.74668168]",0.86
4,EE169,0.9230769230769231,1.0,0.5,0.9230769230769231,1.0,0.5,13,2,2,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,[0. 1.],[0. 1.],[1.61538462 0.61538462],0.5
5,BIO42,0.8061224489795918,0.8108108108108109,0.8378378378378378,0.5816326530612245,0.5675675675675675,0.6216216216216216,294,37,37,0.8181818181818182,0.8571428571428571,0.8372093023255814,0.9473684210526315,0.782608695652174,0.8571428571428571,"[0.         0.         0.07142857 0.07142857 0.07142857 0.14285714
 1.        ]","[0.         0.2173913  0.39130435 0.52173913 0.7826087  0.7826087
 1.        ]","[1.91604475 0.91604475 0.84879795 0.80736411 0.68317377 0.42814842
 0.27808377]",0.8416149068322981
6,PHYSICS61,0.8082191780821918,0.8214285714285714,0.7407407407407407,0.8082191780821918,0.8214285714285714,0.7407407407407407,219,28,27,0.8214285714285714,1.0,0.9019607843137255,0.7407407407407407,1.0,0.851063829787234,[0. 1.],[0. 1.],[1.78995433 0.78995433],0.5
7,CME106,0.6945337620578779,0.6410256410256411,0.6923076923076923,0.4790996784565916,0.48717948717948717,0.5384615384615384,311,39,39,0.6190476190476191,0.6842105263157895,0.6500000000000001,0.7368421052631579,0.6666666666666666,0.7,[0.         0.22222222 0.27777778 1.        ],[0.         0.47619048 0.66666667 1.        ],[1.64545455 0.64545455 0.58823448 0.3712593 ],0.6865079365079364
8,BIO144,0.8048780487804879,0.6666666666666666,0.6,0.8048780487804879,0.6666666666666666,0.6,41,6,5,0.6666666666666666,1.0,0.8,0.6,1.0,0.7499999999999999,[0. 1.],[0. 1.],[1.70731706 0.70731706],0.5
9,MATH148,0.95,0.6666666666666666,0.5,0.95,0.6666666666666666,0.5,20,3,2,0.6666666666666666,1.0,0.8,0.5,1.0,0.6666666666666666,[0. 1.],[0. 1.],[1.74999976 0.74999976],0.5
10,PUBLPOL104,0.7142857142857143,0.75,0.75,0.7142857142857143,0.75,0.75,63,8,8,0.75,1.0,0.8571428571428571,0.75,1.0,0.8571428571428571,[0. 0. 1.],[0.  0.5 1. ],[1.80769231 0.80769231 0.54054506],0.75
11,MATH42,0.6432748538011696,0.4090909090909091,0.47619047619047616,0.5263157894736842,0.6363636363636364,0.7142857142857143,171,22,21,0.6,0.21428571428571427,0.3157894736842105,0.8333333333333334,0.3333333333333333,0.47619047619047616,[0.         0.16666667 1.        ],[0.         0.33333333 1.        ],[1.72339568 0.72339568 0.48387422],0.5833333333333334
12,ME140,0.7087912087912088,0.7391304347826086,0.8260869565217391,0.7087912087912088,0.7391304347826086,0.8260869565217391,182,23,23,0.7391304347826086,1.0,0.85,0.8260869565217391,1.0,0.9047619047619047,[0.   0.25 0.75 0.75 1.  ],[0.         0.42105263 0.52631579 0.84210526 1.        ],[1.8023859  0.8023859  0.74299783 0.60009152 0.51653935],0.5197368421052632
13,ECON112,0.9363636363636364,0.9285714285714286,0.9285714285714286,0.9363636363636364,0.9285714285714286,0.9285714285714286,110,14,14,0.9285714285714286,1.0,0.962962962962963,0.9285714285714286,1.0,0.962962962962963,[0. 1. 1.],[0.         0.69230769 1.        ],[1.92536629 0.92536629 0.86047578],0.34615384615384615
14,BIOE41,0.7068965517241379,0.75,0.14285714285714285,0.7068965517241379,0.75,0.14285714285714285,58,8,7,0.75,1.0,0.8571428571428571,0.14285714285714285,1.0,0.25,[0.         0.33333333 1.        ],[0. 0. 1.],[1.80953206 0.80953206 0.54053586],0.33333333333333337
15,CME104A,0.7619047619047619,0.6666666666666666,0.3333333333333333,0.7619047619047619,0.6666666666666666,0.3333333333333333,21,3,3,0.6666666666666666,1.0,0.8,0.3333333333333333,1.0,0.5,[0. 1.],[0. 1.],[1.5714285 0.5714285],0.5
16,BIOE101,0.6815286624203821,0.7,0.6,0.5732484076433121,0.7,0.75,157,20,20,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8181818181818182,0.6,0.6923076923076923,[0.  0.  0.2 0.4 1. ],[0.         0.06666667 0.2        0.6        1.        ],[1.79516603 0.79516603 0.75955065 0.5356315  0.48416389],0.5866666666666667
17,AA242A,0.5,0.5,0.5,0.5,0.5,0.5,14,2,2,0.0,0.0,0.0,0.0,0.0,0.0,[0. 1.],[0. 1.],[1.5 0.5],0.5
18,PHIL184,0.851063829787234,0.6666666666666666,0.8333333333333334,0.851063829787234,0.6666666666666666,0.8333333333333334,94,12,12,0.6666666666666666,1.0,0.8,0.8333333333333334,1.0,0.9090909090909091,[0.  0.5 1. ],[0.  0.9 1. ],[1.87323944 0.87323944 0.60872293],0.7
19,BIOE42,0.7520661157024794,0.875,0.7333333333333333,0.6115702479338843,0.75,0.5333333333333333,121,16,15,0.8571428571428571,1.0,0.923076923076923,0.7,0.875,0.7777777777777777,[0.         0.         0.         0.42857143 0.42857143 1.        ],[0.    0.125 0.375 0.75  0.875 1.   ],[1.75502985 0.75502985 0.63193947 0.62415629 0.50832893 0.5       ],0.7767857142857142
20,CS248,0.8627450980392157,0.9230769230769231,0.8461538461538461,0.8627450980392157,0.9230769230769231,0.8461538461538461,102,13,13,0.9230769230769231,1.0,0.9600000000000001,0.8461538461538461,1.0,0.9166666666666666,[0. 1.],[0. 1.],[1.8235294 0.8235294],0.5
21,PSYCH60B,0.76,0.7,0.8888888888888888,0.76,0.7,0.8888888888888888,75,10,9,0.7,1.0,0.8235294117647058,0.8888888888888888,1.0,0.9411764705882353,[0. 0. 1.],[0.   0.75 1.  ],[1.73808464 0.73808464 0.66668015],0.875
22,ME216A,0.8708333333333333,0.9032258064516129,0.8666666666666667,0.8708333333333333,0.9032258064516129,0.8666666666666667,240,31,30,0.9032258064516129,1.0,0.9491525423728813,0.8666666666666667,1.0,0.9285714285714286,[0.   0.25 1.  ],[0.         0.73076923 1.        ],[1.87654321 0.87654321 0.80765976],0.7403846153846154
23,CHEM153,0.4482758620689655,0.25,0.25,0.5517241379310345,0.75,0.75,29,4,4,0.0,0.0,0.0,0.0,0.0,0.0,[0. 1.],[0. 1.],[1.5 0.5],0.5
24,EE134,0.75,0.75,0.75,0.75,0.75,0.75,28,4,4,0.75,1.0,0.8571428571428571,0.75,1.0,0.8571428571428571,[0. 1.],[0. 1.],[1.60714171 0.60714171],0.5
25,CS247,0.8,0.8214285714285714,0.8928571428571429,0.8,0.8214285714285714,0.8928571428571429,220,28,28,0.8214285714285714,1.0,0.9019607843137255,0.8928571428571429,1.0,0.9433962264150945,[0.         0.         0.33333333 0.33333333 1.        ],[0.   0.4  0.72 0.84 1.  ],[1.85069402 0.85069402 0.77621041 0.70106887 0.58808524],0.8
26,ECON102C,0.9183673469387755,0.8571428571428571,0.8333333333333334,0.9183673469387755,0.8571428571428571,0.8333333333333334,49,7,6,0.8571428571428571,1.0,0.923076923076923,0.8333333333333334,1.0,0.9090909090909091,[0. 0. 1.],[0. 1. 1.],[1.87878788 0.87878788 0.75000622],1.0
27,MATH116,0.875,0.8333333333333334,0.9090909090909091,0.875,0.8333333333333334,0.9090909090909091,88,12,11,0.8333333333333334,1.0,0.9090909090909091,0.9090909090909091,1.0,0.9523809523809523,[0. 1.],[0. 1.],[1.82954538 0.82954538],0.5
28,CS102,0.7126436781609196,0.6363636363636364,0.7272727272727273,0.7126436781609196,0.6363636363636364,0.7272727272727273,174,22,22,0.6363636363636364,1.0,0.7777777777777778,0.7272727272727273,1.0,0.8421052631578948,[0.         0.16666667 1.        ],[0.     0.5625 1.    ],[1.84522922 0.84522922 0.54445273],0.6979166666666667
29,MATH51,0.5934309809143364,0.6099290780141844,0.6453900709219859,0.5934309809143364,0.6099290780141844,0.6453900709219859,2253,282,282,0.6099290780141844,1.0,0.7577092511013216,0.6453900709219859,1.0,0.7844827586206896,[0.  0.9 1. ],[0.         0.91758242 1.        ],[1.59679688 0.59679688 0.53646684],0.5087912087912088
30,CS205A,0.5833333333333334,0.8333333333333334,0.3333333333333333,0.4166666666666667,0.16666666666666666,0.6666666666666666,48,6,6,0.0,0.0,0.0,0.0,0.0,0.0,[0. 1.],[0. 1.],[1.5 0.5],0.5
31,ECON155,0.7294117647058823,0.7272727272727273,0.8181818181818182,0.611764705882353,0.45454545454545453,0.45454545454545453,85,11,11,0.6666666666666666,0.8,0.7272727272727272,1.0,0.6,0.7499999999999999,[0. 0. 1.],[0.  0.6 1. ],[1.70588234 0.70588234 0.5       ],0.8
32,CS261,0.8125,0.5,0.75,0.8125,0.5,0.75,32,4,4,0.5,1.0,0.6666666666666666,0.75,1.0,0.8571428571428571,[0. 1.],[0. 1.],[1.6875 0.6875],0.5
33,PSYCH101,0.775,0.6,0.7333333333333333,0.7083333333333334,0.8,0.6666666666666666,120,15,15,0.8,0.6666666666666666,0.7272727272727272,0.8,0.8,0.8000000000000002,[0.  0.4 1. ],[0.  0.8 1. ],[1.87878777 0.87878777 0.5       ],0.7000000000000001
34,PHIL154,0.75,0.75,0.6666666666666666,0.75,0.75,0.6666666666666666,28,4,3,0.75,1.0,0.8571428571428571,0.6666666666666666,1.0,0.8,[0. 0. 1.],[0.  0.5 1. ],[1.69373483 0.69373483 0.53236719],0.75
35,OSPKYOTO40M,0.8611111111111112,0.8,0.8,0.8611111111111112,0.8,0.8,36,5,5,0.8,1.0,0.888888888888889,0.8,1.0,0.888888888888889,[0. 1.],[0. 1.],[1.75 0.75],0.5
36,PHYSICS262,0.8125,0.7777777777777778,0.75,0.8125,0.7777777777777778,0.75,64,9,8,0.7777777777777778,1.0,0.8750000000000001,0.75,1.0,0.8571428571428571,[0.  0.5 1. ],[0. 1. 1.],[1.81578947 0.81578947 0.65382996],0.75
37,ME113,0.9387755102040817,0.7368421052631579,0.8888888888888888,0.9387755102040817,0.7368421052631579,0.8888888888888888,147,19,18,0.7368421052631579,1.0,0.8484848484848484,0.8888888888888888,1.0,0.9411764705882353,[0. 1.],[0. 1.],[1.92188445 0.92188445],0.5
38,CHEMENG120A,0.8311688311688312,0.9,0.7,0.7402597402597403,0.8,0.8,77,10,10,1.0,0.875,0.9333333333333333,0.8571428571428571,0.75,0.7999999999999999,[0.  0.5 0.5 1. ],[0.    0.625 0.75  1.   ],[1.83259912 0.83259912 0.71007707 0.5       ],0.59375
39,PHYSICS65,0.7307692307692307,0.7857142857142857,0.6923076923076923,0.625,0.7857142857142857,0.8461538461538461,104,14,13,0.7857142857142857,1.0,0.88,0.8181818181818182,0.8181818181818182,0.8181818181818182,[0. 1. 1. 1.],[0.         0.54545455 0.81818182 1.        ],[1.70410462 0.70410462 0.52954456 0.5       ],0.2727272727272727
40,ENGR205,0.38095238095238093,1.0,0.6666666666666666,0.6190476190476191,0.0,0.3333333333333333,21,3,3,0.0,0.0,0.0,0.0,0.0,0.0,[0. 1.],[0. 1.],[1.5 0.5],0.5
41,CS224N,0.726027397260274,0.7837837837837838,0.7777777777777778,0.726027397260274,0.7837837837837838,0.7777777777777778,292,37,36,0.7837837837837838,1.0,0.8787878787878788,0.7777777777777778,1.0,0.8750000000000001,[0.    0.125 1.   ],[0.         0.57142857 1.        ],[1.82352941 0.82352941 0.58990335],0.7232142857142857
42,PHYSICS171,0.7954545454545454,0.8333333333333334,0.7272727272727273,0.7954545454545454,0.8333333333333334,0.7272727272727273,88,12,11,0.8333333333333334,1.0,0.9090909090909091,0.7272727272727273,1.0,0.8421052631578948,[0.         0.         0.         0.33333333 1.        ],[0.    0.875 1.    1.    1.   ],[1.82171671 0.82171671 0.72552517 0.68771804 0.55810793],1.0
43,ECON118,0.8152173913043478,0.5,0.6666666666666666,0.782608695652174,0.75,0.9166666666666666,92,12,12,0.7142857142857143,0.5555555555555556,0.6250000000000001,1.0,0.6363636363636364,0.7777777777777778,[0. 0. 1.],[0.         0.63636364 1.        ],[1.91227899 0.91227899 0.5       ],0.8181818181818181
44,CS194H,0.9047619047619048,0.875,0.75,0.9047619047619048,0.875,0.75,63,8,8,0.875,1.0,0.9333333333333333,0.75,1.0,0.8571428571428571,[0. 1. 1.],[0.         0.83333333 1.        ],[1.88888744 0.88888744 0.55556422],0.4166666666666667
45,EE214B,0.6428571428571429,1.0,0.5,0.35714285714285715,0.0,0.5,14,2,2,0.0,0.0,0.0,0.0,0.0,0.0,[0. 1.],[0. 1.],[1.5 0.5],0.5
46,ENERGY104,0.8235294117647058,0.8,0.75,0.8235294117647058,0.8,0.75,34,5,4,0.8,1.0,0.888888888888889,0.75,1.0,0.8571428571428571,[0. 1.],[0. 1.],[1.70588234 0.70588234],0.5
47,CEE101B,0.6470588235294118,0.6666666666666666,0.6666666666666666,0.6470588235294118,0.6666666666666666,0.6666666666666666,68,9,9,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.8,[0. 0. 1.],[0.         0.33333333 1.        ],[1.64285714 0.64285714 0.54999818],0.6666666666666666
48,EE264,0.4,1.0,0.5,0.6,0.0,0.5,15,2,2,0.0,0.0,0.0,0.0,0.0,0.0,[0. 1.],[0. 1.],[1.5 0.5],0.5
49,CS144,0.6628571428571428,0.6818181818181818,0.9090909090909091,0.5085714285714286,0.45454545454545453,0.5,175,22,22,0.6153846153846154,0.8,0.6956521739130435,0.8461538461538461,1.0,0.9166666666666666,[0.         0.18181818 1.        ],[0. 1. 1.],[1.60377009 0.60377009 0.42029522],0.9090909090909091
50,ECON144,0.95,1.0,0.3333333333333333,0.95,1.0,0.3333333333333333,20,3,3,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,[0. 1.],[0. 1.],[1.75 0.75],0.5
51,MATH20,0.6028955532574974,0.5454545454545454,0.6115702479338843,0.5522233712512926,0.5950413223140496,0.5702479338842975,967,121,121,0.7428571428571429,0.3611111111111111,0.4859813084112149,0.775,0.4492753623188406,0.5688073394495413,[0.         0.17307692 1.        ],[0.         0.44927536 1.        ],[1.75538909 0.75538909 0.47605491],0.6380992196209587
52,PSYCH131,0.5357142857142857,0.75,0.25,0.4642857142857143,0.25,0.75,28,4,4,0.0,0.0,0.0,0.0,0.0,0.0,[0. 1.],[0. 1.],[1.5 0.5],0.5
53,AA279A,0.25,0.3333333333333333,0.5,0.75,0.6666666666666666,0.5,16,3,2,0.0,0.0,0.0,0.0,0.0,0.0,[0. 1.],[0. 1.],[1.5 0.5],0.5
54,ECON137,0.7278481012658228,0.8,0.55,0.5569620253164557,0.65,0.45,158,20,20,0.8,0.9230769230769231,0.8571428571428571,0.5,0.8888888888888888,0.64,[0.         0.45454545 0.72727273 0.72727273 1.        ],[0.         0.88888889 0.88888889 1.         1.        ],[1.7077186  0.7077186  0.60853546 0.45564531 0.34954141],0.7171717171717171
55,CS224S,0.725,1.0,0.8,0.725,1.0,0.8,40,5,5,1.0,1.0,1.0,0.8,1.0,0.888888888888889,[0. 1.],[0. 1.],[1.62499662 0.62499662],0.5
56,ME115B,0.8538812785388128,0.8928571428571429,0.8148148148148148,0.8538812785388128,0.8928571428571429,0.8148148148148148,219,28,27,0.8928571428571429,1.0,0.9433962264150945,0.8148148148148148,1.0,0.8979591836734693,[0. 1.],[0. 1.],[1.83561644 0.83561644],0.5
57,PSYCH90,0.823170731707317,0.8095238095238095,0.9,0.823170731707317,0.8095238095238095,0.9,164,21,20,0.8095238095238095,1.0,0.8947368421052632,0.9,1.0,0.9473684210526316,[0.  0.5 1. ],[0.         0.66666667 1.        ],[1.89655172 0.89655172 0.6883047 ],0.5833333333333333
58,CS168,0.7638888888888888,0.8947368421052632,0.9444444444444444,0.6944444444444444,0.7894736842105263,0.6666666666666666,144,19,18,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,0.9166666666666666,0.9565217391304348,[0. 0. 0. 0. 1.],[0.         0.58333333 0.66666667 0.91666667 1.        ],[1.82037466 0.82037466 0.72087906 0.63877741 0.5       ],0.9583333333333333
59,PHYSICS41,0.6626262626262627,0.6612903225806451,0.6397849462365591,0.6626262626262627,0.6612903225806451,0.6397849462365591,1485,186,186,0.6612903225806451,1.0,0.7961165048543689,0.6397849462365591,1.0,0.7803278688524591,[0. 1.],[0. 1.],[1.65993266 0.65993266],0.5
60,PHYSICS63,0.765625,0.625,0.75,0.765625,0.625,0.75,128,16,16,0.625,1.0,0.7692307692307693,0.75,1.0,0.8571428571428571,[0. 1. 1.],[0.         0.91666667 1.        ],[1.81719038 0.81719038 0.5143227 ],0.4583333333333333
61,CS240,0.38095238095238093,0.3333333333333333,0.3333333333333333,0.6190476190476191,0.6666666666666666,0.6666666666666666,21,3,3,0.0,0.0,0.0,0.0,0.0,0.0,[0. 1.],[0. 1.],[1.5 0.5],0.5
62,CS142,0.7072368421052632,0.6578947368421053,0.6842105263157895,0.6644736842105263,0.631578947368421,0.6842105263157895,608,76,76,0.8235294117647058,0.5833333333333334,0.6829268292682927,0.9117647058823529,0.5961538461538461,0.7209302325581395,[0.         0.         0.04166667 0.125      1.        ],[0.         0.17307692 0.53846154 0.59615385 1.        ],[1.92106496 0.92106496 0.85401109 0.66094232 0.49425138],0.7604166666666667
63,MATH121,0.8529411764705882,0.8888888888888888,0.75,0.8529411764705882,0.8888888888888888,0.75,68,9,8,0.8888888888888888,1.0,0.9411764705882353,0.75,1.0,0.8571428571428571,[0. 1.],[0. 1.],[1.79411764 0.79411764],0.5
