,course_name,train_score,test_score,train_groundtruth,test_groundtruth,train_size,test_size,precision,recall,f1_score
0,EARTHSYS158,1.0,0.5,0.7142857142857143,0.5,7,2,0.5,1.0,0.6666666666666666
1,EARTHSYS151,0.9545454545454546,1.0,0.9545454545454546,1.0,22,4,1.0,1.0,1.0
2,HUMBIO136,0.9411764705882353,1.0,0.9411764705882353,1.0,17,1,1.0,1.0,1.0
3,CS275,1.0,1.0,0.8,1.0,25,5,1.0,1.0,1.0
4,BIO115,0.8888888888888888,1.0,0.7777777777777778,1.0,27,15,1.0,1.0,1.0
5,GEOPHYS110,0.8611111111111112,0.8888888888888888,0.6944444444444444,1.0,36,9,1.0,0.8888888888888888,0.9411764705882353
6,ECON159,0.9230769230769231,0.6956521739130435,0.7692307692307693,0.6956521739130435,13,23,0.6956521739130435,1.0,0.8205128205128205
7,EE303,1.0,0.0,0.5,1.0,4,1,0.0,0.0,0.0
8,EE109,1.0,0.75,0.88,1.0,25,4,1.0,0.75,0.8571428571428571
9,CS245,0.96,0.8,0.58,0.7333333333333333,50,15,0.9,0.8181818181818182,0.8571428571428572
10,EE261,1.0,0.8333333333333334,0.6428571428571429,0.5833333333333334,56,12,0.7777777777777778,1.0,0.8750000000000001
11,MS&E112,1.0,0.0,0.3333333333333333,1.0,3,5,0.0,0.0,0.0
12,PHYSICS231,1.0,1.0,0.8,1.0,10,11,1.0,1.0,1.0
13,PHIL184,0.9117647058823529,0.74,0.8970588235294118,0.74,68,50,0.74,1.0,0.8505747126436781
14,CME104A,0.9545454545454546,0.6,0.7272727272727273,0.6,22,5,0.6,1.0,0.7499999999999999
15,PHIL152,1.0,1.0,0.75,1.0,32,4,1.0,1.0,1.0
16,PHIL102,0.8518518518518519,0.8181818181818182,0.7222222222222222,0.8409090909090909,108,44,0.8536585365853658,0.9459459459459459,0.8974358974358975
17,CS106X,0.7620253164556962,0.5925925925925926,0.7164556962025317,0.8148148148148148,395,27,0.7894736842105263,0.6818181818181818,0.7317073170731707
18,STATS207,1.0,0.75,0.5714285714285714,0.75,7,8,0.8333333333333334,0.8333333333333334,0.8333333333333334
19,STATS217,1.0,0.7142857142857143,0.5238095238095238,0.7857142857142857,21,14,0.8181818181818182,0.8181818181818182,0.8181818181818182
20,PUBLPOL105,0.819672131147541,0.6,0.7704918032786885,0.6,61,15,0.6,1.0,0.7499999999999999
21,ECON165,0.9166666666666666,0.7368421052631579,0.9166666666666666,0.7368421052631579,12,19,0.7368421052631579,1.0,0.8484848484848484
22,ECON149,0.9886363636363636,1.0,0.9886363636363636,1.0,88,42,1.0,1.0,1.0
23,EE364A,1.0,0.92,0.8163265306122449,0.92,49,25,0.92,1.0,0.9583333333333334
24,ENERGY101,0.8620689655172413,0.8,0.7931034482758621,0.8,29,10,0.8,1.0,0.888888888888889
25,PHYSICS63,0.7723577235772358,0.8108108108108109,0.7398373983739838,0.7837837837837838,123,37,0.8055555555555556,1.0,0.8923076923076924
26,CHEM151,0.9054054054054054,0.6470588235294118,0.581081081081081,0.5294117647058824,74,34,0.625,0.8333333333333334,0.7142857142857143
27,ECON136,0.9121621621621622,0.6363636363636364,0.8783783783783784,0.696969696969697,148,33,0.6896551724137931,0.8695652173913043,0.7692307692307693
28,PHIL186,0.9692307692307692,0.7777777777777778,0.8307692307692308,0.7777777777777778,65,9,0.7777777777777778,1.0,0.8750000000000001
29,MS&E245B,0.8888888888888888,0.875,0.7777777777777778,0.875,9,8,0.875,1.0,0.9333333333333333
30,EE108,0.8576923076923076,0.8,0.6884615384615385,0.8666666666666667,260,15,0.8571428571428571,0.9230769230769231,0.888888888888889
31,MATH106,1.0,0.5,0.6896551724137931,0.6111111111111112,29,18,0.5714285714285714,0.7272727272727273,0.64
32,MS&E211,0.9292035398230089,0.7857142857142857,0.7168141592920354,0.8571428571428571,113,14,0.8461538461538461,0.9166666666666666,0.8799999999999999
33,PHYSICS120,0.918918918918919,0.65,0.6936936936936937,0.7,111,40,0.75,0.75,0.75
34,CHEM134,0.90625,0.8095238095238095,0.828125,0.8095238095238095,64,21,0.8095238095238095,1.0,0.8947368421052632
35,ME140,0.8586956521739131,0.7727272727272727,0.717391304347826,0.75,184,44,0.7804878048780488,0.9696969696969697,0.8648648648648648
36,EE102A,0.8814432989690721,0.7818181818181819,0.6597938144329897,0.5818181818181818,194,55,0.7941176470588235,0.84375,0.8181818181818182
37,EE364B,1.0,1.0,0.6666666666666666,1.0,3,6,1.0,1.0,1.0
38,CHEMENG142,0.9411764705882353,0.9333333333333333,0.9411764705882353,0.9333333333333333,34,15,0.9333333333333333,1.0,0.9655172413793104
39,STATS191,0.9349112426035503,0.7857142857142857,0.8402366863905325,0.7857142857142857,169,56,0.7857142857142857,1.0,0.88
40,CS246,0.8698630136986302,0.7592592592592593,0.541095890410959,0.7037037037037037,146,54,0.8571428571428571,0.7894736842105263,0.8219178082191781
41,PHYSICS331,1.0,1.0,0.9,1.0,10,5,1.0,1.0,1.0
42,ECON102C,0.975,1.0,0.85,1.0,40,22,1.0,1.0,1.0
43,LINGUIST180,1.0,0.6666666666666666,0.8,0.6666666666666666,15,6,0.6666666666666666,1.0,0.8
44,HUMBIO129S,0.9782608695652174,0.8805970149253731,0.9782608695652174,0.8805970149253731,138,67,0.8805970149253731,1.0,0.9365079365079364
45,EE101B,0.9325842696629213,0.8636363636363636,0.6179775280898876,0.6818181818181818,89,22,1.0,0.8,0.888888888888889
46,MATH205B,0.9473684210526315,0.7142857142857143,0.9473684210526315,0.7142857142857143,19,7,0.7142857142857143,1.0,0.8333333333333333
47,ME70,0.7863777089783281,0.7837837837837838,0.5882352941176471,0.6081081081081081,323,74,0.8536585365853658,0.7777777777777778,0.8139534883720929
48,CHEM184,1.0,1.0,0.9655172413793104,1.0,29,12,1.0,1.0,1.0
49,CS210B,0.9888268156424581,0.9821428571428571,0.9888268156424581,0.9821428571428571,179,56,0.9821428571428571,1.0,0.9909909909909909
50,OSPBER40M,0.9310344827586207,1.0,0.9137931034482759,1.0,58,12,1.0,1.0,1.0
51,ME113,0.9161290322580645,0.9310344827586207,0.9032258064516129,0.9655172413793104,155,29,0.9642857142857143,0.9642857142857143,0.9642857142857143
52,CS144,0.8846153846153846,0.5945945945945946,0.510989010989011,0.4594594594594595,182,37,0.5416666666666666,0.7647058823529411,0.6341463414634146
53,EE264,1.0,0.5,0.5294117647058824,0.5,17,2,0.0,0.0,0.0
54,LINGUIST105,0.896551724137931,0.8775510204081632,0.8620689655172413,0.8979591836734694,58,49,0.8958333333333334,0.9772727272727273,0.9347826086956522
55,MATH113,0.8210862619808307,0.8333333333333334,0.65814696485623,0.6851851851851852,313,54,0.868421052631579,0.8918918918918919,0.88
56,EE134,0.9629629629629629,0.8888888888888888,0.7037037037037037,0.8888888888888888,27,9,0.8888888888888888,1.0,0.9411764705882353
57,ENGR15,0.7956403269754768,0.6395348837209303,0.5694822888283378,0.4418604651162791,367,86,0.5636363636363636,0.8157894736842105,0.6666666666666666
58,CS228,0.9605263157894737,0.8,0.5526315789473685,0.8,76,35,0.92,0.8214285714285714,0.8679245283018867
59,CEE176B,0.9152542372881356,0.35714285714285715,0.3220338983050847,0.9285714285714286,59,14,1.0,0.3076923076923077,0.47058823529411764
60,CHEM183,0.967741935483871,0.7777777777777778,0.7096774193548387,0.7777777777777778,31,9,0.8571428571428571,0.8571428571428571,0.8571428571428571
61,BIOMEDIN210,1.0,1.0,0.6666666666666666,1.0,6,2,1.0,1.0,1.0
62,CS166,0.9315068493150684,0.7142857142857143,0.589041095890411,0.7551020408163265,73,49,0.7948717948717948,0.8378378378378378,0.8157894736842105
63,EARTHSYS111,0.7410071942446043,0.5333333333333333,0.6618705035971223,0.5555555555555556,139,45,0.5555555555555556,0.8,0.6557377049180328
64,PHYSICS130,0.9583333333333334,0.8620689655172413,0.7083333333333334,0.6551724137931034,120,29,0.8260869565217391,1.0,0.9047619047619047
65,CME364A,1.0,0.0,0.3333333333333333,1.0,3,5,0.0,0.0,0.0
66,MATH107,0.9555555555555556,0.47058823529411764,0.7666666666666667,0.5882352941176471,90,17,0.5454545454545454,0.6,0.5714285714285713
67,CEE101A,0.8648648648648649,0.5,0.5405405405405406,0.8,37,10,1.0,0.375,0.5454545454545454
68,MATH115,0.8961038961038961,0.7741935483870968,0.6428571428571429,0.8709677419354839,154,31,0.9166666666666666,0.8148148148148148,0.8627450980392156
69,HUMBIO3B,0.8056768558951966,0.8,0.5655021834061136,0.5043478260869565,458,115,0.7397260273972602,0.9310344827586207,0.8244274809160306
70,CME106,0.8645833333333334,0.6237623762376238,0.5104166666666666,0.4158415841584158,288,101,0.5357142857142857,0.7142857142857143,0.6122448979591837
71,ME210,0.9280575539568345,0.7674418604651163,0.8057553956834532,0.7441860465116279,139,43,0.7894736842105263,0.9375,0.8571428571428572
72,ECON155,0.875,0.8148148148148148,0.5375,0.7037037037037037,80,27,0.8888888888888888,0.8421052631578947,0.8648648648648649
73,PSYCH147,0.9194630872483222,0.967741935483871,0.9194630872483222,0.967741935483871,149,31,0.967741935483871,1.0,0.9836065573770492
74,ENERGY104,0.8666666666666667,0.8461538461538461,0.8,0.8461538461538461,30,13,0.8461538461538461,1.0,0.9166666666666666
75,STATS206,1.0,1.0,0.5,0.0,4,2,0.0,0.0,0.0
76,CS193P,0.9242424242424242,0.75,0.36363636363636365,0.5,66,4,1.0,0.5,0.6666666666666666
77,BIOMEDIN260,1.0,1.0,0.9,1.0,10,1,1.0,1.0,1.0
78,MS&E111,0.7922077922077922,0.5538461538461539,0.5714285714285714,0.9384615384615385,308,65,0.9444444444444444,0.5573770491803278,0.7010309278350515
79,CHEMENG110,0.9861111111111112,0.8571428571428571,0.7083333333333334,0.8571428571428571,72,21,1.0,0.8333333333333334,0.9090909090909091
80,ENGR20,0.8235294117647058,0.8,0.7647058823529411,0.8,34,5,0.8,1.0,0.888888888888889
81,CHEMENG160,1.0,0.6,0.5882352941176471,0.5,17,10,0.5714285714285714,0.8,0.6666666666666666
82,ME101,0.9819694868238558,0.9444444444444444,0.9819694868238558,0.9444444444444444,721,72,0.9444444444444444,1.0,0.9714285714285714
83,PHIL80,0.8514644351464435,0.7662337662337663,0.8326359832635983,0.7532467532467533,478,77,0.7631578947368421,1.0,0.8656716417910448
84,MATSCI163,0.918918918918919,1.0,0.8648648648648649,1.0,37,3,1.0,1.0,1.0
85,CHEMENG355,1.0,1.0,0.25,0.0,4,1,0.0,0.0,0.0
86,CS107E,0.7931034482758621,0.75,0.7044334975369458,0.75,203,40,0.7631578947368421,0.9666666666666667,0.8529411764705883
87,MATSCI190,1.0,1.0,0.5,0.0,8,1,0.0,0.0,0.0
88,CHEMENG120B,0.9178082191780822,0.7391304347826086,0.6712328767123288,0.9130434782608695,73,23,0.9411764705882353,0.7619047619047619,0.8421052631578947
89,CME108,0.9830508474576272,0.6,0.7288135593220338,0.6,59,15,0.6153846153846154,0.8888888888888888,0.7272727272727274
90,ECON51,0.854389721627409,0.8136645962732919,0.721627408993576,0.8260869565217391,467,161,0.912,0.8571428571428571,0.8837209302325582
91,ECON52,0.8347107438016529,0.6891891891891891,0.7148760330578512,0.7162162162162162,484,74,0.7419354838709677,0.8679245283018868,0.8
92,CS181,0.9322033898305084,0.6517857142857143,0.7966101694915254,0.6785714285714286,118,112,0.6761904761904762,0.9342105263157895,0.7845303867403315
