,course_name,train_score,test_score,train_groundtruth,test_groundtruth,train_size,test_size,precision,recall,f1_score
0,EARTHSYS151,0.9545454545454546,1.0,0.9545454545454546,1.0,22,4,1.0,1.0,1.0
1,EARTHSYS158,0.7142857142857143,0.5,0.7142857142857143,0.5,7,2,0.5,1.0,0.6666666666666666
2,HUMBIO136,0.9411764705882353,1.0,0.9411764705882353,1.0,17,1,1.0,1.0,1.0
3,BIO115,0.7777777777777778,1.0,0.7777777777777778,1.0,27,15,1.0,1.0,1.0
4,CS275,0.8,1.0,0.8,1.0,25,5,1.0,1.0,1.0
5,GEOPHYS110,0.6944444444444444,1.0,0.6944444444444444,1.0,36,9,1.0,1.0,1.0
6,ECON159,0.7692307692307693,0.6956521739130435,0.7692307692307693,0.6956521739130435,13,23,0.6956521739130435,1.0,0.8205128205128205
7,EE303,0.75,0.0,0.5,1.0,4,1,0.0,0.0,0.0
8,EE109,0.88,1.0,0.88,1.0,25,4,1.0,1.0,1.0
9,CS245,0.72,0.7333333333333333,0.58,0.7333333333333333,50,15,0.7692307692307693,0.9090909090909091,0.8333333333333333
10,EE261,0.7142857142857143,0.5833333333333334,0.6428571428571429,0.5833333333333334,56,12,1.0,0.2857142857142857,0.4444444444444445
11,MS&E112,0.6666666666666666,0.0,0.3333333333333333,1.0,3,5,0.0,0.0,0.0
12,PHYSICS231,0.8,1.0,0.8,1.0,10,11,1.0,1.0,1.0
13,PHIL184,0.8970588235294118,0.74,0.8970588235294118,0.74,68,50,0.74,1.0,0.8505747126436781
14,CME104A,0.7272727272727273,0.6,0.7272727272727273,0.6,22,5,0.6,1.0,0.7499999999999999
15,PHIL152,0.75,1.0,0.75,1.0,32,4,1.0,1.0,1.0
16,CS106X,0.7164556962025317,0.8148148148148148,0.7164556962025317,0.8148148148148148,395,27,0.8148148148148148,1.0,0.8979591836734693
17,STATS207,0.5714285714285714,0.75,0.5714285714285714,0.75,7,8,0.75,1.0,0.8571428571428571
18,PUBLPOL105,0.7704918032786885,0.6,0.7704918032786885,0.6,61,15,0.6,1.0,0.7499999999999999
19,STATS217,0.5714285714285714,0.2857142857142857,0.5238095238095238,0.7857142857142857,21,14,1.0,0.09090909090909091,0.16666666666666669
20,ECON165,0.9166666666666666,0.7368421052631579,0.9166666666666666,0.7368421052631579,12,19,0.7368421052631579,1.0,0.8484848484848484
21,ECON149,0.9886363636363636,1.0,0.9886363636363636,1.0,88,42,1.0,1.0,1.0
22,EE364A,0.8163265306122449,0.92,0.8163265306122449,0.92,49,25,0.92,1.0,0.9583333333333334
23,ENERGY101,0.7931034482758621,0.8,0.7931034482758621,0.8,29,10,0.8,1.0,0.888888888888889
