,course_name,train_score,test_score,dev_score,train_groundtruth,test_groundtruth,dev_groundtruth,train_size,test_size,dev_size,test_precision,test_recall,test_f1_score,dev_precision,dev_recall,dev_f1_score,dev_fpr,dev_tpr,dev_threshold,dev_auc
0,MATH205B,1.0,1.0,0.6666666666666666,0.9,1.0,0.6666666666666666,20,3,3,1.0,1.0,1.0,0.6666666666666666,1.0,0.8,[0. 0. 1. 1.],[0.  0.5 0.5 1. ],[1.96398663 0.96398663 0.94215001 0.79766951],0.5
1,CHEM185,0.967741935483871,0.75,1.0,0.6774193548387096,1.0,0.75,31,4,4,1.0,0.75,0.8571428571428571,1.0,1.0,1.0,[0. 0. 0. 1.],[0.         0.33333333 1.         1.        ],[1.91414691 0.91414691 0.6961045  0.48552109],1.0
2,CEE177,1.0,0.6,0.5,0.5757575757575758,0.2,0.5,33,5,4,0.3333333333333333,1.0,0.5,0.5,1.0,0.6666666666666666,[0. 0. 0. 1.],[0.  0.5 1.  1. ],[1.8362316  0.8362316  0.81472402 0.75144885],1.0
3,EARTHSYS111,0.7891156462585034,0.7368421052631579,0.5,0.6326530612244898,0.6842105263157895,0.6111111111111112,147,19,18,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.6,0.5454545454545454,0.5714285714285713,"[0.         0.         0.         0.14285714 0.42857143 0.57142857
 0.57142857 0.71428571 0.71428571 0.85714286 1.        ]","[0.         0.09090909 0.45454545 0.45454545 0.45454545 0.54545455
 0.63636364 0.63636364 0.90909091 0.90909091 1.        ]","[1.98618377 0.98618377 0.66516181 0.59523245 0.58049547 0.54475292
 0.44382075 0.43780551 0.31122933 0.30832112 0.28096217]",0.6233766233766234
4,ECON155,0.9176470588235294,0.7272727272727273,0.5454545454545454,0.611764705882353,0.45454545454545453,0.45454545454545453,85,11,11,0.6666666666666666,0.8,0.7272727272727272,0.5,0.4,0.4444444444444445,"[0.         0.         0.16666667 0.16666667 0.5        0.5
 0.66666667 1.        ]",[0.  0.2 0.2 0.4 0.4 1.  1.  1. ],"[1.89080968 0.89080968 0.70893805 0.67493767 0.45731302 0.2907917
 0.20550594 0.13420038]",0.6666666666666667
5,PHYSICS262,0.96875,0.7777777777777778,0.75,0.8125,0.7777777777777778,0.75,64,9,8,0.7777777777777778,1.0,0.8750000000000001,0.75,1.0,0.8571428571428571,[0.  0.  0.  0.5 0.5 1.  1. ],"[0.         0.16666667 0.5        0.5        0.83333333 0.83333333
 1.        ]","[1.98973596 0.98973596 0.97055697 0.96607793 0.89560572 0.74431183
 0.72329217]",0.6666666666666667
6,MATH146,1.0,1.0,0.5,0.7142857142857143,0.75,0.75,28,4,4,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,[0. 0. 0. 1. 1.],[0.         0.33333333 0.66666667 0.66666667 1.        ],[1.84410638 0.84410638 0.4511912  0.42358773 0.27767292],0.6666666666666666
7,EE108,0.8909090909090909,0.6785714285714286,0.6296296296296297,0.6772727272727272,0.7857142857142857,0.7777777777777778,220,28,27,0.8421052631578947,0.7272727272727273,0.7804878048780488,0.8235294117647058,0.6666666666666666,0.7368421052631577,"[0.         0.         0.         0.16666667 0.16666667 0.33333333
 0.33333333 0.5        0.5        0.66666667 0.66666667 1.
 1.        ]","[0.         0.04761905 0.28571429 0.28571429 0.33333333 0.33333333
 0.61904762 0.61904762 0.80952381 0.80952381 0.9047619  0.9047619
 1.        ]","[1.99407472 0.99407472 0.92435142 0.87846199 0.85376195 0.83984277
 0.730824   0.72838732 0.38779732 0.38761372 0.2644945  0.09591998
 0.06763355]",0.6428571428571428
8,CS227B,0.8922155688622755,0.8095238095238095,0.9523809523809523,0.8562874251497006,0.8571428571428571,0.9523809523809523,167,21,21,0.85,0.9444444444444444,0.8947368421052632,0.9523809523809523,1.0,0.975609756097561,[0. 0. 0. 1. 1.],[0.   0.05 0.7  0.7  1.  ],[1.99318043 0.99318043 0.89527877 0.88681534 0.62357803],0.7
9,ME216B,0.9133333333333333,1.0,0.8421052631578947,0.9,1.0,0.8421052631578947,150,19,19,1.0,1.0,1.0,0.8421052631578947,1.0,0.9142857142857143,"[0.         0.         0.         0.33333333 0.33333333 0.66666667
 0.66666667 1.        ]",[0.     0.0625 0.3125 0.3125 0.5    0.5    1.     1.    ],"[1.99235289 0.99235289 0.96789256 0.96518339 0.92249517 0.90211689
 0.75249951 0.62122674]",0.6041666666666667
