,course_name,train_score,test_score,dev_score,train_groundtruth,test_groundtruth,dev_groundtruth,train_size,test_size,dev_size,test_precision,test_recall,test_f1_score,dev_precision,dev_recall,dev_f1_score,dev_fpr,dev_tpr,dev_threshold,dev_auc
0,MATH205B,0.9,1.0,0.6666666666666666,0.9,1.0,0.6666666666666666,20,3,3,1.0,1.0,1.0,0.6666666666666666,1.0,0.8,[0. 0. 1. 1.],[0.  0.5 0.5 1. ],[1.90047318 0.90047318 0.8982143  0.89666958],0.5
1,CEE177,0.5757575757575758,0.2,0.5,0.5757575757575758,0.2,0.5,33,5,4,0.2,1.0,0.33333333333333337,0.5,1.0,0.6666666666666666,[0.  0.  0.5 0.5 1. ],[0.  0.5 0.5 1.  1. ],[1.60124548 0.60124548 0.59292922 0.59291408 0.56866188],0.75
2,EARTHSYS111,0.6326530612244898,0.6842105263157895,0.6111111111111112,0.6326530612244898,0.6842105263157895,0.6111111111111112,147,19,18,0.6842105263157895,1.0,0.8125000000000001,0.6111111111111112,1.0,0.7586206896551725,"[0.         0.         0.         0.14285714 0.14285714 0.42857143
 0.71428571 0.71428571 1.         1.        ]","[0.         0.09090909 0.45454545 0.45454545 0.72727273 0.72727273
 0.72727273 0.81818182 0.81818182 1.        ]","[1.70630952 0.70630952 0.64327666 0.64244745 0.61510698 0.61111167
 0.60891367 0.60622779 0.59819596 0.58902574]",0.7142857142857143
3,CHEM185,0.6774193548387096,1.0,0.75,0.6774193548387096,1.0,0.75,31,4,4,1.0,1.0,1.0,0.75,1.0,0.8571428571428571,[0. 0. 0. 1.],[0.         0.33333333 1.         1.        ],[1.69466844 0.69466844 0.68270185 0.64185546],1.0
4,MATH104,0.7028985507246377,0.7307692307692307,0.6730769230769231,0.7028985507246377,0.7307692307692307,0.6730769230769231,414,52,52,0.7307692307692307,1.0,0.8444444444444443,0.6730769230769231,1.0,0.8045977011494253,"[0.         0.         0.         0.05882353 0.05882353 0.11764706
 0.11764706 0.23529412 0.23529412 0.29411765 0.29411765 0.35294118
 0.35294118 0.47058824 0.47058824 0.70588235 0.70588235 0.76470588
 0.76470588 1.        ]","[0.         0.02857143 0.42857143 0.42857143 0.57142857 0.57142857
 0.62857143 0.62857143 0.65714286 0.65714286 0.8        0.8
 0.82857143 0.82857143 0.94285714 0.94285714 0.97142857 0.97142857
 1.         1.        ]","[1.83464607 0.83464607 0.77478876 0.77336127 0.72396609 0.72344727
 0.71801608 0.70510974 0.6583877  0.65466267 0.63908262 0.63890984
 0.63499574 0.62672022 0.61073647 0.59725252 0.59137803 0.5886134
 0.58540545 0.56726573]",0.8302521008403362
5,ECON155,0.611764705882353,0.45454545454545453,0.45454545454545453,0.611764705882353,0.45454545454545453,0.45454545454545453,85,11,11,0.45454545454545453,1.0,0.625,0.45454545454545453,1.0,0.625,"[0.         0.         0.33333333 0.33333333 0.5        0.5
 0.66666667 1.        ]",[0.  0.2 0.2 0.6 0.6 1.  1.  1. ],"[1.65800324 0.65800324 0.58369622 0.56466998 0.56088184 0.55311952
 0.54432578 0.53479377]",0.6666666666666667
6,ECON126,0.6666666666666666,0.6875,0.7333333333333333,0.6666666666666666,0.6875,0.7333333333333333,123,16,15,0.6875,1.0,0.8148148148148148,0.7333333333333333,1.0,0.846153846153846,[0.   0.   0.   0.25 0.25 1.  ],[0.         0.09090909 0.90909091 0.90909091 1.         1.        ],[1.75982287 0.75982287 0.63154351 0.60502702 0.60481473 0.57847939],0.9772727272727273
7,PHYSICS262,0.8125,0.7777777777777778,0.75,0.8125,0.7777777777777778,0.75,64,9,8,0.7777777777777778,1.0,0.8750000000000001,0.75,1.0,0.8571428571428571,[0.  0.  0.  0.5 0.5 1. ],[0.         0.16666667 0.66666667 0.66666667 1.         1.        ],[1.84074205 0.84074205 0.82858098 0.81997017 0.81243001 0.81002867],0.8333333333333333
8,EE101A,0.6530612244897959,0.28,0.8,0.6530612244897959,0.28,0.8,196,25,25,0.28,1.0,0.43750000000000006,0.8,1.0,0.888888888888889,[0.  0.  0.  0.2 0.2 0.4 0.4 0.6 0.6 1. ],[0.   0.05 0.35 0.35 0.75 0.75 0.95 0.95 1.   1.  ],"[1.75785295 0.75785295 0.73346202 0.73294801 0.6259436  0.60962604
 0.57365141 0.56948974 0.56824132 0.53870298]",0.81
9,ME216B,0.9,1.0,0.8421052631578947,0.9,1.0,0.8421052631578947,150,19,19,1.0,1.0,1.0,0.8421052631578947,1.0,0.9142857142857143,"[0.         0.         0.         0.33333333 0.33333333 0.66666667
 0.66666667 1.        ]",[0.     0.0625 0.125  0.125  0.5    0.5    1.     1.    ],"[1.907062   0.907062   0.90637857 0.90541798 0.90007142 0.8998066
 0.89515453 0.89191668]",0.5416666666666667
