,course_name,train_score,test_score,dev_score,train_groundtruth,test_groundtruth,dev_groundtruth,train_size,test_size,dev_size,test_precision,test_recall,test_f1_score,dev_precision,dev_recall,dev_f1_score,dev_fpr,dev_tpr,dev_threshold,dev_auc
0,CEE177,0.5757575757575758,0.2,0.5,0.5757575757575758,0.2,0.5,33,5,4,0.2,1.0,0.33333333333333337,0.5,1.0,0.6666666666666666,[0.  0.5 0.5 1. ],[0.  0.5 1.  1. ],[1.58867911 0.58867911 0.58545386 0.56424636],0.625
1,MATH205B,0.9,1.0,0.6666666666666666,0.9,1.0,0.6666666666666666,20,3,3,1.0,1.0,1.0,0.6666666666666666,1.0,0.8,[0. 0. 1.],[0. 1. 1.],[1.90024818 0.90024818 0.89798674],1.0
2,EARTHSYS111,0.6326530612244898,0.6842105263157895,0.6111111111111112,0.6326530612244898,0.6842105263157895,0.6111111111111112,147,19,18,0.6842105263157895,1.0,0.8125000000000001,0.6111111111111112,1.0,0.7586206896551725,[0.         0.14285714 0.85714286 1.         1.        ],[0.         0.36363636 0.81818182 0.81818182 1.        ],[1.65904997 0.65904997 0.62184807 0.61433159 0.60468376],0.564935064935065
3,CHEM185,0.6774193548387096,1.0,0.75,0.6774193548387096,1.0,0.75,31,4,4,1.0,1.0,1.0,0.75,1.0,0.8571428571428571,[0. 0. 0. 1.],[0.         0.33333333 1.         1.        ],[1.69020707 0.69020707 0.67529787 0.66495452],1.0
4,ECON155,0.611764705882353,0.45454545454545453,0.45454545454545453,0.611764705882353,0.45454545454545453,0.45454545454545453,85,11,11,0.45454545454545453,1.0,0.625,0.45454545454545453,1.0,0.625,[0.         0.         0.16666667 0.16666667 0.33333333 1.        ],[0.  0.2 0.2 0.6 0.6 1. ],[1.63412596 0.63412596 0.62702527 0.58084509 0.57340597 0.56166084],0.6666666666666667
5,ECON126,0.6666666666666666,0.6875,0.7333333333333333,0.6666666666666666,0.6875,0.7333333333333333,123,16,15,0.6875,1.0,0.8148148148148148,0.7333333333333333,1.0,0.846153846153846,[0.   0.   0.   0.   0.   0.25 0.25 0.5  1.  ],"[0.         0.09090909 0.45454545 0.72727273 0.90909091 0.90909091
 1.         1.         1.        ]","[1.71550798 0.71550798 0.71301527 0.7123975  0.66970814 0.63382999
 0.6261552  0.61309601 0.61238009]",0.9772727272727273
6,ME216B,0.9,1.0,0.8421052631578947,0.9,1.0,0.8421052631578947,150,19,19,1.0,1.0,1.0,0.8421052631578947,1.0,0.9142857142857143,"[0.         0.         0.33333333 0.66666667 0.66666667 1.
 1.        ]",[0.     0.0625 0.25   0.6875 0.875  0.875  1.    ],"[1.90458616 0.90458616 0.90284642 0.89999167 0.89817758 0.89709933
 0.89423939]",0.5
7,MATH146,0.7142857142857143,0.75,0.75,0.7142857142857143,0.75,0.75,28,4,4,0.75,1.0,0.8571428571428571,0.75,1.0,0.8571428571428571,[0. 0. 0. 1.],[0.         0.33333333 1.         1.        ],[1.71953917 0.71953917 0.71617903 0.70301016],1.0
8,PHYSICS262,0.8125,0.7777777777777778,0.75,0.8125,0.7777777777777778,0.75,64,9,8,0.7777777777777778,1.0,0.8750000000000001,0.75,1.0,0.8571428571428571,[0.  0.5 1. ],[0. 1. 1.],[1.81799217 0.81799217 0.80875067],0.75
9,CHEM181,0.723404255319149,0.7777777777777778,0.6666666666666666,0.723404255319149,0.7777777777777778,0.6666666666666666,141,18,18,0.7777777777777778,1.0,0.8750000000000001,0.6666666666666666,1.0,0.8,"[0.         0.         0.         0.         0.33333333 0.33333333
 0.5        0.5        0.83333333 0.83333333 1.        ]","[0.         0.16666667 0.5        0.66666667 0.66666667 0.83333333
 0.83333333 0.91666667 0.91666667 1.         1.        ]","[1.77618337 0.77618337 0.76646727 0.75158719 0.71266186 0.6911355
 0.69072807 0.68525064 0.66986941 0.66925784 0.66117032]",0.8333333333333334
10,MATH104,0.7028985507246377,0.7307692307692307,0.6730769230769231,0.7028985507246377,0.7307692307692307,0.6730769230769231,414,52,52,0.7307692307692307,1.0,0.8444444444444443,0.6730769230769231,1.0,0.8045977011494253,"[0.         0.         0.05882353 0.05882353 0.05882353 0.17647059
 0.17647059 0.17647059 0.17647059 0.17647059 0.23529412 0.29411765
 0.41176471 0.47058824 0.47058824 0.52941176 0.88235294 1.        ]","[0.         0.05714286 0.11428571 0.2        0.4        0.4
 0.48571429 0.54285714 0.57142857 0.62857143 0.62857143 0.8
 0.8        0.82857143 0.88571429 0.88571429 0.97142857 1.        ]","[1.79317646 0.79317646 0.78617958 0.76225503 0.76062321 0.75453581
 0.74336727 0.72651298 0.7180625  0.68043135 0.6682686  0.66132686
 0.65386344 0.65182747 0.64029798 0.63053828 0.62013368 0.61015997]",0.76890756302521
11,EE108,0.6772727272727272,0.7857142857142857,0.7777777777777778,0.6772727272727272,0.7857142857142857,0.7777777777777778,220,28,27,0.7857142857142857,1.0,0.88,0.7777777777777778,1.0,0.8750000000000001,"[0.         0.16666667 0.16666667 0.5        0.66666667 0.66666667
 1.        ]","[0.         0.04761905 0.66666667 0.66666667 0.66666667 0.71428571
 1.        ]","[1.71777785 0.71777785 0.71679567 0.67306584 0.67158726 0.63506773
 0.6339445 ]",0.623015873015873
12,EE101A,0.6530612244897959,0.28,0.8,0.6530612244897959,0.28,0.8,196,25,25,0.28,1.0,0.43750000000000006,0.8,1.0,0.888888888888889,[0.  0.2 0.2 0.2 0.2 0.4 1. ],[0.   0.4  0.7  0.75 0.85 0.85 1.  ],"[1.7137094  0.7137094  0.6785499  0.62953978 0.61134393 0.59358642
 0.5899818 ]",0.7650000000000001
13,CS227B,0.8562874251497006,0.8571428571428571,0.9523809523809523,0.8562874251497006,0.8571428571428571,0.9523809523809523,167,21,21,0.8571428571428571,1.0,0.923076923076923,0.9523809523809523,1.0,0.975609756097561,[0. 0. 0. 0. 1. 1. 1.],[0.   0.05 0.15 0.6  0.75 0.85 1.  ],"[1.86848336 0.86848336 0.8662078  0.86331318 0.86096248 0.85523833
 0.84709338]",0.675
14,ECON52,0.7107623318385651,0.75,0.7142857142857143,0.7107623318385651,0.75,0.7142857142857143,446,56,56,0.75,1.0,0.8571428571428571,0.7142857142857143,1.0,0.8333333333333333,[0.     0.     0.0625 0.0625 0.1875 0.5    0.5625 0.8125 1.    ],[0.    0.35  0.55  0.575 0.7   0.825 0.825 0.925 1.   ],"[1.78465249 0.78465249 0.78071805 0.72726269 0.69047061 0.68550512
 0.66605453 0.62556647 0.6201326 ]",0.796875
15,IPS207,0.8,1.0,0.5,0.8,1.0,0.5,15,2,2,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,[0. 1. 1.],[0. 0. 1.],[1.79971147 0.79971147 0.79812581],0.0
16,AA100,0.8461538461538461,0.8571428571428571,0.9230769230769231,0.8461538461538461,0.8571428571428571,0.9230769230769231,104,14,13,0.8571428571428571,1.0,0.923076923076923,0.9230769230769231,1.0,0.9600000000000001,[0. 0. 0. 0. 0. 0. 0. 1.],"[0.         0.16666667 0.25       0.58333333 0.66666667 0.83333333
 1.         1.        ]","[1.8496274  0.8496274  0.84942413 0.84544629 0.84494031 0.84485016
 0.84361411 0.84077414]",1.0
17,CS248,0.8627450980392157,0.9230769230769231,0.8461538461538461,0.8627450980392157,0.9230769230769231,0.8461538461538461,102,13,13,0.9230769230769231,1.0,0.9600000000000001,0.8461538461538461,1.0,0.9166666666666666,[0. 0. 0. 0. 1. 1.],[0.         0.09090909 0.27272727 0.45454545 0.72727273 1.        ],[1.86555917 0.86555917 0.86527382 0.86293291 0.86204706 0.85965918],0.5909090909090909
18,PHYSICS65,0.625,0.7857142857142857,0.8461538461538461,0.625,0.7857142857142857,0.8461538461538461,104,14,13,0.7857142857142857,1.0,0.88,0.8461538461538461,1.0,0.9166666666666666,[0.  0.5 0.5 1.  1.  1. ],[0.         0.45454545 0.63636364 0.63636364 0.81818182 1.        ],[1.65591193 0.65591193 0.60337559 0.59797911 0.57619778 0.56404451],0.4318181818181818
19,MATH51H,0.75,1.0,0.6666666666666666,0.75,1.0,0.6666666666666666,24,4,3,1.0,1.0,1.0,0.6666666666666666,1.0,0.8,[0. 1.],[0. 1.],[1.75074172 0.75074172],0.5
20,PSYCH30,0.618421052631579,0.49122807017543857,0.49122807017543857,0.618421052631579,0.49122807017543857,0.49122807017543857,456,57,57,0.49122807017543857,1.0,0.6588235294117647,0.49122807017543857,1.0,0.6588235294117647,"[0.         0.03448276 0.03448276 0.03448276 0.06896552 0.17241379
 0.17241379 0.55172414 1.        ]","[0.         0.28571429 0.46428571 0.53571429 0.53571429 0.53571429
 0.57142857 0.82142857 1.        ]","[1.71642154 0.71642154 0.69175902 0.63162341 0.60746011 0.60366593
 0.57889143 0.56806368 0.53880463]",0.7512315270935959
21,BIO144,0.8048780487804879,0.6666666666666666,0.6,0.8048780487804879,0.6666666666666666,0.6,41,6,5,0.6666666666666666,1.0,0.8,0.6,1.0,0.7499999999999999,[0. 0. 0. 1.],[0.         0.33333333 1.         1.        ],[1.80880875 0.80880875 0.8055588  0.80462762],1.0
22,PHIL181,0.8541666666666666,1.0,0.8333333333333334,0.8541666666666666,1.0,0.8333333333333334,48,6,6,1.0,1.0,1.0,0.8333333333333334,1.0,0.9090909090909091,[0. 0. 1.],[0.  0.4 1. ],[1.85249032 0.85249032 0.85082791],0.7
23,PHYSICS61,0.8082191780821918,0.8214285714285714,0.7407407407407407,0.8082191780821918,0.8214285714285714,0.7407407407407407,219,28,27,0.8214285714285714,1.0,0.9019607843137255,0.7407407407407407,1.0,0.851063829787234,"[0.         0.         0.         0.28571429 0.42857143 0.71428571
 0.85714286 0.85714286 1.        ]",[0.   0.1  0.2  0.25 0.45 0.95 0.95 1.   1.  ],"[1.81491656 0.81491656 0.81438978 0.81404057 0.8083134  0.80741355
 0.80199436 0.80107215 0.80070401]",0.5928571428571427
24,CS377U,0.8627450980392157,0.7142857142857143,0.3333333333333333,0.8627450980392157,0.7142857142857143,0.3333333333333333,51,7,6,0.7142857142857143,1.0,0.8333333333333333,0.3333333333333333,1.0,0.5,[0.   0.25 0.5  1.  ],[0. 0. 1. 1.],[1.86422458 0.86422458 0.86384406 0.86063128],0.625
25,EE134,0.75,0.75,0.75,0.75,0.75,0.75,28,4,4,0.75,1.0,0.8571428571428571,0.75,1.0,0.8571428571428571,[0. 0. 1.],[0.         0.33333333 1.        ],[1.74853489 0.74853489 0.74579143],0.6666666666666666
26,ME112,0.8560157790927022,0.78125,0.9365079365079365,0.8560157790927022,0.78125,0.9365079365079365,507,64,63,0.78125,1.0,0.8771929824561403,0.9365079365079365,1.0,0.9672131147540983,"[0.   0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 1.   1.   1.  ]","[0.         0.11864407 0.18644068 0.20338983 0.25423729 0.27118644
 0.33898305 0.38983051 0.42372881 0.45762712 0.49152542 0.50847458
 0.59322034 0.6440678  0.6779661  0.81355932 0.83050847 0.91525424
 0.94915254 1.        ]","[1.89782142 0.89782142 0.89596364 0.88289719 0.88172534 0.87712199
 0.86544266 0.86254134 0.85657793 0.8540055  0.85367642 0.85257323
 0.85114908 0.84142241 0.83626947 0.83471836 0.83292563 0.83192804
 0.82286018 0.8212092 ]",0.6694915254237288
27,ECON144,0.95,1.0,0.3333333333333333,0.95,1.0,0.3333333333333333,20,3,3,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,[0. 0. 1.],[0. 1. 1.],[1.95026526 0.95026526 0.94957926],1.0
28,MATH131P,0.5686274509803921,0.6923076923076923,0.6923076923076923,0.5686274509803921,0.6923076923076923,0.6923076923076923,102,13,13,0.6923076923076923,1.0,0.8181818181818181,0.6923076923076923,1.0,0.8181818181818181,[0.   0.   0.   0.25 0.5  0.75 1.  ],"[0.         0.22222222 0.55555556 0.77777778 0.88888889 0.88888889
 1.        ]","[1.59405272 0.59405272 0.59352422 0.58096795 0.54138395 0.52795053
 0.52740443]",0.8333333333333333
29,EE107,0.7910447761194029,0.6666666666666666,0.875,0.7910447761194029,0.6666666666666666,0.875,67,9,8,0.6666666666666666,1.0,0.8,0.875,1.0,0.9333333333333333,[0. 0. 0. 0. 0. 1.],[0.         0.14285714 0.28571429 0.57142857 0.85714286 1.        ],[1.80287661 0.80287661 0.80117488 0.79731317 0.78817917 0.77735163],0.9285714285714286
30,PHIL180,0.8166666666666667,0.875,0.8571428571428571,0.8166666666666667,0.875,0.8571428571428571,60,8,7,0.875,1.0,0.9333333333333333,0.8571428571428571,1.0,0.923076923076923,[0. 0. 0. 1.],[0.         0.33333333 0.66666667 1.        ],[1.82232023 0.82232023 0.82124382 0.81345119],0.8333333333333333
31,PHYSICS105,0.7741935483870968,0.75,0.8,0.7741935483870968,0.75,0.8,124,16,15,0.75,1.0,0.8571428571428571,0.8,1.0,0.888888888888889,[0.         0.33333333 0.33333333 0.33333333 0.66666667 1.        ],[0.         0.33333333 0.5        0.83333333 1.         1.        ],[1.79291767 0.79291767 0.78409884 0.75456386 0.74806844 0.74463772],0.6944444444444445
32,CS276,0.5277777777777778,0.6,0.8,0.5277777777777778,0.6,0.8,36,5,5,0.6,1.0,0.7499999999999999,0.8,1.0,0.888888888888889,[0. 0. 0. 1.],[0.   0.25 1.   1.  ],[1.54703147 0.54703147 0.51806972 0.50676566],1.0
33,ME216A,0.8708333333333333,0.9032258064516129,0.8666666666666667,0.8708333333333333,0.9032258064516129,0.8666666666666667,240,31,30,0.9032258064516129,1.0,0.9491525423728813,0.8666666666666667,1.0,0.9285714285714286,[0.   0.   0.   0.   0.25 0.5  0.5  0.5  0.5  1.  ],"[0.         0.03846154 0.26923077 0.34615385 0.57692308 0.57692308
 0.69230769 0.92307692 0.96153846 1.        ]","[1.88223504 0.88223504 0.8753254  0.87360312 0.87321172 0.86841295
 0.86800791 0.86626379 0.86474687 0.85925164]",0.75
34,MATH109,0.7551020408163265,0.42857142857142855,0.3333333333333333,0.7551020408163265,0.42857142857142855,0.3333333333333333,49,7,6,0.42857142857142855,1.0,0.6,0.3333333333333333,1.0,0.5,[0.   0.   0.25 0.75 1.  ],[0.  0.5 0.5 1.  1. ],[1.76175235 0.76175235 0.76160209 0.74169715 0.74153854],0.75
35,CEE166B,0.75,0.5,0.5,0.75,0.5,0.5,16,2,2,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,[0. 0. 1.],[0. 1. 1.],[1.75292055 0.75292055 0.7510688 ],1.0
36,CEE181,0.5625,0.6,0.25,0.5625,0.6,0.25,32,5,4,0.6,1.0,0.7499999999999999,0.25,1.0,0.4,[0.         0.         0.33333333 1.        ],[0. 1. 1. 1.],[1.57067702 0.57067702 0.56147354 0.55663493],1.0
37,CS448B,0.6724137931034483,0.5,0.7142857142857143,0.6724137931034483,0.5,0.7142857142857143,58,8,7,0.5,1.0,0.6666666666666666,0.7142857142857143,1.0,0.8333333333333333,[0.  0.  0.  0.5 0.5 1. ],[0.  0.2 0.4 0.6 1.  1. ],[1.6791379  0.6791379  0.67902523 0.67631797 0.67212482 0.66574064],0.75
38,CS265,0.6666666666666666,0.8,0.8,0.6666666666666666,0.8,0.8,39,5,5,0.8,1.0,0.888888888888889,0.8,1.0,0.888888888888889,[0. 0. 0. 1.],[0.   0.75 1.   1.  ],[1.67167923 0.67167923 0.66523589 0.64766299],1.0
39,CS194H,0.9047619047619048,0.875,0.75,0.9047619047619048,0.875,0.75,63,8,8,0.875,1.0,0.9333333333333333,0.75,1.0,0.8571428571428571,[0.  0.5 0.5 1.  1. ],[0.         0.         0.66666667 0.83333333 1.        ],[1.90619503 0.90619503 0.90537095 0.90348326 0.90267314],0.375
40,ENGR15,0.7071823204419889,0.6304347826086957,0.7111111111111111,0.5331491712707183,0.6086956521739131,0.5777777777777777,362,46,45,0.7391304347826086,0.6071428571428571,0.6666666666666666,0.7407407407407407,0.7692307692307693,0.7547169811320754,"[0.         0.05263158 0.10526316 0.10526316 0.15789474 0.15789474
 0.26315789 0.36842105 0.36842105 0.42105263 0.63157895 0.68421053
 0.78947368 1.        ]","[0.         0.19230769 0.23076923 0.34615385 0.46153846 0.53846154
 0.57692308 0.69230769 0.76923077 0.84615385 0.88461538 0.88461538
 0.88461538 1.        ]","[1.63679221 0.63679221 0.63383689 0.61528974 0.61226598 0.57008989
 0.52222731 0.51904386 0.50025392 0.49927559 0.49608677 0.47859773
 0.45573446 0.45257238]",0.7257085020242915
41,CS238,0.8735177865612648,0.875,0.875,0.8735177865612648,0.875,0.875,253,32,32,0.875,1.0,0.9333333333333333,0.875,1.0,0.9333333333333333,[0.  0.  0.  0.5 1. ],[0.         0.35714286 0.5        0.82142857 1.        ],[1.88381583 0.88381583 0.88011253 0.863435   0.85918556],0.7857142857142857
42,MS&E121,0.8432055749128919,0.9166666666666666,0.8055555555555556,0.8432055749128919,0.9166666666666666,0.8055555555555556,287,36,36,0.9166666666666666,1.0,0.9565217391304348,0.8055555555555556,1.0,0.8923076923076924,"[0.         0.         0.         0.         0.         0.
 0.28571429 0.28571429 0.28571429 0.42857143 1.        ]","[0.         0.24137931 0.34482759 0.48275862 0.5862069  0.79310345
 0.89655172 0.96551724 1.         1.         1.        ]","[1.87265864 0.87265864 0.86167797 0.8542461  0.84576248 0.84196525
 0.82702837 0.82609605 0.82424422 0.81146775 0.80999775]",0.9556650246305418
43,ME70,0.5993690851735016,0.55,0.575,0.5993690851735016,0.55,0.575,317,40,40,0.55,1.0,0.7096774193548387,0.575,1.0,0.7301587301587301,"[0.         0.         0.05882353 0.05882353 0.11764706 0.11764706
 0.29411765 0.29411765 0.41176471 0.41176471 0.58823529 0.70588235
 0.88235294 1.        ]","[0.         0.08695652 0.2173913  0.39130435 0.52173913 0.56521739
 0.69565217 0.7826087  0.86956522 0.91304348 0.91304348 0.95652174
 0.95652174 1.        ]","[1.68717351 0.68717351 0.67175427 0.66255404 0.64654548 0.61360019
 0.60020316 0.58309788 0.57299231 0.56583893 0.56302195 0.55558486
 0.53808919 0.5204497 ]",0.79923273657289
44,CS274,0.6967213114754098,0.5625,0.6666666666666666,0.6967213114754098,0.5625,0.6666666666666666,122,16,15,0.5625,1.0,0.72,0.6666666666666666,1.0,0.8,[0.  0.  0.2 0.6 1. ],[0.  0.6 0.9 1.  1. ],[1.71826958 0.71826958 0.71264166 0.67800153 0.67193661],0.93
45,PSYCH101,0.7083333333333334,0.8,0.6666666666666666,0.7083333333333334,0.8,0.6666666666666666,120,15,15,0.8,1.0,0.888888888888889,0.6666666666666666,1.0,0.8,[0.  0.2 0.2 0.2 0.4 0.8 0.8 1. ],[0.  0.2 0.8 0.9 0.9 0.9 1.  1. ],"[1.74463147 0.74463147 0.70939924 0.70710269 0.69838086 0.68059529
 0.67370245 0.66197552]",0.76
46,PUBLPOL105,0.7166666666666667,0.875,0.75,0.7166666666666667,0.875,0.75,60,8,8,0.875,1.0,0.9333333333333333,0.75,1.0,0.8571428571428571,[0.  0.  0.  0.5 1. ],[0.         0.5        0.83333333 1.         1.        ],[1.73288735 0.73288735 0.71950024 0.71357707 0.70718332],0.9583333333333334
47,CHEM135,0.79,0.7692307692307693,0.6153846153846154,0.79,0.7692307692307693,0.6153846153846154,100,13,13,0.7692307692307693,1.0,0.8695652173913044,0.6153846153846154,1.0,0.761904761904762,[0.  0.  0.  0.2 0.2 0.4 0.8 1. ],[0.    0.125 0.5   0.5   0.625 0.625 0.75  1.   ],"[1.81435936 0.81435936 0.78920672 0.78454677 0.76865902 0.76368084
 0.76180117 0.75994462]",0.6749999999999999
48,CS181,0.717391304347826,0.7391304347826086,0.9130434782608695,0.717391304347826,0.7391304347826086,0.9130434782608695,184,23,23,0.7391304347826086,1.0,0.85,0.9130434782608695,1.0,0.9545454545454545,[0.  0.  0.  0.  0.  0.  0.  0.5 1. ],"[0.         0.14285714 0.19047619 0.47619048 0.66666667 0.71428571
 0.85714286 0.9047619  1.        ]","[1.74293439 0.74293439 0.74074455 0.7390464  0.73683517 0.70094127
 0.69853886 0.69667746 0.69425573]",0.9166666666666666
49,CHEM176,0.7962962962962963,0.8571428571428571,0.7142857142857143,0.7962962962962963,0.8571428571428571,0.7142857142857143,54,7,7,0.8571428571428571,1.0,0.923076923076923,0.7142857142857143,1.0,0.8333333333333333,[0.  0.  0.  0.  0.5 1. ],[0.  0.2 0.4 0.8 0.8 1. ],[1.80444106 0.80444106 0.80123814 0.7999738  0.79361442 0.78896472],0.8500000000000001
50,EE364A,0.847457627118644,0.875,0.8571428571428571,0.847457627118644,0.875,0.8571428571428571,59,8,7,0.875,1.0,0.9333333333333333,0.8571428571428571,1.0,0.923076923076923,[0. 0. 0. 1. 1. 1.],[0.         0.16666667 0.33333333 0.5        0.83333333 1.        ],[1.85246192 0.85246192 0.85236106 0.84877435 0.84388704 0.84013308],0.41666666666666663
51,BIO115,0.9090909090909091,0.8,0.5,0.9090909090909091,0.8,0.5,33,5,4,0.8,1.0,0.888888888888889,0.5,1.0,0.6666666666666666,[0.  0.  0.5 1. ],[0.  0.5 0.5 1. ],[1.91014152 0.91014152 0.90866746 0.90806615],0.625
52,MATH116,0.875,0.8333333333333334,0.9090909090909091,0.875,0.8333333333333334,0.9090909090909091,88,12,11,0.8333333333333334,1.0,0.9090909090909091,0.9090909090909091,1.0,0.9523809523809523,[0. 0. 0. 0. 1. 1.],[0.  0.3 0.6 0.8 0.9 1. ],[1.87953867 0.87953867 0.87696861 0.8726882  0.87036607 0.86843823],0.8500000000000001
53,EE271,0.5625,0.0,0.5,0.5625,0.0,0.5,16,2,2,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,[0. 1. 1.],[0. 0. 1.],[1.5605518  0.5605518  0.55829441],0.0
54,ME101,0.9794952681388013,0.975,0.9746835443037974,0.9794952681388013,0.975,0.9746835443037974,634,80,79,0.975,1.0,0.9873417721518987,0.9746835443037974,1.0,0.9871794871794872,[0.  0.  0.  0.  0.5 0.5 0.5 1. ],"[0.         0.19480519 0.55844156 0.63636364 0.88311688 0.90909091
 0.93506494 1.        ]","[1.9801509  0.9801509  0.97986883 0.97944643 0.97915457 0.97874295
 0.97832203 0.97798964]",0.8636363636363635
