,course_name,train_score,test_score,dev_score,train_groundtruth,test_groundtruth,dev_groundtruth,train_size,test_size,dev_size,test_precision,test_recall,test_f1_score,dev_precision,dev_recall,dev_f1_score,dev_fpr,dev_tpr,dev_threshold,dev_auc
0,MATH205B,0.9,1.0,0.6666666666666666,0.9,1.0,0.6666666666666666,20,3,3,1.0,1.0,1.0,0.6666666666666666,1.0,0.8,[0. 0. 1.],[0. 1. 1.],[1.91480403 0.91480403 0.85766363],1.0
1,CHEM185,0.7741935483870968,1.0,0.75,0.6774193548387096,1.0,0.75,31,4,4,1.0,1.0,1.0,0.75,1.0,0.8571428571428571,[0. 0. 0. 1.],[0.         0.33333333 1.         1.        ],[1.88668669 0.88668669 0.80074831 0.62780387],1.0
2,CEE177,0.5757575757575758,0.2,0.5,0.5757575757575758,0.2,0.5,33,5,4,0.2,1.0,0.33333333333333337,0.5,1.0,0.6666666666666666,[0.  0.5 1. ],[0.  0.5 1. ],[1.63618826 0.63618826 0.52539866],0.5
3,ECON155,0.7294117647058823,0.7272727272727273,0.8181818181818182,0.611764705882353,0.45454545454545453,0.45454545454545453,85,11,11,0.6666666666666666,0.8,0.7272727272727272,1.0,0.6,0.7499999999999999,[0.         0.         0.33333333 1.        ],[0.  0.6 0.6 1. ],[1.65891012 0.65891012 0.49979025 0.29583997],0.7333333333333334
4,EARTHSYS111,0.6666666666666666,0.6842105263157895,0.5555555555555556,0.6326530612244898,0.6842105263157895,0.6111111111111112,147,19,18,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.6,0.8181818181818182,0.6923076923076923,[0.         0.85714286 1.        ],[0.         0.81818182 1.        ],[1.69823762 0.69823762 0.46309084],0.48051948051948057
5,PHYSICS262,0.8125,0.7777777777777778,0.75,0.8125,0.7777777777777778,0.75,64,9,8,0.7777777777777778,1.0,0.8750000000000001,0.75,1.0,0.8571428571428571,[0.  0.5 1. ],[0. 1. 1.],[1.90542413 0.90542413 0.52905639],0.75
6,EE108,0.6772727272727272,0.7857142857142857,0.7777777777777778,0.6772727272727272,0.7857142857142857,0.7777777777777778,220,28,27,0.7857142857142857,1.0,0.88,0.7777777777777778,1.0,0.8750000000000001,[0.         0.16666667 1.        ],[0.        0.0952381 1.       ],[1.67904359 0.67904359 0.67671074],0.4642857142857143
7,CS227B,0.8562874251497006,0.8571428571428571,0.9523809523809523,0.8562874251497006,0.8571428571428571,0.9523809523809523,167,21,21,0.8571428571428571,1.0,0.923076923076923,0.9523809523809523,1.0,0.975609756097561,[0. 0. 0. 0. 1.],[0.   0.15 0.25 0.7  1.  ],[1.95379064 0.95379064 0.93150797 0.85562757 0.79612747],0.85
8,MATH146,0.7142857142857143,0.75,0.75,0.7142857142857143,0.75,0.75,28,4,4,0.75,1.0,0.8571428571428571,0.75,1.0,0.8571428571428571,[0. 0. 0. 1.],[0.         0.33333333 1.         1.        ],[1.80214418 0.80214418 0.68618549 0.62676276],1.0
9,MATH51H,0.75,1.0,0.6666666666666666,0.75,1.0,0.6666666666666666,24,4,3,1.0,1.0,1.0,0.6666666666666666,1.0,0.8,[0. 1.],[0. 1.],[1.79163897 0.79163897],0.5
