,course_name,train_score,test_score,dev_score,train_groundtruth,test_groundtruth,dev_groundtruth,train_size,test_size,dev_size,test_precision,test_recall,test_f1_score,dev_precision,dev_recall,dev_f1_score,dev_fpr,dev_tpr,dev_threshold,dev_auc
0,MATH205B,1.0,1.0,0.6666666666666666,0.9,1.0,0.6666666666666666,20,3,3,1.0,1.0,1.0,0.6666666666666666,1.0,0.8,[0. 0. 1. 1.],[0.  0.5 0.5 1. ],[1.96339541 0.96339541 0.89423361 0.82174001],0.5
1,CEE177,1.0,0.8,0.5,0.5757575757575758,0.2,0.5,33,5,4,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,[0.  0.5 0.5 1. ],[0. 0. 1. 1.],[1.93265671 0.93265671 0.92157454 0.54024703],0.5
2,MATH146,1.0,1.0,0.75,0.7142857142857143,0.75,0.75,28,4,4,1.0,1.0,1.0,1.0,0.6666666666666666,0.8,[0. 0. 0. 1.],[0.         0.33333333 1.         1.        ],[1.87093409 0.87093409 0.42396523 0.33645935],1.0
3,CHEM185,0.967741935483871,0.75,1.0,0.6774193548387096,1.0,0.75,31,4,4,1.0,0.75,0.8571428571428571,1.0,1.0,1.0,[0. 0. 0. 1.],[0.         0.33333333 1.         1.        ],[1.83860852 0.83860852 0.76085339 0.36230305],1.0
4,ECON155,0.9294117647058824,0.6363636363636364,0.5454545454545454,0.611764705882353,0.45454545454545453,0.45454545454545453,85,11,11,0.6,0.6,0.6,0.5,0.2,0.28571428571428575,"[0.         0.16666667 0.16666667 0.33333333 0.33333333 0.5
 0.83333333 1.        ]",[0.  0.  0.2 0.2 1.  1.  1.  1. ],"[1.92356076 0.92356076 0.90143367 0.42555872 0.19345035 0.19132371
 0.12226389 0.11555796]",0.7000000000000001
5,PHYSICS262,0.9375,0.7777777777777778,0.75,0.8125,0.7777777777777778,0.75,64,9,8,0.7777777777777778,1.0,0.8750000000000001,0.75,1.0,0.8571428571428571,[0.  0.  0.5 0.5 1.  1. ],[0.         0.16666667 0.16666667 0.83333333 0.83333333 1.        ],[1.98984088 0.98984088 0.98507199 0.88222644 0.72474134 0.71345557],0.5
6,IPS207,0.8666666666666667,1.0,0.5,0.8,1.0,0.5,15,2,2,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,[0. 1. 1.],[0. 0. 1.],[1.7941124  0.7941124  0.73790788],0.0
7,EARTHSYS111,0.7482993197278912,0.6842105263157895,0.6666666666666666,0.6326530612244898,0.6842105263157895,0.6111111111111112,147,19,18,0.7333333333333333,0.8461538461538461,0.7857142857142856,0.8571428571428571,0.5454545454545454,0.6666666666666665,"[0.         0.         0.         0.14285714 0.14285714 0.42857143
 0.42857143 0.57142857 0.57142857 0.71428571 0.71428571 1.        ]","[0.         0.09090909 0.36363636 0.36363636 0.54545455 0.63636364
 0.81818182 0.81818182 0.90909091 0.90909091 1.         1.        ]","[1.98577115 0.98577115 0.74625748 0.64735728 0.56305995 0.46921222
 0.43739895 0.42750544 0.41629402 0.35882712 0.24611492 0.21679324]",0.7532467532467533
8,AA100,0.8653846153846154,0.8571428571428571,0.9230769230769231,0.8461538461538461,0.8571428571428571,0.9230769230769231,104,14,13,0.8571428571428571,1.0,0.923076923076923,0.9230769230769231,1.0,0.9600000000000001,[0. 0. 0. 0. 0. 1. 1.],"[0.         0.08333333 0.33333333 0.58333333 0.83333333 0.91666667
 1.        ]","[1.98708524 0.98708524 0.91463135 0.87401532 0.76724625 0.68657821
 0.50278925]",0.875
9,MATH51H,0.7916666666666666,1.0,0.6666666666666666,0.75,1.0,0.6666666666666666,24,4,3,1.0,1.0,1.0,0.6666666666666666,1.0,0.8,[0. 1.],[0. 1.],[1.7694786 0.7694786],0.5
