,course_name,train_score,test_score,dev_score,train_groundtruth,test_groundtruth,dev_groundtruth,train_size,test_size,dev_size,test_precision,test_recall,test_f1_score,dev_precision,dev_recall,dev_f1_score,dev_fpr,dev_tpr,dev_threshold,dev_auc
0,CHEM185,0.967741935483871,0.75,1.0,0.6774193548387096,1.0,0.75,31,4,4,1.0,0.75,0.8571428571428571,1.0,1.0,1.0,[0. 0. 0. 1.],[0.         0.33333333 1.         1.        ],[1.87811888 0.87811888 0.72957388 0.44912642],1.0
1,CEE177,1.0,0.8,0.5,0.5757575757575758,0.2,0.5,33,5,4,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,[0.  0.5 0.5 1. ],[0. 0. 1. 1.],[1.93725305 0.93725305 0.91932877 0.52808732],0.5
2,MATH205B,1.0,1.0,0.6666666666666666,0.9,1.0,0.6666666666666666,20,3,3,1.0,1.0,1.0,0.6666666666666666,1.0,0.8,[0. 0. 1. 1.],[0.  0.5 0.5 1. ],[1.96522038 0.96522038 0.89760743 0.83063047],0.5
3,MATH146,1.0,1.0,0.75,0.7142857142857143,0.75,0.75,28,4,4,1.0,1.0,1.0,1.0,0.6666666666666666,0.8,[0. 0. 0. 1.],[0.         0.33333333 1.         1.        ],[1.87257701 0.87257701 0.42742417 0.33310296],1.0
4,IPS207,0.8666666666666667,1.0,0.5,0.8,1.0,0.5,15,2,2,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,[0. 1. 1.],[0. 0. 1.],[1.78255584 0.78255584 0.72530712],0.0
5,ECON155,0.9529411764705882,0.7272727272727273,0.5454545454545454,0.611764705882353,0.45454545454545453,0.45454545454545453,85,11,11,0.6666666666666666,0.8,0.7272727272727272,0.5,0.2,0.28571428571428575,"[0.         0.16666667 0.16666667 0.33333333 0.33333333 0.66666667
 1.        ]",[0.  0.  0.2 0.2 1.  1.  1. ],"[1.94239729 0.94239729 0.87604041 0.35517302 0.1490311  0.1405354
 0.09331738]",0.7
6,ECON126,0.9349593495934959,0.9375,0.8666666666666667,0.6666666666666666,0.6875,0.7333333333333333,123,16,15,0.9166666666666666,1.0,0.9565217391304348,1.0,0.8181818181818182,0.9,[0.  0.  0.  0.5 0.5 1.  1. ],"[0.         0.09090909 0.81818182 0.81818182 0.90909091 0.90909091
 1.        ]","[1.99406211 0.99406211 0.61652956 0.35130139 0.27564176 0.20158808
 0.18550657]",0.8636363636363636
7,AA100,0.8846153846153846,0.8571428571428571,0.9230769230769231,0.8461538461538461,0.8571428571428571,0.9230769230769231,104,14,13,0.8571428571428571,1.0,0.923076923076923,0.9230769230769231,1.0,0.9600000000000001,[0. 0. 0. 0. 0. 1. 1.],"[0.         0.08333333 0.41666667 0.58333333 0.91666667 0.91666667
 1.        ]","[1.98930804 0.98930804 0.90336742 0.89917169 0.64739282 0.54033295
 0.53384403]",0.9166666666666666
8,PHYSICS262,0.953125,0.7777777777777778,0.75,0.8125,0.7777777777777778,0.75,64,9,8,0.7777777777777778,1.0,0.8750000000000001,0.75,1.0,0.8571428571428571,[0.  0.  0.  0.5 0.5 1.  1. ],"[0.         0.16666667 0.5        0.5        0.83333333 0.83333333
 1.        ]","[1.99043925 0.99043925 0.97460978 0.96964978 0.89677441 0.76428165
 0.74824371]",0.6666666666666667
9,EARTHSYS111,0.8095238095238095,0.7894736842105263,0.6111111111111112,0.6326530612244898,0.6842105263157895,0.6111111111111112,147,19,18,0.8,0.9230769230769231,0.8571428571428571,0.6666666666666666,0.7272727272727273,0.6956521739130435,"[0.         0.         0.         0.14285714 0.14285714 0.42857143
 0.57142857 0.57142857 0.71428571 0.71428571 1.        ]","[0.         0.09090909 0.36363636 0.36363636 0.54545455 0.54545455
 0.54545455 0.72727273 0.72727273 1.         1.        ]","[1.98747432 0.98747432 0.79257838 0.68159259 0.59589681 0.55356075
 0.54231394 0.50374197 0.43583424 0.28146589 0.13762477]",0.6753246753246753
10,EE101A,0.9336734693877551,0.76,0.72,0.6530612244897959,0.28,0.8,196,25,25,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9333333333333333,0.7,0.8,[0.  0.  0.  0.2 0.2 0.4 0.4 0.6 0.6 0.8 0.8 1. ],[0.   0.05 0.4  0.4  0.7  0.7  0.8  0.8  0.9  0.9  1.   1.  ],"[1.99651175 0.99651175 0.96932447 0.96309474 0.77874719 0.49452808
 0.40747972 0.39058268 0.27150336 0.24991302 0.19747653 0.09482789]",0.76
11,CS227B,0.9161676646706587,0.8095238095238095,0.9523809523809523,0.8562874251497006,0.8571428571428571,0.9523809523809523,167,21,21,0.85,0.9444444444444444,0.8947368421052632,0.9523809523809523,1.0,0.975609756097561,[0. 0. 0. 1. 1.],[0.   0.05 0.4  0.4  1.  ],[1.99526926 0.99526926 0.9714986  0.97095691 0.68034163],0.4
12,CS248,0.9215686274509803,0.9230769230769231,0.8461538461538461,0.8627450980392157,0.9230769230769231,0.8461538461538461,102,13,13,0.9230769230769231,1.0,0.9600000000000001,0.8461538461538461,1.0,0.9166666666666666,[0. 0. 0. 1. 1.],[0.         0.09090909 0.63636364 0.63636364 1.        ],[1.98838286 0.98838286 0.8754345  0.84557859 0.58494756],0.6363636363636364
