,course_name,train_score,test_score,dev_score,train_groundtruth,test_groundtruth,dev_groundtruth,train_size,test_size,dev_size,test_precision,test_recall,test_f1_score,dev_precision,dev_recall,dev_f1_score,dev_fpr,dev_tpr,dev_threshold,dev_auc
0,CEE177,0.8181818181818182,0.8,0.75,0.5757575757575758,0.2,0.5,33,5,4,0.0,0.0,0.0,0.6666666666666666,1.0,0.8,[0.  0.5 0.5 1. ],[0.  0.5 1.  1. ],[1.86946816 0.86946816 0.79738039 0.32239769],0.625
1,CHEM185,0.8387096774193549,1.0,0.75,0.6774193548387096,1.0,0.75,31,4,4,1.0,1.0,1.0,0.75,1.0,0.8571428571428571,[0. 0. 0. 1.],[0.         0.33333333 1.         1.        ],[1.93229418 0.93229418 0.68286894 0.55513408],1.0
2,MATH205B,0.9,1.0,0.6666666666666666,0.9,1.0,0.6666666666666666,20,3,3,1.0,1.0,1.0,0.6666666666666666,1.0,0.8,[0. 0. 1.],[0. 1. 1.],[1.92541642 0.92541642 0.67466968],1.0
3,MATH146,0.8571428571428571,1.0,1.0,0.7142857142857143,0.75,0.75,28,4,4,1.0,1.0,1.0,1.0,1.0,1.0,[0. 0. 0. 1.],[0.         0.33333333 1.         1.        ],[1.84324082 0.84324082 0.78778997 0.42643261],1.0
4,IPS207,0.8,1.0,0.5,0.8,1.0,0.5,15,2,2,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,[0. 1. 1.],[0. 0. 1.],[1.80227698 0.80227698 0.71743043],0.0
5,ECON155,0.8235294117647058,0.8181818181818182,0.5454545454545454,0.611764705882353,0.45454545454545453,0.45454545454545453,85,11,11,0.8,0.8,0.8000000000000002,0.5,0.2,0.28571428571428575,[0.         0.         0.16666667 0.16666667 0.33333333 1.        ],[0.  0.2 0.2 0.6 0.6 1. ],[1.80155776 0.80155776 0.79391191 0.30514282 0.29518844 0.16668484],0.6666666666666667
6,EE101A,0.8163265306122449,0.76,0.72,0.6530612244897959,0.28,0.8,196,25,25,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.8823529411764706,0.75,0.8108108108108107,[0.  0.2 0.2 0.2 0.4 0.4 1. ],[0.   0.4  0.7  0.75 0.75 0.85 1.  ],"[1.9537163  0.9537163  0.79875502 0.70952635 0.52006582 0.44350419
 0.31995897]",0.7450000000000001
7,PHYSICS262,0.828125,0.7777777777777778,0.75,0.8125,0.7777777777777778,0.75,64,9,8,0.7777777777777778,1.0,0.8750000000000001,0.75,1.0,0.8571428571428571,[0.  0.5 1. ],[0. 1. 1.],[1.92635422 0.92635422 0.65042941],0.75
8,CS227B,0.8562874251497006,0.8571428571428571,0.9523809523809523,0.8562874251497006,0.8571428571428571,0.9523809523809523,167,21,21,0.8571428571428571,1.0,0.923076923076923,0.9523809523809523,1.0,0.975609756097561,[0. 0. 0. 0. 0. 1. 1.],[0.   0.05 0.15 0.6  0.7  0.85 1.  ],"[1.97771906 0.97771906 0.97440606 0.92543931 0.92346152 0.9150283
 0.74752989]",0.7749999999999999
9,EARTHSYS111,0.7414965986394558,0.7894736842105263,0.5555555555555556,0.6326530612244898,0.6842105263157895,0.6111111111111112,147,19,18,0.8,0.9230769230769231,0.8571428571428571,0.6,0.8181818181818182,0.6923076923076923,[0.         0.14285714 0.85714286 0.85714286 1.        ],[0.         0.36363636 0.81818182 1.         1.        ],[1.82312469 0.82312469 0.60094357 0.40089338 0.19079321],0.5909090909090909
10,AA100,0.8461538461538461,0.8571428571428571,0.9230769230769231,0.8461538461538461,0.8571428571428571,0.9230769230769231,104,14,13,0.8571428571428571,1.0,0.923076923076923,0.9230769230769231,1.0,0.9600000000000001,[0. 0. 0. 0. 0. 1. 1.],"[0.         0.16666667 0.25       0.75       0.91666667 0.91666667
 1.        ]","[1.94309274 0.94309274 0.92847562 0.84024069 0.78621747 0.70800864
 0.59456567]",0.9166666666666666
11,CS248,0.8627450980392157,0.9230769230769231,0.8461538461538461,0.8627450980392157,0.9230769230769231,0.8461538461538461,102,13,13,0.9230769230769231,1.0,0.9600000000000001,0.8461538461538461,1.0,0.9166666666666666,[0. 0. 0. 1. 1. 1.],[0.         0.09090909 0.27272727 0.54545455 0.72727273 1.        ],[1.91149328 0.91149328 0.90101861 0.87024907 0.84721421 0.80336903],0.40909090909090906
12,ECON126,0.7886178861788617,0.875,0.9333333333333333,0.6666666666666666,0.6875,0.7333333333333333,123,16,15,0.8461538461538461,1.0,0.9166666666666666,1.0,0.9090909090909091,0.9523809523809523,[0.   0.   0.   0.   0.   0.25 0.25 0.5  1.  ],"[0.         0.09090909 0.45454545 0.72727273 0.90909091 0.90909091
 1.         1.         1.        ]","[1.95456856 0.95456856 0.92043109 0.91631278 0.6841035  0.43828458
 0.37919582 0.32423844 0.31231718]",0.9772727272727273
13,ME216B,0.9,1.0,0.8421052631578947,0.9,1.0,0.8421052631578947,150,19,19,1.0,1.0,1.0,0.8421052631578947,1.0,0.9142857142857143,"[0.         0.         0.33333333 0.66666667 0.66666667 1.
 1.        ]",[0.     0.0625 0.25   0.6875 0.875  0.875  1.    ],"[1.96983311 0.96983311 0.95736497 0.91900631 0.88795804 0.84105785
 0.65095523]",0.5
14,PHYSICS65,0.8173076923076923,0.7142857142857143,0.6153846153846154,0.625,0.7857142857142857,0.8461538461538461,104,14,13,0.7692307692307693,0.9090909090909091,0.8333333333333333,0.875,0.6363636363636364,0.7368421052631579,[0.  0.5 0.5 1.  1.  1. ],[0.         0.45454545 0.63636364 0.63636364 0.81818182 1.        ],[1.85521437 0.85521437 0.50824808 0.41418708 0.18017446 0.15662435],0.4318181818181818
15,PHYSICS61,0.8264840182648402,0.8928571428571429,0.7777777777777778,0.8082191780821918,0.8214285714285714,0.7407407407407407,219,28,27,0.8846153846153846,1.0,0.9387755102040816,0.7692307692307693,1.0,0.8695652173913044,"[0.         0.         0.         0.28571429 0.42857143 0.71428571
 0.85714286 0.85714286 1.        ]",[0.   0.1  0.2  0.25 0.45 0.95 0.95 1.   1.  ],"[1.93730433 0.93730433 0.91484885 0.91210082 0.81094391 0.80555532
 0.55992957 0.55134469 0.46032105]",0.5928571428571427
16,MATH51H,0.75,1.0,0.6666666666666666,0.75,1.0,0.6666666666666666,24,4,3,1.0,1.0,1.0,0.6666666666666666,1.0,0.8,[0. 1.],[0. 1.],[1.80137894 0.80137894],0.5
17,PHIL180,0.8166666666666667,0.875,0.8571428571428571,0.8166666666666667,0.875,0.8571428571428571,60,8,7,0.875,1.0,0.9333333333333333,0.8571428571428571,1.0,0.923076923076923,[0. 0. 0. 1.],[0.         0.33333333 0.66666667 1.        ],[1.92997186 0.92997186 0.91077752 0.74906683],0.8333333333333333
18,EE134,0.8214285714285714,0.75,0.75,0.75,0.75,0.75,28,4,4,0.75,1.0,0.8571428571428571,0.75,1.0,0.8571428571428571,[0. 0. 1.],[0.         0.33333333 1.        ],[1.74060896 0.74060896 0.67045079],0.6666666666666666
19,CHEM181,0.851063829787234,0.8888888888888888,0.7777777777777778,0.723404255319149,0.7777777777777778,0.6666666666666666,141,18,18,0.875,1.0,0.9333333333333333,0.75,1.0,0.8571428571428571,"[0.         0.         0.         0.         0.         0.16666667
 0.16666667 0.5        0.5        1.        ]","[0.         0.16666667 0.25       0.58333333 0.66666667 0.66666667
 0.83333333 0.83333333 1.         1.        ]","[1.97934189 0.97934189 0.95807282 0.9299634  0.91198956 0.87527119
 0.69842978 0.64863539 0.53520748 0.25510607]",0.888888888888889
20,ECON144,0.95,1.0,0.3333333333333333,0.95,1.0,0.3333333333333333,20,3,3,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,[0. 0. 1.],[0. 1. 1.],[1.96961844 0.96961844 0.92268106],1.0
21,BIO144,0.8048780487804879,0.6666666666666666,0.6,0.8048780487804879,0.6666666666666666,0.6,41,6,5,0.6666666666666666,1.0,0.8,0.6,1.0,0.7499999999999999,[0. 0. 0. 1.],[0.         0.33333333 1.         1.        ],[1.9400966  0.9400966  0.86533397 0.78830922],1.0
22,MATH104,0.748792270531401,0.75,0.8076923076923077,0.7028985507246377,0.7307692307692307,0.6730769230769231,414,52,52,0.8378378378378378,0.8157894736842105,0.8266666666666665,0.8378378378378378,0.8857142857142857,0.8611111111111112,"[0.         0.         0.         0.05882353 0.05882353 0.05882353
 0.05882353 0.17647059 0.17647059 0.17647059 0.17647059 0.17647059
 0.23529412 0.23529412 0.29411765 0.35294118 0.35294118 0.41176471
 0.76470588 0.88235294 1.        ]","[0.         0.05714286 0.08571429 0.14285714 0.2        0.4
 0.42857143 0.42857143 0.48571429 0.54285714 0.57142857 0.62857143
 0.8        0.82857143 0.82857143 0.85714286 0.88571429 0.88571429
 0.97142857 0.97142857 1.        ]","[1.94279259 0.94279259 0.93326796 0.92153772 0.89661428 0.88774949
 0.88037681 0.86073664 0.83063134 0.8062699  0.747857   0.6588878
 0.62109208 0.60401743 0.56159833 0.53878415 0.50408438 0.48988244
 0.46311269 0.40631673 0.38070545]",0.807563025210084
23,PHIL181,0.8541666666666666,1.0,0.8333333333333334,0.8541666666666666,1.0,0.8333333333333334,48,6,6,1.0,1.0,1.0,0.8333333333333334,1.0,0.9090909090909091,[0. 0. 1.],[0.  0.4 1. ],[1.84903812 0.84903812 0.75412293],0.7
24,CS377U,0.8627450980392157,0.7142857142857143,0.3333333333333333,0.8627450980392157,0.7142857142857143,0.3333333333333333,51,7,6,0.7142857142857143,1.0,0.8333333333333333,0.3333333333333333,1.0,0.5,[0.   0.25 0.5  1.  ],[0. 0. 1. 1.],[1.92659498 0.92659498 0.92518465 0.78612145],0.625
25,EE108,0.7363636363636363,0.7142857142857143,0.7407407407407407,0.6772727272727272,0.7857142857142857,0.7777777777777778,220,28,27,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.9375,0.7142857142857143,0.8108108108108109,"[0.         0.16666667 0.16666667 0.16666667 0.5        0.83333333
 1.        ]","[0.         0.04761905 0.66666667 0.71428571 0.71428571 1.
 1.        ]","[1.90120597 0.90120597 0.87338086 0.51546011 0.44735779 0.44580165
 0.36387287]",0.6944444444444445
26,CS276,0.8611111111111112,1.0,0.4,0.5277777777777778,0.6,0.8,36,5,5,1.0,1.0,1.0,1.0,0.25,0.4,[0. 0. 0. 1.],[0.   0.25 1.   1.  ],[1.87847686 0.87847686 0.33849956 0.26161708],1.0
27,EE107,0.7910447761194029,0.6666666666666666,0.875,0.7910447761194029,0.6666666666666666,0.875,67,9,8,0.6666666666666666,1.0,0.8,0.875,1.0,0.9333333333333333,[0. 0. 0. 0. 1.],[0.         0.14285714 0.57142857 0.85714286 1.        ],[1.95742829 0.95742829 0.88473519 0.87085305 0.58818014],0.9285714285714286
28,ECON52,0.7645739910313901,0.6607142857142857,0.7321428571428571,0.7107623318385651,0.75,0.7142857142857143,446,56,56,0.8285714285714286,0.6904761904761905,0.7532467532467533,0.8048780487804879,0.825,0.8148148148148149,[0.     0.0625 0.0625 0.0625 0.375  0.5    0.6875 0.9375 1.    ],[0.    0.2   0.55  0.575 0.7   0.825 0.9   1.    1.   ],"[1.91565287 0.91565287 0.91300421 0.76343669 0.71377726 0.70681907
 0.42573312 0.41748717 0.23077321]",0.7625000000000001
29,CEE181,0.6875,0.8,0.75,0.5625,0.6,0.25,32,5,4,0.75,1.0,0.8571428571428571,0.5,1.0,0.6666666666666666,[0.         0.         0.33333333 1.        ],[0. 1. 1. 1.],[1.77572566 0.77572566 0.56947415 0.39261739],1.0
30,PHYSICS105,0.8064516129032258,0.75,0.8666666666666667,0.7741935483870968,0.75,0.8,124,16,15,1.0,0.6666666666666666,0.8,0.8571428571428571,1.0,0.923076923076923,"[0.         0.33333333 0.33333333 0.33333333 0.33333333 0.66666667
 1.        ]","[0.         0.33333333 0.41666667 0.58333333 0.83333333 1.
 1.        ]","[1.9488901  0.9488901  0.89629122 0.87417525 0.56196505 0.54354633
 0.32436512]",0.6944444444444445
31,PSYCH30,0.7127192982456141,0.7192982456140351,0.7543859649122807,0.618421052631579,0.49122807017543857,0.49122807017543857,456,57,57,0.8333333333333334,0.5357142857142857,0.6521739130434783,0.9375,0.5357142857142857,0.6818181818181818,"[0.         0.03448276 0.03448276 0.03448276 0.13793103 0.51724138
 0.96551724 1.         1.        ]","[0.         0.28571429 0.46428571 0.53571429 0.53571429 0.78571429
 0.96428571 0.96428571 1.        ]","[1.91974887 0.91974887 0.88237899 0.60231046 0.49782891 0.49437643
 0.39024535 0.18028988 0.12584898]",0.7364532019704433
32,ME216A,0.875,0.9032258064516129,0.8666666666666667,0.8708333333333333,0.9032258064516129,0.8666666666666667,240,31,30,0.9032258064516129,1.0,0.9491525423728813,0.8666666666666667,1.0,0.9285714285714286,[0.   0.   0.   0.   0.25 0.5  0.5  0.5  0.5  1.  ],"[0.         0.03846154 0.26923077 0.34615385 0.57692308 0.57692308
 0.61538462 0.73076923 0.96153846 1.        ]","[1.96894995 0.96894995 0.93056207 0.91673183 0.91104541 0.85517008
 0.84628782 0.84598589 0.82541749 0.74701769]",0.75
33,ME112,0.8560157790927022,0.78125,0.9365079365079365,0.8560157790927022,0.78125,0.9365079365079365,507,64,63,0.78125,1.0,0.8771929824561403,0.9365079365079365,1.0,0.9672131147540983,"[0.   0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 1.   1.   1.   1.  ]","[0.         0.11864407 0.18644068 0.20338983 0.25423729 0.28813559
 0.3220339  0.3559322  0.37288136 0.40677966 0.44067797 0.52542373
 0.55932203 0.6440678  0.6779661  0.79661017 0.81355932 0.89830508
 0.93220339 0.98305085 1.        ]","[1.98809937 0.98809937 0.98595915 0.96425784 0.96038329 0.95458818
 0.93375948 0.92324332 0.92261211 0.91251033 0.90754969 0.89817696
 0.89562139 0.82953904 0.80028273 0.78263969 0.78263969 0.7527937
 0.6577729  0.63330898 0.54613564]",0.6567796610169492
34,MATH109,0.8163265306122449,0.8571428571428571,0.6666666666666666,0.7551020408163265,0.42857142857142855,0.3333333333333333,49,7,6,0.75,1.0,0.8571428571428571,0.5,0.5,0.5,[0.   0.   0.25 0.75 1.  ],[0.  0.5 0.5 1.  1. ],[1.89869709 0.89869709 0.89404044 0.47076785 0.45829725],0.75
35,MATH131P,0.7843137254901961,0.8461538461538461,0.7692307692307693,0.5686274509803921,0.6923076923076923,0.6923076923076923,102,13,13,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.875,0.7777777777777778,0.823529411764706,[0.   0.   0.   0.25 0.5  0.75 1.  ],"[0.         0.22222222 0.55555556 0.77777778 0.88888889 0.88888889
 1.        ]","[1.79062827 0.79062827 0.77471255 0.70503009 0.33776806 0.2440493
 0.22719684]",0.8333333333333333
36,CEE166B,0.75,0.5,0.5,0.75,0.5,0.5,16,2,2,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,[0. 0. 1.],[0. 1. 1.],[1.87755956 0.87755956 0.80280124],1.0
37,CS448B,0.7068965517241379,0.25,0.7142857142857143,0.6724137931034483,0.5,0.7142857142857143,58,8,7,0.3333333333333333,0.5,0.4,0.7142857142857143,1.0,0.8333333333333333,[0.  0.  0.5 0.5 1. ],[0.  0.2 0.4 1.  1. ],[1.79910627 0.79910627 0.72268459 0.56508249 0.54186142],0.65
38,PUBLPOL105,0.75,0.875,0.75,0.7166666666666667,0.875,0.75,60,8,8,0.875,1.0,0.9333333333333333,0.75,1.0,0.8571428571428571,[0.  0.  0.  0.5 1. ],[0.         0.5        0.83333333 1.         1.        ],[1.93379045 0.93379045 0.73208211 0.72356882 0.55346228],0.9583333333333334
39,ME70,0.7034700315457413,0.65,0.75,0.5993690851735016,0.55,0.575,317,40,40,0.6428571428571429,0.8181818181818182,0.7200000000000001,0.7407407407407407,0.8695652173913043,0.7999999999999999,"[0.         0.         0.         0.11764706 0.11764706 0.29411765
 0.41176471 0.41176471 0.41176471 0.52941176 0.70588235 0.82352941
 1.        ]","[0.         0.08695652 0.26086957 0.52173913 0.56521739 0.69565217
 0.7826087  0.86956522 0.91304348 0.95652174 0.95652174 1.
 1.        ]","[1.90484998 0.90484998 0.868417   0.7954186  0.67281601 0.64745894
 0.56035628 0.519679   0.49273425 0.42885518 0.40267172 0.28425
 0.14505457]",0.8145780051150895
40,BIO115,0.9090909090909091,0.8,0.5,0.9090909090909091,0.8,0.5,33,5,4,0.8,1.0,0.888888888888889,0.5,1.0,0.6666666666666666,[0.  0.  0.5 1. ],[0.  0.5 0.5 1. ],[1.95326726 0.95326726 0.91001568 0.86258918],0.625
41,CS194H,0.9047619047619048,0.875,0.75,0.9047619047619048,0.875,0.75,63,8,8,0.875,1.0,0.9333333333333333,0.75,1.0,0.8571428571428571,[0.  0.5 0.5 1.  1. ],[0.         0.         0.66666667 0.83333333 1.        ],[1.95487033 0.95487033 0.93922126 0.90089851 0.79272327],0.375
42,CS265,0.8205128205128205,0.8,1.0,0.6666666666666666,0.8,0.8,39,5,5,1.0,0.75,0.8571428571428571,1.0,1.0,1.0,[0. 0. 0. 1.],[0.   0.75 1.   1.  ],[1.80008328 0.80008328 0.67500737 0.1719059 ],1.0
43,PSYCH101,0.825,0.8,0.6666666666666666,0.7083333333333334,0.8,0.6666666666666666,120,15,15,0.8,1.0,0.888888888888889,0.6923076923076923,0.9,0.7826086956521738,[0.  0.2 0.2 0.2 0.4 0.8 0.8 1. ],[0.  0.2 0.8 0.9 0.9 0.9 1.  1. ],"[1.9683293  0.9683293  0.81520393 0.81102503 0.69318942 0.54730861
 0.18119632 0.10180061]",0.76
44,CS274,0.7950819672131147,0.6875,0.8,0.6967213114754098,0.5625,0.6666666666666666,122,16,15,0.6666666666666666,0.8888888888888888,0.761904761904762,0.7692307692307693,1.0,0.8695652173913044,[0.  0.  0.2 0.6 1. ],[0.  0.6 0.9 1.  1. ],[1.91708237 0.91708237 0.8208982  0.60977716 0.39304531],0.93
45,CS238,0.8932806324110671,0.875,0.875,0.8735177865612648,0.875,0.875,253,32,32,0.875,1.0,0.9333333333333333,0.875,1.0,0.9333333333333333,[0.  0.  0.  0.5 1. ],[0.         0.35714286 0.5        0.82142857 1.        ],[1.95784789 0.95784789 0.93715142 0.82075467 0.75029407],0.7857142857142857
46,ENGR15,0.7071823204419889,0.6739130434782609,0.7333333333333333,0.5331491712707183,0.6086956521739131,0.5777777777777777,362,46,45,0.8095238095238095,0.6071428571428571,0.6938775510204083,0.7916666666666666,0.7307692307692307,0.76,"[0.         0.05263158 0.10526316 0.15789474 0.15789474 0.15789474
 0.26315789 0.26315789 0.36842105 0.57894737 0.63157895 0.68421053
 0.89473684 1.        ]","[0.         0.03846154 0.23076923 0.34615385 0.46153846 0.53846154
 0.65384615 0.73076923 0.76923077 0.80769231 0.88461538 0.88461538
 1.         1.        ]","[1.87374949 0.87374949 0.86066519 0.83906615 0.82311502 0.72299658
 0.51833955 0.51505697 0.48992418 0.44773205 0.41981369 0.32470552
 0.28868898 0.26591274]",0.7257085020242915
47,CHEM135,0.83,0.7692307692307693,0.5384615384615384,0.79,0.7692307692307693,0.6153846153846154,100,13,13,0.8888888888888888,0.8,0.8421052631578948,0.6,0.75,0.6666666666666665,[0.  0.  0.  0.2 0.2 0.6 0.8 1. ],[0.    0.125 0.5   0.5   0.625 0.75  0.75  1.   ],"[1.97895852 0.97895852 0.86702249 0.77472539 0.67046462 0.53145341
 0.51764038 0.46322384]",0.7
48,CHEM176,0.7962962962962963,0.8571428571428571,0.7142857142857143,0.7962962962962963,0.8571428571428571,0.7142857142857143,54,7,7,0.8571428571428571,1.0,0.923076923076923,0.7142857142857143,1.0,0.8333333333333333,[0.  0.  0.  0.  0.5 1. ],[0.  0.2 0.4 0.8 0.8 1. ],[1.93612623 0.93612623 0.89867881 0.85281712 0.80744009 0.62374843],0.8500000000000001
49,MATH116,0.8863636363636364,0.8333333333333334,0.9090909090909091,0.875,0.8333333333333334,0.9090909090909091,88,12,11,0.8333333333333334,1.0,0.9090909090909091,0.9090909090909091,1.0,0.9523809523809523,[0. 0. 0. 0. 1. 1.],[0.  0.3 0.6 0.7 0.8 1. ],[1.960666   0.960666   0.92950232 0.91221287 0.83621686 0.73350877],0.75
50,EE364A,0.847457627118644,0.875,0.8571428571428571,0.847457627118644,0.875,0.8571428571428571,59,8,7,0.875,1.0,0.9333333333333333,0.8571428571428571,1.0,0.923076923076923,[0. 0. 0. 1. 1. 1.],[0.         0.16666667 0.33333333 0.5        0.83333333 1.        ],[1.96368042 0.96368042 0.95515816 0.880558   0.84638905 0.65600598],0.41666666666666663
51,MS&E121,0.8571428571428571,0.8888888888888888,0.8333333333333334,0.8432055749128919,0.9166666666666666,0.8055555555555556,287,36,36,0.9142857142857143,0.9696969696969697,0.9411764705882354,0.8285714285714286,1.0,0.90625,"[0.         0.         0.         0.         0.         0.
 0.         0.28571429 0.28571429 0.85714286 1.        ]","[0.         0.24137931 0.37931034 0.48275862 0.5862069  0.79310345
 0.82758621 0.93103448 1.         1.         1.        ]","[1.9851488  0.9851488  0.95656176 0.95228556 0.88867683 0.86886085
 0.80344774 0.75458871 0.72603331 0.55154192 0.27531959]",0.9655172413793104
52,ME216C,0.9379310344827586,0.8947368421052632,0.9444444444444444,0.9172413793103448,0.9473684210526315,0.9444444444444444,145,19,18,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,1.0,0.9714285714285714,[0. 0. 0. 0. 1. 1.],[0.         0.05882353 0.11764706 0.52941176 0.88235294 1.        ],[1.97463552 0.97463552 0.9726415  0.95693722 0.95361806 0.92603728],0.7058823529411764
53,ME101,0.9794952681388013,0.975,0.9746835443037974,0.9794952681388013,0.975,0.9746835443037974,634,80,79,0.975,1.0,0.9873417721518987,0.9746835443037974,1.0,0.9871794871794872,[0.  0.  0.  0.  0.5 0.5 0.5 1. ],"[0.         0.19480519 0.55844156 0.63636364 0.88311688 0.90909091
 0.93506494 1.        ]","[1.99465481 0.99465481 0.98952891 0.98854768 0.9776965  0.95373696
 0.91658402 0.9053289 ]",0.8636363636363635
54,EE271,0.6875,1.0,0.5,0.5625,0.0,0.5,16,2,2,0.0,0.0,0.0,0.0,0.0,0.0,[0. 1. 1.],[0. 0. 1.],[1.49575554 0.49575554 0.42892764],0.0
55,CS181,0.7336956521739131,0.782608695652174,0.9130434782608695,0.717391304347826,0.7391304347826086,0.9130434782608695,184,23,23,0.7727272727272727,1.0,0.8717948717948718,0.9130434782608695,1.0,0.9545454545454545,[0.  0.  0.  0.  0.  0.  0.  0.5 1. ],"[0.         0.04761905 0.19047619 0.38095238 0.66666667 0.80952381
 0.85714286 0.95238095 1.        ]","[1.89445009 0.89445009 0.88153585 0.86199716 0.84579678 0.66266671
 0.63302841 0.59149601 0.55975883]",0.9404761904761905
56,PHIL150,0.7301587301587301,0.75,0.75,0.7063492063492064,0.6875,0.65625,252,32,32,0.7333333333333333,1.0,0.846153846153846,0.7241379310344828,1.0,0.8400000000000001,"[0.         0.18181818 0.18181818 0.18181818 0.36363636 0.72727273
 1.        ]","[0.         0.04761905 0.52380952 0.61904762 0.80952381 1.
 1.        ]","[1.90736677 0.90736677 0.89561797 0.76278046 0.5633635  0.53055725
 0.33010336]",0.7359307359307359
57,STATS110,0.7540983606557377,0.8695652173913043,0.8695652173913043,0.6994535519125683,0.7391304347826086,0.8695652173913043,183,23,23,0.85,1.0,0.9189189189189189,0.8695652173913043,1.0,0.9302325581395349,[0. 0. 0. 0. 0. 1.],[0.   0.15 0.45 0.5  0.6  1.  ],[1.9322737  0.9322737  0.91846323 0.69190553 0.67179046 0.62616282],0.8
58,ENGR30,0.7683823529411765,0.8,0.7647058823529411,0.7205882352941176,0.7714285714285715,0.7647058823529411,272,35,34,0.7941176470588235,1.0,0.8852459016393442,0.7647058823529411,1.0,0.8666666666666666,[0.   0.   0.   0.25 0.25 1.  ],[0.         0.11538462 0.46153846 0.73076923 0.76923077 1.        ],[1.94165751 0.94165751 0.91228826 0.70227099 0.63407344 0.60317811],0.8125
59,EE155,0.76,0.75,0.3333333333333333,0.76,0.75,0.3333333333333333,25,4,3,0.75,1.0,0.8571428571428571,0.3333333333333333,1.0,0.5,[0. 0. 1.],[0. 1. 1.],[1.91054894 0.91054894 0.64400105],1.0
60,HUMBIO3A,0.7162426614481409,0.75,0.84375,0.5185909980430529,0.5625,0.5,511,64,64,0.9166666666666666,0.6111111111111112,0.7333333333333334,0.9230769230769231,0.75,0.8275862068965517,[0.      0.0625  0.0625  0.75    0.96875 0.96875 1.     ],[0.      0.6875  0.75    0.9375  0.96875 1.      1.     ],"[1.87796857 0.87796857 0.86433599 0.37998172 0.3517906  0.17236721
 0.15571085]",0.84130859375
61,AA242A,0.9285714285714286,1.0,0.5,0.5,0.5,0.5,14,2,2,1.0,1.0,1.0,0.0,0.0,0.0,[0. 1. 1.],[0. 0. 1.],[1.4084757  0.4084757  0.27522568],0.0
62,MATH136,0.76,0.75,0.3333333333333333,0.76,0.75,0.3333333333333333,25,4,3,0.75,1.0,0.8571428571428571,0.3333333333333333,1.0,0.5,[0. 0. 1.],[0. 1. 1.],[1.83436794 0.83436794 0.65455437],1.0
