,course_name,train_score,test_score,dev_score,train_groundtruth,test_groundtruth,dev_groundtruth,train_size,test_size,dev_size,test_precision,test_recall,test_f1_score,dev_precision,dev_recall,dev_f1_score,dev_fpr,dev_tpr,dev_threshold,dev_auc
0,MATH205B,0.9,1.0,0.6666666666666666,0.9,1.0,0.6666666666666666,20,3,3,1.0,1.0,1.0,0.6666666666666666,1.0,0.8,[0. 0. 1.],[0. 1. 1.],[1.91903441 0.91903441 0.66471628],1.0
1,CEE177,0.8181818181818182,0.8,0.75,0.5757575757575758,0.2,0.5,33,5,4,0.0,0.0,0.0,0.6666666666666666,1.0,0.8,[0.  0.5 1. ],[0. 1. 1.],[1.83227353 0.83227353 0.37353433],0.75
2,MATH146,0.8571428571428571,1.0,1.0,0.7142857142857143,0.75,0.75,28,4,4,1.0,1.0,1.0,1.0,1.0,1.0,[0. 0. 0. 1.],[0.         0.33333333 1.         1.        ],[1.84408222 0.84408222 0.78997613 0.4166346 ],1.0
3,CHEM185,0.8064516129032258,0.5,1.0,0.6774193548387096,1.0,0.75,31,4,4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,[0. 0. 0. 1.],[0.         0.33333333 1.         1.        ],[1.9053118  0.9053118  0.57288316 0.45473544],1.0
4,ECON155,0.8235294117647058,0.8181818181818182,0.5454545454545454,0.611764705882353,0.45454545454545453,0.45454545454545453,85,11,11,0.8,0.8,0.8000000000000002,0.5,0.2,0.28571428571428575,[0.         0.         0.16666667 0.16666667 1.        ],[0.  0.2 0.2 0.6 1. ],[1.85965315 0.85965315 0.73763212 0.38761441 0.22512155],0.7000000000000001
5,PHYSICS262,0.8125,0.7777777777777778,0.75,0.8125,0.7777777777777778,0.75,64,9,8,0.7777777777777778,1.0,0.8750000000000001,0.75,1.0,0.8571428571428571,[0.  0.5 1. ],[0. 1. 1.],[1.92045104 0.92045104 0.77656516],0.75
6,IPS207,0.8,1.0,0.5,0.8,1.0,0.5,15,2,2,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,[0. 1. 1.],[0. 0. 1.],[1.8117917  0.8117917  0.72808496],0.0
7,EARTHSYS111,0.6666666666666666,0.6842105263157895,0.6666666666666666,0.6326530612244898,0.6842105263157895,0.6111111111111112,147,19,18,0.6842105263157895,1.0,0.8125000000000001,0.6470588235294118,1.0,0.7857142857142858,[0.         0.14285714 0.85714286 1.        ],[0.         0.36363636 1.         1.        ],[1.79444136 0.79444136 0.53510535 0.26267414],0.6558441558441559
8,AA100,0.8461538461538461,0.8571428571428571,0.9230769230769231,0.8461538461538461,0.8571428571428571,0.9230769230769231,104,14,13,0.8571428571428571,1.0,0.923076923076923,0.9230769230769231,1.0,0.9600000000000001,[0. 0. 0. 1. 1.],[0.         0.16666667 0.66666667 0.83333333 1.        ],[1.92039007 0.92039007 0.88636718 0.81986788 0.56622771],0.75
9,MATH51H,0.75,1.0,0.6666666666666666,0.75,1.0,0.6666666666666666,24,4,3,1.0,1.0,1.0,0.6666666666666666,1.0,0.8,[0. 1.],[0. 1.],[1.75849263 0.75849263],0.5
