,course_name,train_score,test_score,dev_score,train_groundtruth,test_groundtruth,dev_groundtruth,train_size,test_size,dev_size,test_precision,test_recall,test_f1_score,dev_precision,dev_recall,dev_f1_score,dev_fpr,dev_tpr,dev_threshold,dev_auc
0,CEE177,0.5757575757575758,0.2,0.5,0.5757575757575758,0.2,0.5,33,5,4,0.2,1.0,0.33333333333333337,0.5,1.0,0.6666666666666666,[0.  0.5 1. ],[0. 1. 1.],[1.58692286 0.58692286 0.56572703],0.75
1,MATH205B,0.9,1.0,0.6666666666666666,0.9,1.0,0.6666666666666666,20,3,3,1.0,1.0,1.0,0.6666666666666666,1.0,0.8,[0. 0. 1.],[0. 1. 1.],[1.90017668 0.90017668 0.89791413],1.0
2,CHEM185,0.6774193548387096,1.0,0.75,0.6774193548387096,1.0,0.75,31,4,4,1.0,1.0,1.0,0.75,1.0,0.8571428571428571,[0. 0. 0. 1.],[0.         0.33333333 1.         1.        ],[1.69000685 0.69000685 0.67282645 0.66244575],1.0
3,ECON155,0.611764705882353,0.45454545454545453,0.45454545454545453,0.611764705882353,0.45454545454545453,0.45454545454545453,85,11,11,0.45454545454545453,1.0,0.625,0.45454545454545453,1.0,0.625,[0.         0.         0.16666667 0.16666667 1.        ],[0.  0.2 0.2 0.6 1. ],[1.64028968 0.64028968 0.62201294 0.58714646 0.56799137],0.7000000000000001
4,EARTHSYS111,0.6326530612244898,0.6842105263157895,0.6111111111111112,0.6326530612244898,0.6842105263157895,0.6111111111111112,147,19,18,0.6842105263157895,1.0,0.8125000000000001,0.6111111111111112,1.0,0.7586206896551725,[0.         0.14285714 0.28571429 1.        ],[0.         0.36363636 0.36363636 1.        ],[1.65463196 0.65463196 0.62648818 0.61689476],0.564935064935065
5,CHEM181,0.723404255319149,0.7777777777777778,0.6666666666666666,0.723404255319149,0.7777777777777778,0.6666666666666666,141,18,18,0.7777777777777778,1.0,0.8750000000000001,0.6666666666666666,1.0,0.8,"[0.         0.         0.         0.33333333 0.33333333 0.5
 0.5        0.83333333 0.83333333 1.        ]","[0.         0.33333333 0.66666667 0.66666667 0.83333333 0.83333333
 0.91666667 0.91666667 1.         1.        ]","[1.77302823 0.77302823 0.75418654 0.71546115 0.69416034 0.69373395
 0.68824811 0.67305461 0.66541471 0.65723495]",0.8333333333333334
6,MATH146,0.7142857142857143,0.75,0.75,0.7142857142857143,0.75,0.75,28,4,4,0.75,1.0,0.8571428571428571,0.75,1.0,0.8571428571428571,[0. 0. 0. 1.],[0.         0.33333333 1.         1.        ],[1.71934486 0.71934486 0.71598037 0.70393009],1.0
7,PHYSICS262,0.8125,0.7777777777777778,0.75,0.8125,0.7777777777777778,0.75,64,9,8,0.7777777777777778,1.0,0.8750000000000001,0.75,1.0,0.8571428571428571,[0.  0.5 1. ],[0. 1. 1.],[1.8175131  0.8175131  0.81144008],0.75
8,MATH104,0.7028985507246377,0.7307692307692307,0.6730769230769231,0.7028985507246377,0.7307692307692307,0.6730769230769231,414,52,52,0.7307692307692307,1.0,0.8444444444444443,0.6730769230769231,1.0,0.8045977011494253,"[0.         0.05882353 0.05882353 0.17647059 0.17647059 0.17647059
 0.17647059 0.17647059 0.29411765 0.35294118 0.47058824 0.47058824
 0.52941176 1.        ]","[0.         0.11428571 0.17142857 0.2        0.42857143 0.48571429
 0.57142857 0.62857143 0.62857143 0.62857143 0.82857143 0.85714286
 0.88571429 1.        ]","[1.79096646 0.79096646 0.77377506 0.7597757  0.75826528 0.74085953
 0.72389832 0.67762431 0.66536158 0.66028716 0.65843244 0.64061056
 0.63727696 0.61704058]",0.7168067226890756
9,ME216B,0.9,1.0,0.8421052631578947,0.9,1.0,0.8421052631578947,150,19,19,1.0,1.0,1.0,0.8421052631578947,1.0,0.9142857142857143,[0.         0.33333333 0.66666667 1.         1.        ],[0.    0.25  0.875 0.875 1.   ],[1.90391298 0.90391298 0.89926935 0.89820741 0.8953663 ],0.5208333333333334
