,course_name,train_score,test_score,dev_score,train_groundtruth,test_groundtruth,dev_groundtruth,train_size,test_size,dev_size,test_precision,test_recall,test_f1_score,dev_precision,dev_recall,dev_f1_score,dev_fpr,dev_tpr,dev_threshold,dev_auc
0,ENGR20,0.8387096774193549,0.75,0.75,0.7741935483870968,0.75,0.75,31,4,4,0.75,1.0,0.8571428571428571,0.75,1.0,0.8571428571428571,[0. 0. 0. 1. 1.],[0.         0.33333333 0.66666667 0.66666667 1.        ],[1.77612676 0.77612676 0.65434863 0.64217874 0.62555058],0.6666666666666666
1,IPS207,0.8666666666666667,1.0,0.5,0.8,1.0,0.5,15,2,2,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,[0. 0. 1.],[0. 1. 1.],[1.77141097 0.77141097 0.74835002],1.0
2,CEE166B,0.9375,0.5,0.5,0.75,0.5,0.5,16,2,2,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,[0. 1. 1.],[0. 0. 1.],[1.8317585  0.8317585  0.74450764],0.0
3,CME104A,0.8571428571428571,0.6666666666666666,0.6666666666666666,0.7619047619047619,0.6666666666666666,0.3333333333333333,21,3,3,0.6666666666666666,1.0,0.8,0.5,1.0,0.6666666666666666,[0. 0. 1.],[0. 1. 1.],[1.59534741 0.59534741 0.42303677],1.0
4,GS4,0.9298245614035088,0.5,0.7142857142857143,0.5964912280701754,0.5,0.8571428571428571,57,8,7,0.5,0.25,0.3333333333333333,1.0,0.6666666666666666,0.8,[0. 0. 0. 1.],[0.         0.16666667 0.83333333 1.        ],[1.98155849 0.98155849 0.42400186 0.34134624],0.9166666666666667
5,AA279A,1.0,0.6666666666666666,1.0,0.75,0.6666666666666666,0.5,16,3,2,0.6666666666666666,1.0,0.8,1.0,1.0,1.0,[0. 0. 1.],[0. 1. 1.],[1.58309091 0.58309091 0.24796821],1.0
6,ECON155,0.9176470588235294,0.7272727272727273,0.45454545454545453,0.611764705882353,0.45454545454545453,0.45454545454545453,85,11,11,0.6666666666666666,0.8,0.7272727272727272,0.4,0.4,0.4000000000000001,"[0.         0.         0.         0.5        0.5        0.83333333
 1.        ]",[0.  0.2 0.4 0.4 1.  1.  1. ],"[1.91560649 0.91560649 0.72432205 0.56155716 0.3680141  0.18319343
 0.1600138 ]",0.7000000000000001
7,MATH131P,0.8921568627450981,0.6923076923076923,0.6923076923076923,0.5686274509803921,0.6923076923076923,0.6923076923076923,102,13,13,0.8571428571428571,0.6666666666666666,0.75,1.0,0.5555555555555556,0.7142857142857143,[0.   0.   0.   0.25 0.25 0.5  0.5  0.75 0.75 1.  ],"[0.         0.11111111 0.55555556 0.55555556 0.66666667 0.66666667
 0.77777778 0.77777778 1.         1.        ]","[1.99028527 0.99028527 0.73099104 0.49989051 0.4693679  0.36604634
 0.21968006 0.17222919 0.08028617 0.06787459]",0.75
8,EE364A,1.0,0.875,0.8571428571428571,0.847457627118644,0.875,0.8571428571428571,59,8,7,0.875,1.0,0.9333333333333333,0.8571428571428571,1.0,0.923076923076923,[0. 0. 0. 1. 1.],[0.         0.16666667 0.83333333 0.83333333 1.        ],[1.96639875 0.96639875 0.87158461 0.85524986 0.82998033],0.8333333333333334
9,PSYCH141,0.8740740740740741,0.5882352941176471,0.7647058823529411,0.8444444444444444,0.5882352941176471,0.7647058823529411,135,17,17,0.5882352941176471,1.0,0.7407407407407407,0.7647058823529411,1.0,0.8666666666666666,[0.   0.   0.   0.25 0.25 0.5  0.5  0.75 0.75 1.   1.  ],"[0.         0.07692308 0.30769231 0.30769231 0.46153846 0.46153846
 0.53846154 0.53846154 0.61538462 0.61538462 1.        ]","[1.97610184 0.97610184 0.92078707 0.91583809 0.85601309 0.82179644
 0.81179503 0.80279642 0.78108007 0.77999283 0.58640884]",0.4807692307692308
10,BIO188,1.0,0.75,0.5,0.5161290322580645,0.75,0.5,31,4,4,0.75,1.0,0.8571428571428571,0.5,0.5,0.5,[0.  0.5 0.5 1. ],[0. 0. 1. 1.],[1.92031709 0.92031709 0.43690498 0.04211229],0.5
11,PHYSICS108,1.0,0.7142857142857143,0.8333333333333334,0.8846153846153846,0.7142857142857143,0.8333333333333334,52,7,6,0.7142857142857143,1.0,0.8333333333333333,0.8333333333333334,1.0,0.9090909090909091,[0. 0. 0. 1. 1.],[0.  0.2 0.8 0.8 1. ],[1.97361269 0.97361269 0.88812326 0.79801669 0.57947918],0.8
12,MS&E252,0.9318181818181818,0.6363636363636364,0.36363636363636365,0.5227272727272727,0.36363636363636365,0.2727272727272727,88,11,11,0.5,0.5,0.5,0.25,0.6666666666666666,0.36363636363636365,[0.    0.    0.375 0.375 0.75  0.75  1.   ],"[0.         0.33333333 0.33333333 0.66666667 0.66666667 1.
 1.        ]","[1.98296222 0.98296222 0.61654357 0.61563289 0.51349698 0.38261649
 0.25886011]",0.625
13,ENGR62,0.9347826086956522,0.8333333333333334,0.5454545454545454,0.7717391304347826,0.75,0.6363636363636364,92,12,11,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6,0.8571428571428571,0.7058823529411764,[0.  0.  0.  0.5 0.5 1.  1. ],"[0.         0.14285714 0.71428571 0.71428571 0.85714286 0.85714286
 1.        ]","[1.98272758 0.98272758 0.87524318 0.78414694 0.76493561 0.63950731
 0.24097772]",0.7857142857142857
