,CEE180,CEE181,CEE182,ME115A,MATH51,CS107,PSYCH1,CS106B,MATH52,MATH53,CS106A,CS145,CS109,ECON102B,PHYSICS130,PHYSICS120,PHYSICS121,MATH131P,MATH173,MATH41,CHEMENG120A,CHEMENG110,CHEMENG120B,STATS116,MATH151,MATH115,MS&E145,MS&E245A,MS&E245G,ECON51,PHYSICS41,CME100,CS147,ECON52,PHYSICS112,CME104,CME106,CHEM171,CHEM33,CHEM35,CHEM131,CHEM135,ECON50,CS108,ME70,ENGR30,CHEM31A,CHEM173,CS106X,EE102A,EE102B,ECON102A,ENGR15,CS103,EE108,MATH20,MATH21,MATH42,LINGUIST1,EE101A,BIO41,BIO42,CME102,CS161,PHYSICS170,CHEM151,BIOE41,CHEM31X,MS&E120,MS&E111,MATH51M,CME192,MATH19,ECON1,ENGR14,CEE101A,CHEMENG100,EE42,MATH104,EE222,PHIL80,MS&E220,CS110,MS&E125,HUMBIO3B,CS124,CS221,CS224N,CS229,CS148,EE114,EE214A,ENGR40M,ENGR40,BIO43,ME80,ME203,ME101,MATH171,PHYSICS43,CHEM181,EE178,EE261,PHYSICS131,PHYSICS41A,ENGR105,MATH113,CS248,LINGUIST180,CS224S,LINGUIST130A,LINGUIST130B,CS157,PHIL150,ME131A,PHIL151,STATS200,BIO101,HUMBIO2A,EE122A,EE263,EE101B,PHYSICS110,MATH51H,PSYCH60,PSYCH146,MATH120,MATH121,MATH143,MATH146,MATH147,MATH148,ENERGY101,ENERGY102,ME112,ME161,PHYSICS63,PHYSICS61,PHYSICS105,PHYSICS70,MATH52H,STATS60,STATS110,STATS141,LINGUIST120,ME216B,ME216A,MATH220,STATS195,PHYSICS230,CS140,ME115B,CHEMENG181,CS142,PHYSICS65,MATH205A,CS131,MATH109,CEE166A,PHYSICS107,ENGR154,CHEMENG20,ENGR20,EE65,PHYSICS45,CS193A,CS193P,CS210A
CEE183,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEE182,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEE181,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME115B,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME216A,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2197952730896218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
MATH107,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS205A,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CME108,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATH104,,,,,0.9391882366087668,,,,0.0,0.2768813686949166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEE101B,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
