,course_name,train_score,test_score,dev_score,train_groundtruth,test_groundtruth,dev_groundtruth,train_size,test_size,dev_size,test_precision,test_recall,test_f1_score,dev_precision,dev_recall,dev_f1_score,dev_fpr,dev_tpr,dev_threshold,dev_auc
0,CEE166B,0.25,0.5,0.5,0.75,0.5,0.5,16,2,2,0.0,0.0,0.0,0.0,0.0,0.0,[0. 1.],[0. 1.],[1.5 0.5],0.5
1,ENGR20,0.22580645161290322,0.25,0.25,0.7741935483870968,0.75,0.75,31,4,4,0.0,0.0,0.0,0.0,0.0,0.0,[0. 1.],[0. 1.],[1.5 0.5],0.5
2,IPS207,0.2,0.0,0.5,0.8,1.0,0.5,15,2,2,0.0,0.0,0.0,0.0,0.0,0.0,[0. 1.],[0. 1.],[1.5 0.5],0.5
3,CME104A,0.23809523809523808,0.3333333333333333,0.6666666666666666,0.7619047619047619,0.6666666666666666,0.3333333333333333,21,3,3,0.0,0.0,0.0,0.0,0.0,0.0,[0. 1.],[0. 1.],[1.5 0.5],0.5
4,GS4,0.40350877192982454,0.5,0.14285714285714285,0.5964912280701754,0.5,0.8571428571428571,57,8,7,0.0,0.0,0.0,0.0,0.0,0.0,[0. 1.],[0. 1.],[1.5 0.5],0.5
5,MATH131P,0.6862745098039216,0.6153846153846154,0.6923076923076923,0.5686274509803921,0.6923076923076923,0.6923076923076923,102,13,13,0.75,0.6666666666666666,0.7058823529411765,1.0,0.5555555555555556,0.7142857142857143,[0. 0. 1.],[0.         0.55555556 1.        ],[1.55357142 0.55357142 0.5       ],0.7777777777777778
6,EE364A,0.847457627118644,0.875,0.8571428571428571,0.847457627118644,0.875,0.8571428571428571,59,8,7,0.875,1.0,0.9333333333333333,0.8571428571428571,1.0,0.923076923076923,[0. 1.],[0. 1.],[1.67796254 0.67796254],0.5
7,PSYCH141,0.8444444444444444,0.5882352941176471,0.7647058823529411,0.8444444444444444,0.5882352941176471,0.7647058823529411,135,17,17,0.5882352941176471,1.0,0.7407407407407407,0.7647058823529411,1.0,0.8666666666666666,[0.   0.25 1.  ],[0.         0.53846154 1.        ],[1.79998585 0.79998585 0.7272933 ],0.6442307692307692
8,PHYSICS108,0.8846153846153846,0.7142857142857143,0.8333333333333334,0.8846153846153846,0.7142857142857143,0.8333333333333334,52,7,6,0.7142857142857143,1.0,0.8333333333333333,0.8333333333333334,1.0,0.9090909090909091,[0. 1. 1.],[0.  0.6 1. ],[1.69769097 0.69769097 0.66658757],0.3
9,ECON155,0.7764705882352941,0.7272727272727273,0.8181818181818182,0.611764705882353,0.45454545454545453,0.45454545454545453,85,11,11,0.6666666666666666,0.8,0.7272727272727272,0.7142857142857143,1.0,0.8333333333333333,[0.         0.         0.         0.33333333 1.        ],[0.  0.2 0.6 1.  1. ],[1.59275966 0.59275966 0.57626684 0.51697313 0.5       ],0.9333333333333333
10,AA279A,0.25,0.3333333333333333,0.5,0.75,0.6666666666666666,0.5,16,3,2,0.0,0.0,0.0,0.0,0.0,0.0,[0. 1.],[0. 1.],[1.5 0.5],0.5
