,course_name,train_score,test_score,dev_score,train_groundtruth,test_groundtruth,dev_groundtruth,train_size,test_size,dev_size,test_precision,test_recall,test_f1_score,dev_precision,dev_recall,dev_f1_score,dev_fpr,dev_tpr,dev_threshold,dev_auc
0,CEE177,0.42424242424242425,0.8,0.5,0.5757575757575758,0.2,0.5,33,5,4,0.0,0.0,0.0,0.0,0.0,0.0,[0. 1.],[0. 1.],[1.5 0.5],0.5
1,MATH205B,0.1,0.0,0.3333333333333333,0.9,1.0,0.6666666666666666,20,3,3,0.0,0.0,0.0,0.0,0.0,0.0,[0. 1.],[0. 1.],[1.5 0.5],0.5
2,EARTHSYS111,0.7210884353741497,0.7894736842105263,0.5555555555555556,0.6326530612244898,0.6842105263157895,0.6111111111111112,147,19,18,0.8,0.9230769230769231,0.8571428571428571,0.6,0.8181818181818182,0.6923076923076923,[0.         0.         0.14285714 0.14285714 0.85714286 1.        ],[0.         0.09090909 0.36363636 0.54545455 0.81818182 1.        ],[1.66275147 0.66275147 0.66173983 0.57195305 0.57084542 0.5       ],0.6493506493506493
3,CHEM185,0.3225806451612903,0.0,0.25,0.6774193548387096,1.0,0.75,31,4,4,0.0,0.0,0.0,0.0,0.0,0.0,[0. 1.],[0. 1.],[1.5 0.5],0.5
4,CHEM181,0.8297872340425532,0.8888888888888888,0.7222222222222222,0.723404255319149,0.7777777777777778,0.6666666666666666,141,18,18,0.875,1.0,0.9333333333333333,0.7692307692307693,0.8333333333333334,0.8,[0.         0.         0.33333333 0.5        1.        ],[0.         0.66666667 0.83333333 0.83333333 1.        ],[1.82304841 0.82304841 0.68568741 0.68072486 0.5       ],0.8472222222222223
5,CS227B,0.8562874251497006,0.8571428571428571,0.9523809523809523,0.8562874251497006,0.8571428571428571,0.9523809523809523,167,21,21,0.8571428571428571,1.0,0.923076923076923,0.9523809523809523,1.0,0.975609756097561,[0. 1. 1.],[0.   0.75 1.  ],[1.82048187 0.82048187 0.775308  ],0.375
6,PHYSICS262,0.8125,0.7777777777777778,0.75,0.8125,0.7777777777777778,0.75,64,9,8,0.7777777777777778,1.0,0.8750000000000001,0.75,1.0,0.8571428571428571,[0.  0.5 1. ],[0. 1. 1.],[1.65789474 0.65789474 0.65383277],0.75
7,ECON155,0.8235294117647058,0.8181818181818182,0.5454545454545454,0.611764705882353,0.45454545454545453,0.45454545454545453,85,11,11,0.8,0.8,0.8000000000000002,0.5,0.2,0.28571428571428575,[0.         0.16666667 1.        ],[0.  0.2 1. ],[1.66666667 0.66666667 0.5       ],0.5166666666666667
8,MATH104,0.751207729468599,0.75,0.7884615384615384,0.7028985507246377,0.7307692307692307,0.6730769230769231,414,52,52,0.8571428571428571,0.7894736842105263,0.8219178082191781,0.8157894736842105,0.8857142857142857,0.8493150684931505,"[0.         0.         0.         0.05882353 0.05882353 0.05882353
 0.17647059 0.23529412 0.23529412 0.23529412 0.29411765 0.41176471
 0.41176471 1.        ]","[0.         0.25714286 0.37142857 0.4        0.48571429 0.51428571
 0.57142857 0.57142857 0.62857143 0.65714286 0.82857143 0.85714286
 0.88571429 1.        ]","[1.86269632 0.86269632 0.84313713 0.83069313 0.81412727 0.799928
 0.77377209 0.64751484 0.626428   0.61112016 0.58923725 0.53894842
 0.52278673 0.5       ]",0.8176470588235294
9,ECON126,0.7804878048780488,0.875,0.9333333333333333,0.6666666666666666,0.6875,0.7333333333333333,123,16,15,0.8461538461538461,1.0,0.9166666666666666,1.0,0.9090909090909091,0.9523809523809523,[0. 0. 0. 1.],[0.         0.63636364 0.90909091 1.        ],[1.74426351 0.74426351 0.58811476 0.5       ],0.9545454545454546
10,EE101A,0.8163265306122449,0.64,0.84,0.6530612244897959,0.28,0.8,196,25,25,0.4,0.5714285714285714,0.47058823529411764,0.9444444444444444,0.85,0.8947368421052632,[0.  0.2 0.2 1. ],[0.   0.55 0.85 1.  ],[1.82689937 0.82689937 0.58551966 0.46769588],0.7950000000000002
11,ME216B,0.9,1.0,0.7894736842105263,0.9,1.0,0.8421052631578947,150,19,19,1.0,1.0,1.0,0.8333333333333334,0.9375,0.8823529411764706,[0.         0.66666667 1.         1.        ],[0.     0.875  0.9375 1.    ],[1.86264606 0.86264606 0.7474793  0.5       ],0.59375
12,ECON52,0.7825112107623319,0.7678571428571429,0.75,0.7107623318385651,0.75,0.7142857142857143,446,56,56,0.8372093023255814,0.8571428571428571,0.8470588235294119,0.7708333333333334,0.925,0.840909090909091,[0.     0.0625 0.0625 0.0625 0.0625 0.5    0.6875 0.75   1.    ],[0.    0.45  0.55  0.675 0.7   0.825 0.925 0.925 1.   ],"[1.87560325 0.87560325 0.84954553 0.72545228 0.72001164 0.67945628
 0.54615535 0.5        0.49118904]",0.81015625
13,EE108,0.7863636363636364,0.7857142857142857,0.8148148148148148,0.6772727272727272,0.7857142857142857,0.7777777777777778,220,28,27,0.9,0.8181818181818182,0.8571428571428572,0.8636363636363636,0.9047619047619048,0.8837209302325582,"[0.         0.         0.         0.16666667 0.16666667 0.16666667
 0.5        0.5        1.        ]","[0.         0.28571429 0.33333333 0.52380952 0.66666667 0.71428571
 0.76190476 0.9047619  1.        ]","[1.83056056 0.83056056 0.81671728 0.77429182 0.75719529 0.61117204
 0.58828965 0.52381749 0.5       ]",0.7936507936507936
14,MATH146,0.2857142857142857,0.25,0.25,0.7142857142857143,0.75,0.75,28,4,4,0.0,0.0,0.0,0.0,0.0,0.0,[0. 1.],[0. 1.],[1.5 0.5],0.5
