,course_name,train_score,test_score,dev_score,train_groundtruth,test_groundtruth,dev_groundtruth,train_size,test_size,dev_size,test_precision,test_recall,test_f1_score,dev_precision,dev_recall,dev_f1_score,dev_fpr,dev_tpr,dev_threshold,dev_auc
0,CEE177,0.42424242424242425,0.8,0.5,0.5757575757575758,0.2,0.5,33,5,4,0.0,0.0,0.0,0.0,0.0,0.0,[0. 1.],[0. 1.],[1.5 0.5],0.5
1,MATH205B,0.1,0.0,0.3333333333333333,0.9,1.0,0.6666666666666666,20,3,3,0.0,0.0,0.0,0.0,0.0,0.0,[0. 1.],[0. 1.],[1.5 0.5],0.5
2,EARTHSYS111,0.7278911564625851,0.7894736842105263,0.5555555555555556,0.6326530612244898,0.6842105263157895,0.6111111111111112,147,19,18,0.8,0.9230769230769231,0.8571428571428571,0.6,0.8181818181818182,0.6923076923076923,[0.         0.14285714 0.85714286 1.        ],[0.         0.36363636 0.81818182 1.        ],[1.66220822 0.66220822 0.57108416 0.5       ],0.577922077922078
3,CHEM181,0.8297872340425532,0.8888888888888888,0.7222222222222222,0.723404255319149,0.7777777777777778,0.6666666666666666,141,18,18,0.875,1.0,0.9333333333333333,0.7692307692307693,0.8333333333333334,0.8,[0.         0.         0.33333333 0.5        1.        ],[0.         0.66666667 0.83333333 0.83333333 1.        ],[1.8230225  0.8230225  0.6857878  0.68058493 0.5       ],0.8472222222222223
4,ME216B,0.9,1.0,0.8421052631578947,0.9,1.0,0.8421052631578947,150,19,19,1.0,1.0,1.0,0.8421052631578947,1.0,0.9142857142857143,[0.         0.66666667 1.        ],[0.    0.875 1.   ],[1.85715307 0.85715307 0.64697889],0.6041666666666667
5,EE101A,0.8163265306122449,0.64,0.84,0.6530612244897959,0.28,0.8,196,25,25,0.4,0.5714285714285714,0.47058823529411764,0.9444444444444444,0.85,0.8947368421052632,[0.  0.2 0.2 1. ],[0.   0.55 0.85 1.  ],[1.82691534 0.82691534 0.58553916 0.46768648],0.7950000000000002
6,CHEM185,0.3225806451612903,0.0,0.25,0.6774193548387096,1.0,0.75,31,4,4,0.0,0.0,0.0,0.0,0.0,0.0,[0. 1.],[0. 1.],[1.5 0.5],0.5
7,ECON155,0.8235294117647058,0.8181818181818182,0.5454545454545454,0.611764705882353,0.45454545454545453,0.45454545454545453,85,11,11,0.8,0.8,0.8000000000000002,0.5,0.2,0.28571428571428575,[0.         0.16666667 1.        ],[0.  0.2 1. ],[1.66666667 0.66666667 0.5       ],0.5166666666666667
8,MATH104,0.7391304347826086,0.7115384615384616,0.7884615384615384,0.7028985507246377,0.7307692307692307,0.6730769230769231,414,52,52,0.8484848484848485,0.7368421052631579,0.7887323943661972,0.8529411764705882,0.8285714285714286,0.8405797101449276,[0.         0.05882353 0.17647059 0.29411765 1.        ],[0.         0.4        0.57142857 0.82857143 1.        ],[1.85020757 0.85020757 0.79182744 0.59874864 0.5       ],0.7966386554621849
9,PHYSICS262,0.8125,0.7777777777777778,0.75,0.8125,0.7777777777777778,0.75,64,9,8,0.7777777777777778,1.0,0.8750000000000001,0.75,1.0,0.8571428571428571,[0.  0.5 1. ],[0. 1. 1.],[1.65789474 0.65789474 0.65383373],0.75
10,EE108,0.7272727272727273,0.6071428571428571,0.7037037037037037,0.6772727272727272,0.7857142857142857,0.7777777777777778,220,28,27,0.9230769230769231,0.5454545454545454,0.6857142857142856,0.9333333333333333,0.6666666666666666,0.7777777777777778,[0.         0.16666667 1.        ],[0.         0.66666667 1.        ],[1.80529294 0.80529294 0.5       ],0.75
11,ECON126,0.7723577235772358,0.875,0.9333333333333333,0.6666666666666666,0.6875,0.7333333333333333,123,16,15,0.8461538461538461,1.0,0.9166666666666666,1.0,0.9090909090909091,0.9523809523809523,[0. 0. 0. 1.],[0.         0.72727273 0.90909091 1.        ],[1.7355503  0.7355503  0.59897353 0.5       ],0.9545454545454546
12,CS227B,0.8562874251497006,0.8571428571428571,0.9523809523809523,0.8562874251497006,0.8571428571428571,0.9523809523809523,167,21,21,0.8571428571428571,1.0,0.923076923076923,0.9523809523809523,1.0,0.975609756097561,[0. 1. 1.],[0.   0.75 1.  ],[1.82053517 0.82053517 0.77526131],0.375
13,MATH146,0.2857142857142857,0.25,0.25,0.7142857142857143,0.75,0.75,28,4,4,0.0,0.0,0.0,0.0,0.0,0.0,[0. 1.],[0. 1.],[1.5 0.5],0.5
14,ME112,0.8560157790927022,0.78125,0.9365079365079365,0.8560157790927022,0.78125,0.9365079365079365,507,64,63,0.78125,1.0,0.8771929824561403,0.9365079365079365,1.0,0.9672131147540983,[0.   0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 1.   1.  ],"[0.         0.18644068 0.22033898 0.28813559 0.3220339  0.33898305
 0.38983051 0.52542373 0.57627119 0.59322034 0.62711864 0.6440678
 0.89830508 1.        ]","[1.94459006 0.94459006 0.91609448 0.91335815 0.8798145  0.87605509
 0.87099457 0.8488123  0.84425481 0.81906534 0.79010569 0.78422838
 0.7763757  0.69949953]",0.6016949152542372
15,ECON52,0.7645739910313901,0.6607142857142857,0.7321428571428571,0.7107623318385651,0.75,0.7142857142857143,446,56,56,0.8285714285714286,0.6904761904761905,0.7532467532467533,0.8048780487804879,0.825,0.8148148148148149,[0.     0.0625 0.0625 0.5    1.    ],[0.    0.55  0.575 0.825 1.   ],[1.87117939 0.87117939 0.73842741 0.70549759 0.5       ],0.7796875
